Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-0.11,0.62,8.27,-0.08,0.2,0.05
61,0.83,0.54,10.34,-0.2,0.07,0.01
122,0.11,0.54,9.6,0.17,0.11,0.05
181,0.44,0.8,7.6,-0.63,0.15,0.06
242,0.62,-0.84,10.64,0.22,-0.04,-0.02
305,-0.46,1.56,8.51,-0.08,0.09,0.0
367,0.06,-0.23,8.92,-0.09,-0.17,-0.07
431,0.52,0.81,9.82,0.01,0.23,0.06
490,-1.19,1.17,7.84,-0.33,-0.09,-0.05
555,0.49,-0.76,10.65,-0.16,0.07,-0.02
618,-0.57,0.3,8.12,-0.16,0.22,0.04
680,1.4,0.83,9.8,0.49,-0.41,0.08
741,0.03,1.47,9.6,0.09,0.29,0.07
800,-2.07,2.15,11.67,-0.19,-0.59,0.08
863,0.25,-1.12,10.38,-0.02,-0.07,-0.02
928,-0.47,0.91,8.51,-0.03,0.16,0.02
990,3.98,-0.75,9.27,-0.02,0.22,0.06
1051,0.2,0.75,10.27,-0.05,0.23,0.04
1112,-0.99,0.78,8.04,-0.3,-0.04,-0.04
1177,1.12,0.43,10.39,0.06,0.04,-0.04
1237,-0.23,1.23,8.63,-0.08,0.21,0.04
1299,2.6,2.26,3.42,0.11,0.11,-0.28
1360,-0.28,-0.34,10.76,-0.15,0.25,-0.01
1424,-0.34,0.6,8.47,-0.12,0.04,-0.04
1488,2.02,0.28,10.76,0.03,0.14,0.04
1547,-0.03,0.68,9.68,0.02,0.24,0.07
1607,-1.16,1.08,7.78,-0.2,-0.11,-0.08
1672,0.48,-0.03,9.78,-0.05,0.07,-0.12
1735,-0.17,0.98,8.84,-0.12,0.11,-0.03
1798,1.74,-1.94,12.76,0.02,0.06,0.05
1859,-0.24,-0.87,11.11,-0.08,0.14,0.02
1922,-0.77,1.5,7.72,-0.21,0.12,0.01
1984,2.31,1.32,8.59,0.16,-0.32,0.05
2045,-0.59,-0.26,10.18,-0.16,0.3,-0.01
2109,-0.41,0.0,8.09,-0.06,0.01,0.17
2171,1.22,0.81,10.04,0.31,-0.06,0.25
2232,0.45,1.37,10.28,-0.42,0.23,0.14
2292,-1.15,-0.68,8.38,-0.32,0.03,-0.14
2357,1.55,1.4,10.3,0.06,0.12,-0.04
2418,-0.26,-0.45,9.91,-0.08,0.03,0.01
2481,-0.15,0.95,9.25,0.63,0.07,0.05
2541,-0.23,-0.8,10.85,-0.23,-0.02,-0.07
2607,0.18,2.67,9.39,0.02,0.1,-0.02
2668,-0.56,1.39,9.58,-1.14,-0.06,-0.16
2732,0.93,-3.03,9.33,-0.34,0.08,-0.06
2796,0.11,-2.21,11.03,1.58,-1.27,0.56
2858,-0.05,2.49,9.22,0.19,-0.03,-0.01
2921,0.0,1.47,9.63,-0.37,0.06,-0.04
2983,-3.33,-6.38,19.61,-0.82,-0.16,0.06
3047,-0.55,-2.11,9.52,0.13,0.13,-0.02
3111,-2.33,2.6,14.99,0.61,0.05,0.08
3171,0.06,2.25,9.72,0.06,0.07,0.07
3230,-0.28,1.78,9.5,-0.32,-0.09,-0.04
3295,1.79,-5.02,4.93,-0.58,0.1,-0.1
3358,-1.36,-2.86,9.0,0.51,0.03,-0.02
3421,-0.68,0.25,9.43,0.52,0.03,0.04
3482,0.25,2.34,9.91,0.45,0.13,0.01
3541,-0.6,3.03,8.85,-0.54,-0.14,-0.09
3606,-0.64,0.63,10.23,-1.13,0.15,-0.1
3669,0.39,-1.28,10.4,-0.59,0.24,0.02
