Time_ms,Microphone
0,429
22,503
43,363
65,342
87,371
108,353
130,368
152,383
173,374
195,378
216,363
238,526
260,342
281,368
303,367
325,401
346,368
368,363
389,346
411,337
433,350
454,311
476,371
498,362
519,380
541,356
563,327
584,408
606,355
627,427
649,430
671,383
692,363
714,348
736,337
757,442
779,336
801,392
822,362
844,473
865,342
887,354
909,348
930,381
952,344
974,364
995,506
1017,378
1038,381
1060,372
1082,338
1103,381
1125,446
1147,347
1168,379
1190,385
1212,386
1233,364
1255,370
1276,321
1298,324
1320,338
1341,375
1363,341
1385,350
1406,363
1428,349
1450,386
1471,371
1493,366
1514,330
1536,386
1558,514
1579,362
1601,361
1623,505
1644,335
1666,387
1687,359
1709,395
1731,491
1752,387
1774,523
1796,343
1817,362
1839,367
1861,383
1882,375
1904,378
1925,373
1947,358
1969,385
1990,367
2012,412
2034,362
2055,392
2077,322
2099,377
2120,385
2142,355
2163,369
2185,372
2207,484
2228,418
2250,379
2272,392
2293,385
2315,353
2336,325
2358,346
2380,361
2401,324
2423,526
2445,425
2466,365
2488,315
2510,364
2531,393
2553,383
2574,358
2596,335
2618,371
2639,417
2661,329
2683,380
2704,385
2726,366
2748,364
2769,338
2791,374
2812,522
2834,357
2856,348
2877,542
2899,364
2921,383
2942,302
2964,372
2986,364
3007,394
3029,373
3050,505
3072,374
3094,367
3115,353
3137,386
3159,349
3180,389
3202,388
3223,441
3245,481
3267,350
3288,348
3310,353
3332,329
3353,322
3375,443
3397,413
3418,518
3440,333
3461,336
3483,391
3505,409
3526,375
3548,353
3570,342
3591,334
3613,347
3634,383
3656,292
3678,331
3699,388
3721,406
3743,330
3764,575
3786,452
3808,504
3829,403
3851,531
3872,343
3894,453
3916,358
3937,368
3959,415
3981,356
4002,344
4024,478
4046,419
4067,356
4089,369
4110,472
4132,360
4154,407
4175,412
4197,332
4219,478
4240,415
4262,472
4283,398
4305,494
4327,379
4348,441
4370,536
4392,403
4413,372
4435,371
4457,390
4478,370
4500,400
4521,433
4543,341
4565,351
4586,373
4608,354
4630,369
4651,453
4673,367
4695,371
4716,367
4738,362
4759,341
