Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy,Label,File,Label_ID
17.58,33.53928442886044,1124.8836000000003,37.86740022763644,164.0,0.0,164.0,5.5,5624468.0,Minor_Fault,Minor_fault_001_window_001.csv,1
18.45,32.91424463663111,1083.3475,37.73261188945181,164.0,0.0,164.0,5.5,5416881.999999999,Minor_Fault,Minor_fault_001_window_002.csv,1
21.47,34.1483396375285,1166.1091,40.336955760195885,113.0,0.0,113.0,5.5,5830549.999999999,Minor_Fault,Minor_fault_001_window_003.csv,1
24.85,38.07318610255778,1449.5674999999994,45.46526146411126,121.0,0.0,121.0,5.5,7248521.999999999,Minor_Fault,Minor_fault_001_window_004.csv,1
23.73,36.78609927676486,1353.2170999999998,43.77590661539747,121.0,0.0,121.0,5.5,6773650.0,Minor_Fault,Minor_fault_001_window_005.csv,1
23.97,35.13159688940997,1234.2291000000002,42.52987185496801,116.0,0.0,116.0,5.5,6184429.999999999,Minor_Fault,Minor_fault_001_window_006.csv,1
21.08,32.333474913779376,1045.4536,38.59818648589594,117.0,0.0,117.0,5.5,5227430.0,Minor_Fault,Minor_fault_001_window_007.csv,1
20.26,31.65015639771785,1001.7324,37.57924959335936,117.0,0.0,117.0,5.5,5011862.0,Minor_Fault,Minor_fault_001_window_008.csv,1
22.58,33.39526313715764,1115.2436000000002,40.31252906975696,125.0,0.0,125.0,5.5,5578530.0,Minor_Fault,Minor_fault_001_window_009.csv,1
23.6,34.23769852078261,1172.2199999999998,41.58341015356966,125.0,0.0,125.0,5.0,5889421.999999999,Minor_Fault,Minor_fault_001_window_010.csv,1
26.36,39.672287556933234,1573.8903999999995,47.63129223525223,147.0,0.0,147.0,5.0,7884939.999999998,Minor_Fault,Minor_fault_001_window_011.csv,1
25.47,40.17199397590316,1613.7891,47.56584909365122,147.0,0.0,147.0,5.0,8069558.000000001,Minor_Fault,Minor_fault_001_window_012.csv,1
24.07,38.37245235843026,1472.4451,45.29690938684448,126.0,0.0,126.0,4.5,7384065.999999999,Minor_Fault,Minor_fault_001_window_013.csv,1
16.04,29.35061157795524,861.4584000000001,33.44757091329653,107.0,0.0,107.0,5.5,4308644.0,Minor_Fault,Minor_fault_002_window_001.csv,1
15.18,26.458412650799744,700.0476,30.50377025877293,113.0,0.0,113.0,5.5,3502975.999999999,Minor_Fault,Minor_fault_002_window_002.csv,1
15.83,27.3503400344493,748.0411000000001,31.601107575526527,113.0,0.0,113.0,5.5,3740350.0000000014,Minor_Fault,Minor_fault_002_window_003.csv,1
16.67,31.055452017318952,964.4411,35.246701973376176,136.0,0.0,136.0,5.5,4832430.0,Minor_Fault,Minor_fault_002_window_004.csv,1
12.88,28.4577862807352,809.8456000000002,31.236837227862875,136.0,0.0,136.0,5.0,4049428.000000001,Minor_Fault,Minor_fault_002_window_005.csv,1
10.53,23.689430132445143,561.1890999999999,25.92431291278517,129.0,0.0,129.0,5.0,2806058.0,Minor_Fault,Minor_fault_002_window_006.csv,1
13.2,25.289128098849115,639.5399999999998,28.5268294768276,129.0,0.0,129.0,5.0,3200012.0000000005,Minor_Fault,Minor_fault_002_window_007.csv,1
14.95,26.431184233779614,698.6075000000002,30.366264175890983,122.0,0.0,122.0,5.0,3494338.0,Minor_Fault,Minor_fault_002_window_008.csv,1
14.59,27.042224390756022,731.2819000000001,30.727023936593664,122.0,0.0,122.0,5.0,3657170.0,Minor_Fault,Minor_fault_002_window_009.csv,1
13.64,25.283006150376977,639.2304,28.72768699356076,95.0,0.0,95.0,5.5,3197720.0,Minor_Fault,Minor_fault_002_window_010.csv,1
17.25,29.406929455487187,864.7675,34.092961150360644,124.0,0.0,124.0,5.0,4337782.0,Minor_Fault,Minor_fault_002_window_011.csv,1
19.5,32.58327791981648,1061.67,37.97262171617862,124.0,0.0,124.0,5.0,5309317.999999998,Minor_Fault,Minor_fault_002_window_012.csv,1
19.26,29.95550700622508,897.3323999999998,35.61291900420408,108.0,0.0,108.0,5.0,4498519.999999998,Minor_Fault,Minor_fault_002_window_013.csv,1
17.02,25.424389864852216,646.3996000000001,30.595424494522053,89.0,0.0,89.0,5.0,3232880.0,Minor_Fault,Minor_fault_002_window_014.csv,1
18.77,25.84215741767704,667.8171000000002,31.9394740094448,104.0,0.0,104.0,5.5,3339198.0000000005,Minor_Fault,Minor_fault_003_window_001.csv,1
15.88,21.39545746180717,457.76560000000006,26.64469928522369,68.0,0.0,68.0,5.5,2289339.9999999995,Minor_Fault,Minor_fault_003_window_002.csv,1
12.42,19.728750593993524,389.2235999999999,23.312657506170336,73.0,0.0,73.0,5.0,1946766.0,Minor_Fault,Minor_fault_003_window_003.csv,1
12.2,20.022487357968288,400.8999999999999,23.44653492522936,73.0,0.0,73.0,5.5,2004550.0,Minor_Fault,Minor_fault_003_window_004.csv,1
12.5,20.90430577656192,436.99,24.35651863464892,89.0,0.0,89.0,5.0,2185288.0000000005,Minor_Fault,Minor_fault_003_window_005.csv,1
12.45,20.8707330968512,435.5875,24.30205752606145,89.0,0.0,89.0,5.5,2177950.0,Minor_Fault,Minor_fault_003_window_006.csv,1
13.82,24.097045462047834,580.6676000000001,27.778768871208097,120.0,0.0,120.0,5.0,2906700.0000000005,Minor_Fault,Minor_fault_003_window_007.csv,1
15.88,27.171043410218903,738.2656000000002,31.4712567273695,120.0,0.0,120.0,5.5,3696328.0,Minor_Fault,Minor_fault_003_window_008.csv,1
20.31,31.64101610252111,1001.1539,37.5985372055882,116.0,0.0,116.0,5.5,5005809.999999999,Minor_Fault,Minor_fault_003_window_009.csv,1
23.01,33.639707192542566,1131.6299,40.75647187870903,119.0,0.0,119.0,6.0,5663250.000000001,Minor_Fault,Minor_fault_003_window_010.csv,1
17.97,28.078623541762152,788.4090999999997,33.33661650497842,119.0,0.0,119.0,5.0,3950626.000000001,Minor_Fault,Minor_fault_003_window_011.csv,1
18.52,28.206906955566755,795.6296000000002,33.743443807649506,106.0,0.0,106.0,5.0,3978726.0,Minor_Fault,Minor_fault_003_window_012.csv,1
24.66,32.95336705103137,1085.9244,41.1587171811756,113.0,0.0,113.0,5.5,5430590.0,Minor_Fault,Minor_fault_003_window_013.csv,1
23.33,27.87294566420994,776.9010999999997,36.34817739584752,91.0,0.0,91.0,6.0,3885050.0,Minor_Fault,Minor_fault_004_window_001.csv,1
19.08,25.35613535221801,642.9336,31.73294817693433,91.0,0.0,91.0,5.5,3216467.9999999995,Minor_Fault,Minor_fault_004_window_002.csv,1
18.89,25.117681023534,630.8979,31.42817207538485,82.0,0.0,82.0,5.5,3154801.9999999995,Minor_Fault,Minor_fault_004_window_003.csv,1
19.49,25.664565065475006,658.6699000000001,32.226231551330976,82.0,0.0,82.0,5.5,3296314.0000000005,Minor_Fault,Minor_fault_004_window_004.csv,1
14.91,23.000476082029262,529.0219000000002,27.410399486326355,71.0,0.0,71.0,5.5,2647490.0,Minor_Fault,Minor_fault_004_window_005.csv,1
11.58,21.26460909586631,452.1836000000001,24.21321952983535,92.0,0.0,92.0,5.0,2261309.9999999995,Minor_Fault,Minor_fault_004_window_006.csv,1
6.15,15.389850551581066,236.84750000000005,16.5731710906513,92.0,0.0,92.0,5.5,1188378.0,Minor_Fault,Minor_fault_004_window_007.csv,1
7.84,24.21640766092279,586.4344,25.453879861427804,168.0,0.0,168.0,5.0,2933630.0,Minor_Fault,Minor_fault_004_window_008.csv,1
14.75,32.16562606261535,1034.6275,35.386296782794325,168.0,0.0,168.0,5.0,5173138.000000001,Minor_Fault,Minor_fault_004_window_009.csv,1
16.4,30.66724637133239,940.4799999999996,34.777003896253056,121.0,0.0,121.0,5.5,4715200.0,Minor_Fault,Minor_fault_004_window_010.csv,1
17.72,29.838927594670693,890.3616000000001,34.70389027184128,110.0,0.0,110.0,6.5,4476450.000000001,Minor_Fault,Minor_fault_004_window_011.csv,1
19.0,32.395678724175546,1049.48,37.55635765086918,140.0,0.0,140.0,6.0,5276682.0,Minor_Fault,Minor_fault_004_window_012.csv,1
