Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-1.09,1.43,10.5,-0.22,-0.01,0.0
63,-0.17,0.86,9.28,0.0,-0.0,-0.01
127,1.68,-1.06,10.59,-0.12,0.09,0.01
189,0.45,0.72,8.88,-0.01,-0.05,-0.02
252,-1.36,0.74,10.03,0.0,-0.02,-0.02
315,2.5,0.34,8.55,0.16,-0.01,-0.03
377,0.94,-0.57,11.26,-0.01,-0.08,-0.06
442,-2.57,1.46,9.89,-0.05,-0.04,-0.01
506,2.38,2.04,8.25,-0.15,0.15,0.06
567,1.82,0.72,10.2,-0.04,-0.17,-0.06
630,-4.56,2.38,10.3,0.06,-0.12,-0.03
693,-0.33,-2.26,12.52,0.16,0.06,-0.05
756,0.48,-0.68,10.27,-0.01,0.03,-0.0
820,-0.26,0.03,9.0,0.09,-0.03,-0.01
883,-1.32,-0.45,11.19,0.08,-0.0,-0.01
948,-0.46,-0.99,9.05,-0.05,0.08,0.02
1011,0.85,-1.71,9.39,-0.08,0.03,-0.02
1074,-4.18,-0.1,7.47,-0.12,-0.06,-0.03
1140,-1.4,-1.61,9.16,-0.11,0.17,0.07
1203,2.59,-2.27,9.26,-0.16,0.11,-0.02
1266,-4.32,2.17,5.11,-0.27,-0.05,-0.04
1331,-0.23,-1.47,9.2,0.07,0.19,0.03
1393,2.86,-2.31,10.31,-0.12,0.12,-0.02
1456,3.36,2.11,19.61,-0.24,0.17,-0.14
1518,-0.73,0.82,8.03,0.07,0.22,0.08
1579,4.2,-1.41,9.04,-0.07,0.04,-0.03
1642,-4.1,-0.55,6.16,-0.42,-0.15,-0.0
1708,-2.45,1.39,8.57,0.14,0.04,0.01
1768,0.64,-1.48,10.22,0.0,0.07,-0.01
1830,-0.66,1.09,4.2,0.05,0.01,0.01
1891,2.06,-1.93,8.87,0.18,0.13,-0.03
1953,2.5,-2.17,11.21,-0.11,-0.0,-0.02
2018,0.85,-1.16,14.87,0.08,0.01,-0.03
2080,0.86,-1.7,11.41,-0.11,0.08,-0.0
2143,-0.67,-0.37,8.93,-0.11,0.02,-0.01
2207,0.37,-2.62,14.24,-0.15,0.19,0.04
2269,1.89,-1.62,9.42,-0.24,0.11,0.01
2331,-0.93,0.37,8.84,-0.14,0.01,-0.03
2394,-0.49,-1.64,4.68,0.04,0.1,-0.02
2458,2.51,-1.34,11.5,-0.09,0.04,-0.05
2521,-1.48,0.19,10.78,-0.26,0.01,-0.03
2584,-2.52,1.81,9.5,0.0,-0.01,-0.03
2647,1.65,-1.22,10.97,-0.1,0.1,0.01
2709,1.44,-0.22,9.64,-0.02,-0.01,-0.01
2774,0.54,-2.27,13.24,0.02,0.09,0.02
2835,2.15,-2.16,10.59,-0.07,0.09,0.0
2897,-0.43,-0.96,9.32,-0.15,0.04,-0.02
2961,-2.69,1.85,-2.05,-0.02,0.18,0.0
3024,2.22,0.08,7.24,0.11,-0.01,-0.06
3086,1.33,-0.07,11.17,-0.2,-0.05,-0.06
3151,-0.74,-0.13,14.28,0.01,0.04,-0.01
3214,0.35,-0.03,10.51,-0.13,0.05,0.01
3276,-0.78,0.28,9.2,-0.05,-0.03,-0.03
3340,-0.74,-0.41,9.19,-0.04,0.01,-0.01
3405,-0.04,-0.98,10.02,-0.27,0.05,0.01
