Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-0.89,0.0,9.56,-0.07,-0.15,-0.0
65,0.12,0.11,9.84,0.14,0.02,-0.02
126,-0.21,0.52,9.83,-0.12,0.07,-0.01
189,-0.26,-0.24,9.93,-0.12,0.03,0.0
252,-0.67,0.73,10.52,0.15,0.09,0.07
313,0.1,0.15,9.93,-0.01,-0.02,-0.01
376,-0.2,0.01,9.93,-0.09,0.04,-0.0
440,-1.57,4.93,9.75,-0.32,2.04,-0.23
503,-1.43,-0.86,9.1,0.06,0.07,0.0
565,-0.25,0.7,9.94,0.07,-0.01,-0.03
628,-0.96,3.59,13.41,0.15,1.94,-0.28
690,1.38,0.57,9.07,0.08,-0.12,0.23
751,-0.25,-0.3,9.79,-0.0,0.03,0.0
814,-7.49,2.66,9.63,0.21,0.71,0.15
874,-0.74,-0.64,9.93,0.31,0.06,0.0
936,-0.36,1.11,9.92,-0.06,0.01,-0.03
1000,0.28,0.52,7.04,0.1,0.45,0.14
1059,-0.64,-1.28,9.72,0.27,-0.02,-0.02
1124,-0.03,1.24,9.92,0.06,0.0,-0.11
1186,2.65,-0.6,8.33,0.47,1.13,0.21
1246,-0.55,0.52,9.96,-0.15,0.04,0.0
1308,1.1,-0.82,5.82,-0.29,0.75,-0.01
1372,-3.79,0.59,8.23,0.22,0.13,0.16
1432,-0.29,0.06,9.87,0.45,-0.04,-0.04
1495,-4.79,0.81,-12.02,-3.19,1.63,-1.18
1560,-1.42,1.74,5.64,0.54,0.5,-0.09
1622,0.21,0.39,9.97,-0.08,-0.04,-0.03
1685,-1.05,4.0,-1.29,-0.89,0.95,-0.0
1750,3.33,-0.51,8.69,0.75,1.23,0.2
1811,-1.05,0.88,10.14,0.01,-0.05,-0.03
1874,-2.29,-0.34,-3.74,-0.64,1.14,-0.01
1940,-2.16,0.89,6.15,0.24,-0.03,-0.05
2003,0.13,0.63,10.08,-0.14,0.04,-0.02
2065,9.35,1.36,8.38,-0.23,0.06,-0.18
2127,1.15,0.01,10.4,-0.18,0.05,0.03
2188,-0.27,-0.34,9.79,-0.09,0.06,0.0
2251,6.52,-0.52,3.89,1.27,-1.28,-0.49
2315,-1.12,0.26,10.01,-0.3,-0.25,0.01
2378,-0.33,0.65,9.87,0.09,-0.06,-0.01
2441,16.94,1.66,19.61,-0.16,0.3,-0.41
2504,-1.9,1.89,7.85,-0.2,-0.23,-0.03
2568,-0.5,-1.72,9.81,-0.18,0.11,0.14
2631,6.87,-10.63,5.95,0.42,-0.38,0.05
2694,-7.75,0.32,4.33,0.08,-0.27,0.02
2756,0.61,-0.27,10.28,0.03,0.04,-0.01
2818,1.42,-4.57,19.36,1.02,-0.17,0.16
2880,-0.32,1.0,10.0,-0.04,0.08,-0.04
2943,-0.29,-0.65,9.88,-0.18,0.05,0.01
3006,-3.05,6.59,11.09,0.24,0.81,-0.13
3068,-0.18,-0.66,10.02,0.09,0.08,-0.02
3132,-0.19,0.41,9.79,-0.1,0.02,-0.01
3195,-11.57,3.96,5.32,1.33,-0.75,0.45
3257,-0.63,-0.21,9.99,0.36,0.16,-0.04
3320,-0.27,0.7,9.88,-0.17,0.02,-0.01
3383,-3.16,0.21,8.13,0.6,0.59,0.03
3444,-0.83,0.07,9.51,-0.12,0.0,0.01
3506,-0.06,-0.04,9.88,-0.06,0.01,-0.01
3571,-5.09,0.06,6.68,-0.08,0.47,0.13
3633,0.16,-0.28,9.84,0.05,-0.07,-0.01
3696,-0.12,0.16,10.02,-0.09,0.02,-0.01
3759,0.25,0.53,19.53,0.44,-0.63,0.09
3820,-0.35,-0.1,9.56,-0.39,-0.03,0.01
3885,11.6,17.71,17.47,1.32,-1.61,-0.12
3947,-0.34,0.14,8.01,-0.23,0.12,0.03
4009,-0.47,0.31,9.77,-0.18,-0.0,-0.01
4074,-4.42,19.61,19.61,-2.64,-4.37,0.69
4137,-2.76,0.2,1.04,0.23,0.05,-0.19
4199,-0.11,0.39,9.98,0.05,-0.06,-0.03
4262,1.45,-3.38,-2.17,-0.34,1.14,-0.13
4327,-1.54,1.06,12.39,0.57,-0.66,-0.08
4391,-0.41,0.26,9.86,-0.3,0.02,-0.0
4454,-0.37,-0.31,9.79,0.04,0.05,-0.0
4517,-1.04,-0.75,8.33,-0.04,-0.38,0.25
4582,0.45,0.58,10.05,0.1,-0.07,-0.05
4644,-0.23,-0.22,9.84,-0.13,0.08,0.0
4707,-1.93,0.27,12.07,0.42,-0.49,-0.03
4770,-0.01,-0.07,10.02,-0.1,-0.08,-0.03
4836,-1.37,-4.96,-8.57,-0.39,1.31,-0.14
4902,-6.43,0.92,11.02,-0.45,0.16,-0.01
4966,0.01,-0.17,9.77,0.16,-0.02,-0.03
5029,-19.61,6.83,19.61,-2.39,-3.03,-0.04
5094,1.0,1.63,8.77,-0.13,-0.3,-0.02
5157,-0.42,-0.84,9.79,-0.11,0.01,0.01
5220,15.66,11.75,19.61,-0.19,-0.22,-0.14
5284,-0.65,-0.76,13.66,-0.87,-0.07,0.01
5349,-0.39,0.64,9.9,0.13,0.04,-0.03
5411,11.87,-17.17,8.52,-0.75,-0.94,-0.19
5476,-1.44,2.27,19.61,-0.03,-0.85,-0.02
5540,-0.86,0.14,9.85,-0.1,-0.0,-0.02
5605,-3.18,4.06,13.2,1.1,0.22,-0.37
5667,-1.02,-0.41,9.98,-0.15,0.04,-0.03
5732,-0.2,0.67,9.83,-0.03,0.04,-0.02
5795,-9.09,8.03,13.0,1.6,0.39,0.06
5855,-0.51,-0.21,9.93,-0.47,0.31,0.03
5919,-0.26,-0.42,9.83,0.28,-0.01,-0.01
5983,5.77,-12.68,19.61,1.45,0.01,-0.67
6046,1.99,-1.27,10.36,-0.23,0.12,0.02
6108,0.0,0.21,9.83,0.06,0.0,-0.01
6168,-0.31,-0.26,9.92,-0.12,0.04,-0.0
