Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.52,-0.27,9.98,-0.05,0.03,-0.01
64,0.48,-0.27,9.86,-0.05,0.03,-0.01
127,0.52,-0.29,9.86,-0.05,0.03,-0.01
190,0.51,-0.25,9.83,-0.05,0.03,-0.01
253,0.5,-0.29,9.87,-0.05,0.03,-0.01
316,0.54,-0.38,9.86,-0.05,0.04,-0.01
380,0.47,-0.28,9.78,-0.06,0.03,-0.01
443,0.48,-0.3,9.82,-0.05,0.03,-0.01
506,0.53,-0.28,9.9,-0.05,0.03,-0.01
569,0.45,-0.31,9.91,-0.05,0.03,-0.01
633,0.5,-0.28,9.78,-0.05,0.03,-0.01
696,0.49,-0.28,9.75,-0.06,0.03,-0.01
759,0.53,-0.27,9.89,-0.05,0.03,-0.01
823,0.52,-0.27,9.87,-0.05,0.03,-0.01
886,0.49,-0.28,9.9,-0.05,0.04,-0.01
949,0.47,-0.28,9.81,-0.06,0.03,-0.01
1012,0.52,-0.34,9.86,-0.05,0.03,-0.01
1076,0.44,-0.3,9.84,-0.05,0.03,-0.01
1139,0.48,-0.27,9.88,-0.05,0.03,-0.01
1202,0.47,-0.3,9.84,-0.06,0.04,-0.01
1265,0.56,-0.29,9.87,-0.05,0.03,-0.01
1328,0.5,-0.32,9.88,-0.05,0.03,-0.01
1392,0.54,-0.3,9.86,-0.05,0.03,-0.01
1455,0.51,-0.31,9.82,-0.05,0.03,-0.01
1518,0.52,-0.3,9.93,-0.05,0.04,-0.01
1581,0.46,-0.27,9.84,-0.06,0.03,-0.01
1645,0.51,-0.31,9.87,-0.06,0.04,-0.01
1708,0.49,-0.21,9.82,-0.05,0.03,-0.01
1771,0.42,-0.29,9.89,-0.05,0.03,-0.01
1835,0.5,-0.31,9.94,-0.05,0.03,-0.01
1898,0.52,-0.25,9.82,-0.05,0.03,-0.01
1961,0.48,-0.29,9.89,-0.05,0.03,-0.01
2024,0.54,-0.28,9.99,-0.05,0.03,-0.01
2088,0.47,-0.3,9.81,-0.05,0.04,-0.01
2151,0.46,-0.25,9.86,-0.06,0.03,-0.01
2214,0.56,-0.29,9.88,-0.05,0.03,-0.01
2277,0.46,-0.32,9.97,-0.05,0.03,-0.01
2340,0.57,-0.32,9.94,-0.05,0.03,-0.01
2404,0.51,-0.28,9.88,-0.05,0.04,-0.01
2467,0.48,-0.28,9.86,-0.05,0.03,-0.01
2530,0.52,-0.27,9.92,-0.06,0.03,-0.01
2593,0.57,-0.32,9.83,-0.05,0.03,-0.01
2657,0.5,-0.28,9.82,-0.05,0.03,-0.01
2720,0.52,-0.28,9.84,-0.05,0.04,-0.01
2783,0.5,-0.28,9.79,-0.05,0.04,-0.01
2847,0.5,-0.32,9.87,-0.05,0.03,-0.01
2910,0.52,-0.23,9.87,-0.05,0.03,-0.01
2973,0.49,-0.25,9.8,-0.06,0.03,-0.01
3036,0.46,-0.29,9.79,-0.05,0.03,-0.01
3100,0.49,-0.28,9.98,-0.05,0.03,-0.01
3163,0.48,-0.3,9.92,-0.06,0.03,-0.01
3226,0.51,-0.33,9.74,-0.05,0.03,-0.01
3289,0.54,-0.28,9.88,-0.05,0.04,-0.01
