Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-1.98,-2.15,9.99,-0.22,0.53,-0.12
65,-0.1,-0.94,8.2,1.1,-2.95,-0.43
129,3.04,0.4,11.32,0.86,-1.47,0.23
190,6.44,1.79,11.75,-0.43,2.39,-0.02
252,-6.09,2.09,4.25,-2.95,3.95,0.24
313,-2.77,-1.1,9.0,0.47,-3.12,-0.36
378,2.13,0.48,8.69,1.18,-2.49,-0.09
440,5.58,0.67,12.58,0.41,0.26,0.11
499,1.89,-0.33,7.37,-2.92,4.37,0.56
561,-3.29,1.14,7.3,-0.08,-1.7,-0.77
625,2.11,-1.96,11.77,1.71,-4.37,-0.63
689,3.73,0.96,8.55,1.32,-0.96,-0.19
750,7.68,-0.77,14.22,-0.95,4.37,-0.21
814,-6.8,2.07,3.07,-1.71,2.5,0.33
875,-1.51,-1.3,9.84,1.16,-2.78,-0.34
940,2.83,1.29,10.4,0.88,-1.46,0.24
1001,4.1,0.6,11.58,0.19,3.03,0.78
1060,-3.53,4.76,4.04,-1.83,1.53,-0.21
1123,-0.39,-0.72,11.42,1.21,-4.37,-0.27
1187,3.54,1.36,9.78,0.95,-1.76,0.19
1248,6.48,3.91,12.37,-2.51,2.05,-0.48
1310,-0.05,-0.54,6.75,-1.84,1.57,-0.31
1374,-0.21,-4.13,8.12,-3.02,-2.57,-1.33
1440,4.06,-4.54,10.65,0.72,-0.45,-0.15
1503,5.54,-4.25,10.0,-0.87,2.06,0.8
1565,-0.6,-1.51,6.98,-0.67,3.4,1.92
1628,-1.71,-5.94,8.83,2.92,-0.85,-0.22
1692,-0.06,-1.03,7.25,3.02,-2.48,-0.4
1757,-1.67,5.39,9.39,4.37,1.1,-1.62
1819,-1.98,7.74,5.34,1.01,-1.1,0.87
1880,5.27,2.67,10.98,-0.61,2.71,0.44
1941,-5.04,4.59,5.4,-1.43,2.65,-1.46
2004,-3.26,1.51,9.58,-2.66,-0.31,-0.51
2069,-3.8,2.75,4.59,-1.46,-2.45,-0.83
2133,-1.18,-0.51,12.49,1.42,-1.81,2.08
2196,2.63,1.15,9.2,2.08,-1.59,1.52
2257,3.85,3.76,8.96,-0.44,-1.3,0.07
2319,3.67,1.02,9.7,-4.37,2.3,-1.4
2380,2.5,1.6,8.37,-4.37,2.47,-0.41
2442,-1.91,-5.6,5.48,-4.37,-0.08,-0.52
2508,0.38,-9.58,8.46,1.9,0.45,0.48
2569,-0.63,-6.47,10.44,3.23,-0.64,-0.59
2633,2.24,-2.61,8.14,3.52,0.03,-0.02
2695,2.07,-4.43,12.66,2.74,0.93,0.56
2756,-0.04,3.45,6.41,3.0,-0.92,0.9
2817,1.36,1.13,7.52,4.27,-0.67,1.57
2878,1.16,5.33,9.42,2.17,-1.18,0.26
2938,2.06,3.5,6.55,2.11,-0.49,0.21
2999,3.5,6.69,7.3,-0.02,-0.94,1.25
3060,5.57,7.6,8.89,-0.88,-0.02,0.03
3122,1.65,1.76,6.62,-3.2,2.32,-1.11
3184,2.71,-6.42,8.28,-0.68,1.78,-0.45
3247,-0.64,5.82,7.54,-2.84,1.89,-0.52
3310,0.63,-4.01,10.41,-2.86,-2.86,-0.04
3375,1.06,2.44,5.59,0.2,-4.1,0.14
3435,8.49,-0.42,10.76,0.98,-2.22,0.86
3497,8.8,3.46,10.21,2.68,3.79,-0.93
3558,0.31,-0.02,5.87,-2.41,4.37,-0.22
3621,-3.22,2.15,6.22,-0.59,-0.97,-0.68
3685,-0.39,-2.12,11.08,0.9,-4.37,0.03
3749,5.29,0.35,10.94,0.9,-2.64,0.31
3809,7.27,2.82,13.91,0.22,3.45,-0.75
3870,-2.5,2.62,6.77,-1.93,4.37,-0.27
3933,-4.73,-0.98,8.64,-0.44,-0.81,-0.11
3999,-2.39,1.2,5.95,1.82,-4.37,0.48
4060,4.48,-0.36,12.37,0.85,-2.97,0.71
4122,6.47,2.46,13.8,-0.99,4.32,-1.12
4184,-4.12,0.07,3.88,-2.16,4.37,-0.34
4247,-2.31,-1.16,9.26,0.49,-2.62,-0.01
4312,2.63,-0.61,7.9,1.92,-4.37,1.15
4373,6.96,3.56,14.71,0.11,2.38,-0.31
4434,-3.02,-1.34,3.33,-1.87,4.37,-0.3
4499,-3.26,0.3,9.52,0.94,-4.27,0.04
4560,3.41,3.03,9.42,1.52,-4.37,0.62
4621,5.42,3.15,12.94,0.14,3.75,-0.35
4681,-5.56,2.09,2.31,-2.67,4.37,-0.33
4745,-1.42,-1.1,9.65,1.17,-4.37,-0.04
4809,4.53,1.84,11.14,1.12,-2.46,0.38
4870,5.43,3.47,10.82,-0.27,3.6,-0.11
4932,-5.83,2.77,4.07,-1.16,4.06,-0.19
4995,-0.7,0.56,7.97,0.99,-4.37,-0.23
5058,4.97,1.82,10.95,0.88,-2.3,0.65
5118,6.64,3.23,12.49,-1.09,4.37,-0.99
5180,-7.07,1.57,3.22,-0.43,0.34,-0.38
5243,1.46,0.58,10.52,1.41,-4.37,0.32
5304,4.76,3.26,12.28,0.87,0.41,0.23
5363,1.7,2.3,7.82,-2.01,4.37,-0.28
5425,-4.79,0.89,5.77,0.05,-4.17,-0.56
5488,4.21,1.01,14.01,1.36,-3.22,0.43
5549,5.6,2.54,13.29,0.12,4.37,-0.81
5609,-8.67,0.5,1.8,-1.53,1.91,-0.96
5672,-0.48,-0.5,10.35,2.74,-4.37,0.47
5736,2.3,3.79,9.53,4.2,-3.25,1.38
5796,2.55,7.38,5.55,0.5,1.28,0.39
5855,3.08,6.77,7.47,-0.93,1.48,-0.15
5917,-1.23,5.0,4.95,-2.04,-3.85,0.65
5980,5.34,1.77,9.27,-1.7,-4.01,2.12
6042,6.26,4.98,9.29,-3.64,-0.98,0.37
6104,9.76,-3.02,8.06,-3.87,0.07,-0.64
6167,1.25,2.09,4.08,-1.98,1.48,-0.04
6229,6.99,-3.45,8.83,-1.83,-0.19,-0.84
6293,7.89,-4.03,10.6,2.14,3.09,0.71
6354,7.17,1.89,6.22,1.92,4.37,3.02
6413,-6.33,0.63,6.3,-2.96,2.0,0.23
6475,-3.59,0.73,7.28,-1.38,-1.78,-0.52
6539,0.17,-4.1,11.2,-0.22,-3.79,-1.07
6604,2.72,-2.21,7.73,-1.83,-3.32,-1.23
6668,4.85,-5.37,10.12,-2.92,1.5,0.05
6730,0.72,-6.91,8.23,-0.68,2.58,2.03
6792,0.11,-5.4,7.71,1.8,-0.9,-0.33
6855,2.4,-0.69,9.07,0.78,-0.67,-0.46
6918,-0.24,-7.62,6.62,-4.37,2.63,1.86
6981,0.77,-6.42,7.84,-1.78,-0.2,-0.43
7046,0.97,-8.66,8.44,0.61,-0.57,-0.5
7109,2.3,-2.96,6.77,2.93,-0.77,-0.92
7172,0.64,-5.32,6.41,-1.15,1.54,1.19
7233,-1.83,-7.28,8.61,-2.26,0.17,0.22
7296,1.37,-7.83,9.11,1.94,-0.44,-0.42
7360,-0.09,-5.02,7.31,4.3,-1.52,-0.67
7424,1.45,-0.96,8.37,-1.13,1.47,0.09
7486,0.46,-3.8,9.9,-1.9,2.11,1.12
7548,-1.13,-5.13,7.5,-0.41,-0.2,0.01
7612,-1.45,-7.45,9.6,3.47,-2.56,-0.94
7677,3.18,1.16,8.42,4.37,-1.96,-1.68
7739,3.32,4.15,9.84,2.47,0.84,0.14
7798,2.55,5.04,8.84,0.08,1.47,0.65
