Time_ms,Microphone
0,380
22,509
44,341
65,378
87,346
109,396
130,325
152,517
173,353
195,363
217,358
238,381
260,387
282,379
303,356
325,374
347,377
368,310
390,349
411,379
433,509
455,357
476,510
498,388
520,349
541,538
563,401
585,310
606,361
628,356
649,390
671,517
693,406
714,405
736,505
758,351
779,379
801,378
822,353
844,358
866,374
887,396
909,365
931,357
952,379
974,388
996,376
1017,332
1039,318
1060,349
1082,351
1104,397
1125,364
1147,369
1169,362
1190,315
1212,380
1233,353
1255,339
1277,356
1298,327
1320,373
1342,356
1363,311
1385,362
1407,494
1428,368
1450,488
1471,496
1493,398
1515,431
1536,312
1558,374
1580,358
1601,310
1623,374
1645,361
1666,356
1688,380
1709,376
1731,390
1753,364
1774,367
1796,340
1818,353
1839,363
1861,362
1882,360
1904,400
1926,420
1947,351
1969,347
1991,353
2012,367
2034,360
2056,324
2077,326
2099,381
2120,344
2142,399
2164,431
2185,356
2207,377
2229,347
2250,372
2272,378
2294,372
2315,324
2337,370
2358,340
2380,329
2402,361
2423,359
2445,389
2467,363
2488,381
2510,349
2531,357
2553,350
2575,380
2596,374
2618,361
2640,326
2661,395
2683,353
2705,361
2726,379
2748,363
2769,341
2791,370
2813,435
2834,403
2856,370
2878,484
2899,516
2921,461
2943,488
2964,382
2986,371
3007,327
3029,534
3051,390
3072,408
3094,534
3116,362
3137,366
3159,458
3180,420
3202,357
3224,373
3245,395
3267,391
3289,369
3310,338
3332,510
3354,315
3375,386
3397,454
3418,457
3440,336
3462,494
3483,364
3505,379
3527,364
3548,349
3570,457
3592,386
3613,371
3635,366
3656,340
3678,375
3700,374
3721,362
3743,504
3765,353
3786,451
3808,500
3829,342
3851,449
3873,424
3894,377
3916,300
3938,369
3959,377
3981,342
4003,450
4024,326
4046,374
4067,350
4089,366
4111,360
4132,346
4154,530
4176,374
4197,496
4219,335
4241,378
4262,497
4284,358
4305,333
4327,382
4349,328
4370,365
4392,345
4414,307
4435,356
4457,379
4478,387
4500,327
4522,354
4543,342
4565,385
4587,482
4608,399
4630,370
4652,306
4673,366
4695,366
4716,366
4738,342
4760,386
4781,379
4803,314
4825,377
4846,374
4868,353
4890,389
4911,532
4933,360
4954,526
4976,363
4998,462
5019,371
5041,379
5063,374
5084,375
5106,399
5127,327
5149,367
5171,372
5192,341
5214,419
5236,379
5257,368
5279,434
5301,367
5322,379
5344,367
5365,356
5387,364
5409,454
5430,385
5452,351
5474,487
5495,366
5517,356
5539,374
5560,341
5582,341
5603,310
5625,366
5647,531
5668,370
5690,378
5712,352
5733,329
5755,398
5776,367
5798,479
5820,362
5841,353
5863,293
5885,470
5906,355
5928,370
5950,361
5971,407
5993,435
6014,340
6036,358
6058,456
6079,357
6101,532
6123,347
6144,371
6166,356
6188,351
6209,374
6231,461
6252,388
6274,370
6296,518
6317,455
6339,350
6361,367
6382,385
6404,350
6425,359
6447,329
6469,371
6490,350
6512,324
6534,329
6555,342
6577,436
6599,379
6620,509
6642,354
6663,527
6685,392
6707,364
6728,361
6750,331
6772,509
6793,421
6815,529
6837,396
6858,337
6880,319
6901,381
6923,374
6945,382
6966,425
6988,391
7010,345
7031,360
7053,369
7074,513
7096,373
7118,386
7139,383
7161,481
7183,345
7204,368
7226,390
7248,383
7269,365
7291,507
7312,358
7334,369
7356,341
7377,523
7399,530
7421,378
7442,370
7464,373
7486,351
7507,349
7529,513
7550,339
7572,374
7594,388
7615,333
7637,361
7659,344
7680,419
7702,366
7723,360
7745,362
7767,388
7788,392
7810,362
7832,363
7853,432
7875,383
7897,329
7918,378
7940,492
7961,450
7983,375
8005,323
8026,377
8048,344
8070,380
8091,332
8113,356
8135,371
8156,425
8178,356
8199,357
8221,463
8243,371
8264,364
8286,371
8308,366
8329,352
8351,358
8372,348
8394,404
8416,369
8437,334
8459,365
8481,376
8502,369
8524,383
8546,478
8567,348
8589,360
8610,487
8632,528
8654,356
8675,376
8697,356
8719,478
8740,366
8762,379
8784,356
8805,366
8827,316
8848,353
8870,376
8892,385
8913,428
8935,371
8957,372
8978,505
9000,364
9021,527
9043,344
9065,368
9086,372
9108,413
9130,338
9151,366
9173,350
9195,331
9216,449
9238,381
9259,369
9281,513
9303,323
9324,379
9346,332
9368,528
9389,391
9411,505
9433,342
9454,369
9476,364
9497,491
9519,368
9541,366
9562,510
9584,444
9606,358
9627,348
9649,367
9670,368
9692,353
9714,368
9735,358
9757,362
9779,348
9800,371
9822,357
9844,366
9865,343
9887,361
9908,507
9930,392
9952,485
9973,364
9995,469
10017,366
10038,369
10060,348
10082,454
10103,357
10125,347
10146,322
10168,329
10190,353
10211,405
10233,372
10255,331
10276,357
10298,434
10319,367
10341,375
10363,372
10384,370
10406,374
10428,390
10449,359
10471,381
10493,516
10514,368
10536,361
10557,451
10579,354
10601,431
10622,350
10644,327
10666,380
10687,381
10709,356
10731,356
10752,424
10774,331
10795,418
10817,358
10839,399
10860,376
10882,378
10904,365
10925,365
10947,358
10969,385
10990,357
11012,383
11033,377
11055,496
11077,358
11098,308
11120,374
11142,417
11163,518
11185,397
11206,370
11228,383
11250,386
11271,375
11293,328
11315,366
11336,387
11358,353
11380,350
11401,376
11423,354
11444,436
11466,525
11488,506
11509,372
11531,441
11553,369
11574,385
11596,380
11617,426
11639,402
11661,383
11682,371
11704,335
11726,368
11747,383
11769,349
11791,421
11812,370
11834,391
11855,351
11877,350
11899,356
11920,373
11942,353
11964,364
11985,401
12007,358
12029,386
12050,401
12072,354
12093,377
12115,350
12137,394
12158,371
12180,383
12202,458
12223,347
12245,369
12266,372
12288,447
12310,372
12331,381
12353,342
12375,377
12396,369
12418,367
12440,300
12461,421
12483,363
12504,398
12526,409
12548,362
12569,354
12591,372
12613,341
12634,354
12656,345
12678,374
12699,363
12721,367
12742,348
12764,499
12786,357
12807,355
12829,377
12851,383
12872,378
12894,508
12915,371
12937,371
12959,408
12980,363
13002,383
13024,441
13045,335
13067,329
13089,384
13110,307
13132,375
13153,485
13175,524
13197,516
13218,372
13240,388
13262,485
13283,385
13305,513
13327,371
13348,358
13370,366
13391,369
13413,375
13435,494
13456,312
13478,356
13500,319
13521,359
13543,345
13564,349
13586,363
13608,392
13629,374
13651,329
13673,493
13694,391
13716,398
13738,370
13759,349
13781,400
13802,349
13824,345
13846,401
13867,331
13889,347
13911,370
13932,336
13954,360
13976,478
13997,359
14019,377
14040,376
14062,362
14084,350
14105,369
14127,367
14149,361
14170,350
14192,360
14213,387
14235,382
14257,348
14278,375
14300,354
14322,356
14343,379
14365,454
14387,356
14408,340
14430,375
14451,372
14473,343
14495,338
14516,351
14538,364
14560,420
14581,337
14603,344
14625,341
14646,337
14668,370
14689,430
14711,323
14733,359
14754,523
14776,513
14798,366
14819,366
14841,373
14862,377
14884,366
14906,358
14927,399
14949,531
14971,375
14992,333
15014,376
15036,344
15057,355
15079,370
15100,378
15122,384
15144,378
15165,309
15187,385
15209,379
15230,443
15252,341
15274,468
