Time_ms,Piezo
447,0
467,0
488,0
507,0
528,0
548,9
569,38
589,53
610,6
630,0
651,0
671,0
691,0
711,4
732,29
752,59
773,46
793,0
814,0
834,0
855,0
874,0
894,3
915,46
935,81
956,14
976,0
997,0
1017,0
1038,2
1058,4
1078,24
1098,54
1119,61
1139,0
1160,0
1180,0
1201,0
1221,0
1242,2
1262,33
1283,47
1303,0
1324,0
1344,0
1364,0
1385,0
1404,1
1425,23
1445,40
1466,23
1486,0
1507,0
1527,0
1548,0
1568,2
1589,20
1609,31
1630,35
1650,0
1671,0
1691,0
1711,0
1731,1
1752,17
1772,38
1793,48
1813,28
1833,0
1854,0
1874,0
1895,1
1915,1
1936,17
1956,27
1977,39
1997,0
2018,0
2037,0
2058,0
2078,0
2099,15
2119,27
2140,32
2160,0
2181,0
2201,0
2222,0
2242,0
2263,3
2283,27
2304,32
2324,0
2343,0
2364,0
2384,0
2405,0
2425,3
2446,14
2466,40
2487,60
2507,4
2528,0
2548,0
2569,0
2589,0
2610,11
2630,40
2651,41
2670,14
2691,0
2711,0
2732,0
2752,0
2772,0
2793,9
2813,27
2834,44
2854,27
2875,0
2895,0
2916,0
2936,0
2957,9
2976,30
2997,55
3017,55
3038,9
3058,0
3079,0
3099,0
3120,0
3140,8
3161,35
3181,51
3202,53
3222,8
3243,0
3263,0
3282,0
3303,0
3323,0
3344,17
3364,37
3385,51
3405,28
3426,0
3446,0
3467,0
3487,4
3508,1
3528,8
3549,27
3569,55
3590,32
3610,0
3630,0
3650,0
3671,0
3691,0
3712,0
3732,17
3752,3
3773,0
3793,0
3814,0
3834,0
3855,0
3874,0
3895,21
3915,87
3936,68
3956,0
3977,0
3997,0
4018,0
4038,0
4059,0
4079,7
4100,36
4120,72
4141,3
4161,0
4180,0
4201,0
4221,0
4242,8
4262,33
4283,65
4303,52
4324,0
4344,0
4365,0
4385,0
4406,0
4426,0
4447,23
4467,48
4487,29
4507,0
4528,0
4548,0
4569,0
4589,0
4610,0
4630,18
4651,57
4671,17
4691,0
4712,0
4732,0
4753,0
4773,0
4793,4
4813,29
4834,50
4854,34
4875,0
4895,0
4916,0
4936,0
4957,2
4977,2
4998,19
5018,49
5039,49
5059,0
5080,0
5099,0
5120,0
5140,0
5160,2
5181,12
5201,27
5222,53
5242,44
5263,0
5283,0
5304,0
5324,0
5345,0
5365,9
5386,36
5405,54
5426,36
5446,0
5467,0
5487,0
5508,0
5528,0
5549,0
5569,20
5590,54
5610,12
5630,0
5651,0
5671,0
5692,0
5712,0
5732,0
5752,25
5773,63
5793,76
5814,0
5834,0
5855,0
5875,0
5896,7
5916,25
5937,39
5957,27
5978,0
5998,0
6019,0
6038,0
6059,0
6079,0
6099,0
6120,0
6140,0
6161,0
6181,4
6202,31
6222,2
6243,0
6263,0
6284,0
6303,0
6324,0
6344,18
6365,39
6385,60
6406,0
6426,0
6447,0
6467,0
6488,1
6508,14
6529,36
6549,76
6569,23
6590,0
6610,0
6630,0
6650,0
6671,0
6691,13
6712,64
6732,109
6753,86
6773,0
6794,0
6814,0
6835,0
6855,0
6876,0
6896,39
6917,107
6937,78
6958,0
6978,0
6998,0
7018,0
7038,0
7059,0
7079,1
7100,48
7120,84
7141,0
7161,0
7182,0
7202,0
7223,0
7243,0
7263,2
7283,2
7304,0
7324,51
7345,97
7365,27
7386,0
7406,0
7427,0
7447,1
7468,5
7488,2
7508,20
7529,107
7549,141
7570,115
7590,0
7610,0
7630,0
7651,0
7671,0
7692,0
7712,0
7733,19
7753,97
7774,44
7794,0
7815,0
7835,0
7856,0
7876,0
7896,0
7916,1
7937,50
7957,139
7977,116
7998,0
8018,0
8039,0
8059,0
8080,0
8100,1
8121,48
8141,119
8162,100
8182,6
8203,0
8223,0
8244,0
8263,0
8284,0
8304,3
8325,24
8345,80
8366,102
8386,22
8407,0
8427,0
8448,0
8468,0
8488,0
8509,0
8529,0
8550,0
8569,27
8590,50
8610,1
8631,0
8651,0
8672,0
8692,0
8713,0
8733,0
8754,0
8774,34
8795,61
8815,30
8836,0
8856,0
8876,0
