Time_ms,Piezo
447,25
467,0
488,0
508,0
528,0
548,0
569,222
589,267
610,0
630,0
651,0
671,0
692,0
712,33
732,277
752,151
773,0
793,0
814,0
834,0
855,0
875,17
896,383
916,136
936,0
956,0
976,0
997,0
1017,0
1038,280
1058,196
1079,0
1099,0
1120,0
1140,0
1161,0
1181,3
1202,131
1222,223
1243,81
1262,0
1283,0
1303,0
1324,0
1344,4
1364,345
1385,318
1405,0
1426,0
1446,0
1467,0
1487,136
1508,321
1528,260
1549,0
1569,0
1590,0
1610,0
1630,0
1650,26
1671,457
1691,303
1712,0
1732,0
1753,0
1773,0
1794,0
1814,0
1835,67
1855,238
1875,139
1896,0
1916,0
1937,0
1957,0
1978,1
1997,211
2018,379
2038,166
2059,0
2079,0
2100,0
2120,0
2141,0
2161,0
2182,272
2202,373
2223,0
2243,0
2264,0
2284,0
2305,0
2325,2
2345,251
2366,281
2386,0
2406,0
2426,0
2447,0
2467,0
2488,6
2508,189
2529,257
2549,62
2570,0
2590,0
2611,0
2631,0
2652,0
2672,16
2693,386
2713,164
2734,0
2754,0
2774,0
2794,0
2814,0
2835,0
2855,310
2876,365
2896,0
2917,0
2937,0
2958,0
2978,0
2999,0
3019,182
3040,235
3060,0
3081,0
3100,0
3121,0
3141,0
3162,0
3182,204
3203,384
3223,0
3244,0
3264,0
3284,0
3305,0
3325,0
3346,0
3366,157
3387,116
3407,0
3428,0
3447,0
3468,0
3488,0
3509,0
3529,308
3550,268
3570,0
3591,0
3611,0
3632,0
3652,0
3673,17
3693,252
3714,240
3734,0
3755,0
3775,0
3794,0
3815,0
3835,0
3856,315
3876,386
3897,0
3917,0
3938,0
3958,0
3979,0
3999,28
4020,430
4040,361
4061,0
4081,0
4102,0
4122,0
4142,0
4162,0
4183,40
4203,372
4224,340
4244,0
4264,0
4285,0
4305,0
4326,0
4346,8
4367,302
4387,389
4408,0
4428,0
4449,0
4469,0
4489,0
4509,0
4530,87
4550,543
4571,0
4591,0
4612,0
4632,0
4653,0
4673,260
4694,508
4714,89
4734,0
4755,0
4775,0
4796,0
4815,0
4836,1
4856,342
4877,174
4897,0
4918,0
4938,0
4959,0
4979,0
5000,173
5020,469
5041,0
5061,0
5082,0
5102,0
5123,0
5142,0
5163,311
5183,258
5203,0
5224,0
5244,0
5265,0
5285,126
5306,249
5326,284
5347,0
5367,0
5388,0
5408,0
5429,0
5449,0
5470,0
5490,451
5511,54
5531,0
5551,0
5571,0
5592,0
5612,0
5633,212
5653,446
5673,0
5694,0
5714,0
5735,0
5755,0
5776,0
5796,416
5817,322
5837,0
5858,0
5878,0
5898,0
5918,0
5939,2
5959,297
5980,94
6000,0
6021,0
6041,0
6062,0
6082,0
6103,137
6123,224
6144,0
6164,0
6184,0
6205,0
6224,0
6245,0
6265,39
6286,188
6306,0
6327,0
6347,0
6368,0
6388,0
6409,0
6429,1
6450,92
6470,309
6491,0
6511,0
6531,0
6551,0
6572,0
6592,1
6612,237
6633,305
6653,0
6674,0
6694,0
6715,0
6735,0
6756,0
6776,0
6797,226
6817,46
6838,0
6857,0
6878,0
6898,0
6919,0
6939,6
6960,375
6980,164
7001,0
7021,0
7042,0
7062,0
7083,0
7103,59
7123,402
7144,128
7164,0
7185,0
7204,0
7225,0
7245,0
7266,0
7286,173
7307,29
7327,0
7348,0
7368,0
7389,10
7409,268
7430,257
7450,70
7471,0
7491,0
7512,0
7532,0
7552,0
7572,0
7592,324
7613,179
7633,0
7654,0
7674,0
7695,0
7715,0
7736,6
7756,267
7777,313
7797,0
7818,0
7838,0
7859,0
7879,0
7899,188
7919,507
7940,158
7961,0
7981,0
8001,0
8022,0
8042,0
8062,24
8083,515
8103,68
8124,0
8144,0
8165,0
8185,0
8206,236
8226,385
8247,129
8267,0
8288,0
8308,0
8328,1
8348,140
8369,199
8389,0
8410,0
8430,0
8451,0
8471,0
8492,0
8512,4
8532,394
8553,260
8573,0
8594,0
8614,0
8635,0
8655,0
8675,10
8695,305
8716,0
8736,0
8757,0
8777,0
8798,0
8818,373
8839,249
8859,0
8880,0
8900,0
8921,0
8941,0
8962,32
8982,261
9003,0
9023,0
9042,0
9063,0
9083,0
9104,0
9124,233
9145,92
9165,0
9186,0
9206,0
9227,0
9247,0
9268,0
9288,205
9309,334
9329,0
9350,0
9369,0
9390,0
9410,0
9431,0
9451,192
9472,200
9492,0
9512,0
9533,0
9553,0
9574,0
9594,0
9615,151
9635,333
9656,0
9676,0
9696,0
9716,0
9737,0
9757,0
9778,233
9798,220
9819,0
9839,0
9860,0
9880,0
9901,0
9921,0
9942,55
9962,317
9982,0
10003,0
10023,0
10043,0
10063,0
10084,0
10104,250
10125,411
10145,0
10166,0
10186,0
10207,0
10227,0
10248,65
10268,199
10289,11
10309,0
10330,0
10350,0
10371,0
10391,0
10412,0
10432,0
10452,0
10473,247
10493,48
10514,0
10534,0
10555,0
10575,0
10596,0
10616,0
10637,7
10657,389
10678,236
10698,0
10719,0
10739,0
10760,0
10780,0
10801,0
10821,44
10842,275
10862,180
10883,0
10903,0
10924,0
10944,0
10964,0
10985,0
11005,196
11026,609
11046,0
11067,0
11087,0
11108,0
11128,0
11148,0
11168,0
11189,17
11209,330
11230,303
11251,0
11271,0
11291,0
11312,0
11332,0
11353,6
11373,226
11394,204
11414,0
11435,0
11455,0
11475,0
11496,0
11516,0
11537,8
11557,365
11578,147
11598,0
11619,0
11639,0
11660,0
11680,0
11701,0
11721,0
11742,276
11762,291
11783,0
11803,0
11824,0
11844,0
11865,0
11885,0
11906,206
11926,136
11947,0
11967,0
11987,0
12008,0
12028,0
12049,0
12069,0
12090,225
12110,176
12131,0
12151,0
12172,0
12192,0
12213,0
12233,0
12254,0
12273,0
12294,441
12314,0
12335,0
12355,0
12376,0
12396,0
12417,0
12437,242
12457,257
12478,0
12498,0
12519,0
12539,0
12560,0
12580,0
12601,0
12621,0
12642,220
12662,430
12683,0
12703,0
12724,0
12744,0
12765,0
12785,18
12806,123
12826,201
12847,86
12867,0
12888,0
12908,0
12929,0
12949,0
12969,2
12990,291
13010,242
13031,0
13051,0
13072,0
13092,0
13113,0
13133,0
13154,302
13174,300
13195,0
13215,0
13236,0
13256,0
13277,0
13297,0
13318,91
13338,390
13359,14
13379,0
13400,0
13420,0
13441,0
13460,0
13480,220
13502,402
13522,119
13543,0
13563,0
13584,0
13603,0
13624,0
13644,0
13665,299
13685,330
13706,0
13726,0
13747,0
13767,0
13788,0
13808,1
13829,2
13849,142
13870,112
13890,0
13911,0
13931,0
13952,0
13972,0
13992,0
14013,1
14033,347
14054,108
14074,0
14095,0
14115,0
14136,0
14156,0
14177,169
14197,311
14218,104
14238,0
14259,0
14279,0
14300,0
14320,0
14341,102
14361,385
14382,246
14402,0
14423,0
14443,0
14464,0
14484,0
14504,0
14525,218
14545,392
14566,146
14586,0
14607,0
14627,0
14648,0
