Time_ms,Piezo
446,0
466,1
487,0
507,4
528,3
548,0
569,1
589,0
609,1
629,2
650,1
670,1
691,0
711,0
732,0
752,0
772,0
792,0
813,1
833,0
854,2
874,0
894,0
915,0
934,0
955,0
975,0
996,1
1016,2
1037,0
1057,0
1078,0
1098,0
1119,1
1138,0
1159,1
1179,1
1200,1
1220,9
1241,0
1261,3
1282,0
1302,0
1323,1
1343,0
1363,0
1383,0
1403,0
1424,4
1444,0
1465,1
1485,4
1506,4
1526,1
1547,1
1567,0
1588,0
1608,0
1628,0
1648,0
1669,0
1689,0
1710,0
1730,1
1751,0
1771,1
1792,0
1812,0
1832,0
1853,1
1872,0
1893,0
1913,0
1934,2
1954,0
1975,0
1995,1
2016,1
2036,2
2057,3
2077,4
2098,3
2117,4
2138,3
2158,9
2179,9
2199,1
2220,0
2240,0
2260,9
2281,3
2301,0
2322,0
2342,4
2362,0
2382,0
2403,0
2423,0
2444,4
2464,2
2485,0
2505,0
2526,1
2546,0
2567,0
2587,1
2607,0
2627,0
2648,0
2668,1
2689,0
2709,0
2729,0
2750,0
2770,0
2791,0
2811,0
2832,0
2851,1
2872,1
2892,0
2913,1
2933,1
2954,0
2974,0
2995,2
3015,0
3036,0
3056,4
3077,4
3096,0
3117,3
3137,3
3158,4
3178,3
3198,3
3219,1
3239,3
3260,1
3280,0
3301,0
3321,8
3341,2
3361,2
3382,0
3402,0
3423,1
3443,2
3464,2
3484,1
3505,1
3525,0
3546,0
3566,1
3586,0
3606,0
3627,1
3647,0
3667,0
3688,0
3708,0
3729,0
3749,0
3770,0
3790,0
3811,0
3830,0
3851,2
3871,1
3892,2
3912,3
3933,0
3953,4
3974,5
3994,0
4015,3
4035,1
4056,4
4075,0
4096,3
4116,0
4136,4
4157,0
4177,0
4198,0
4218,4
4239,9
4259,0
4280,0
4300,0
4320,0
4340,1
4361,0
4381,0
4402,0
4422,0
4443,0
4463,0
4484,0
4504,0
4525,0
4545,1
4564,0
4585,1
4605,1
4626,0
4646,0
4667,0
4687,0
4708,0
4728,0
4749,0
4769,0
4790,1
4809,0
4830,0
4850,1
4871,0
4891,1
4912,2
4932,0
4953,0
4973,2
4994,0
5014,0
5035,0
5054,3
5074,1
5095,1
5115,1
5136,0
5156,1
5177,1
5197,1
5218,0
5238,3
5259,2
5279,0
5299,4
5319,0
5340,1
5360,0
5381,1
5401,0
5422,0
5442,0
5463,0
5483,0
5504,0
5524,0
5543,0
5564,1
5584,1
5605,0
5625,0
5646,1
5666,0
5687,1
5707,0
5728,1
5748,1
5769,2
5788,3
5809,0
5829,1
5850,1
5870,3
5891,1
5911,3
5932,2
5952,1
5972,1
5993,3
6013,2
6033,3
6053,1
6074,1
6094,8
6115,1
6135,0
6156,2
6176,2
6197,0
6217,0
6238,0
6258,0
6278,0
6298,0
6319,0
6339,1
6360,0
6380,1
6401,0
6421,0
6441,0
6462,0
6482,0
6503,0
6522,0
6543,0
6563,0
6584,1
6604,2
6625,0
6645,1
6666,2
6686,0
6707,1
6727,1
6748,4
6767,0
6788,1
6808,0
6829,4
6849,0
6870,1
6890,0
6910,1
6931,0
6951,0
6972,0
6992,0
7012,5
7032,3
7053,0
7073,1
7094,4
7114,1
7135,2
7155,0
7176,0
7196,1
7217,0
7237,1
7257,0
7277,0
7298,0
7318,1
7339,0
7359,1
7379,0
7400,0
7420,0
7441,0
7461,0
7482,0
7501,1
7522,1
7542,0
7563,0
7583,0
7604,0
7624,0
7645,0
7665,1
7686,0
7706,8
7727,1
7746,1
7767,3
7787,3
7808,4
7828,3
7848,3
7869,3
7889,9
7910,1
7930,0
7951,1
7971,1
7991,2
8011,2
8032,0
8052,1
8073,0
8093,1
8114,0
8134,0
8155,0
8175,0
8196,0
8216,0
8236,0
8256,0
8276,0
8297,0
8317,0
8338,0
8358,0
8379,0
8399,0
8420,0
8440,0
8461,0
8480,2
8501,0
8521,1
8542,0
8562,0
8583,0
8603,4
8624,4
8644,0
8665,0
8685,0
8706,9
8725,1
8745,1
8766,0
8786,2
8807,8
8827,1
8848,3
8868,2
8889,4
8909,0
8930,0
8950,0
8970,0
8990,0
9011,2
9031,0
9052,0
9072,0
9093,0
9113,0
9134,1
9154,0
9175,0
9195,0
9214,0
9235,0
9255,0
9276,0
9296,0
9317,1
9337,0
9358,0
9378,0
9399,0
9419,1
9440,1
9459,2
9480,0
9500,0
9521,4
9541,0
9562,0
9582,1
9603,2
9623,2
9644,0
9664,1
9684,9
9704,0
9724,0
9745,0
9765,4
9786,4
9806,3
9827,3
9847,0
9868,4
9888,1
9909,0
9929,0
9949,0
9969,0
9990,0
10010,2
10031,0
10051,0
10072,0
10092,0
10113,0
10133,0
10153,0
10174,0
10194,0
10215,0
10235,0
10256,1
10276,2
10297,2
10317,0
10338,0
10357,1
10378,2
10398,0
10419,0
10439,2
10460,3
10480,1
10501,3
10521,0
10542,0
10562,3
10583,2
10603,1
10624,0
10644,0
10664,2
10685,0
10705,1
10726,2
10746,1
10767,0
