Time_ms,Piezo
446,1
466,1
487,1
507,0
528,0
548,0
569,0
589,0
609,0
629,0
650,0
670,2
691,0
711,0
732,1
752,0
772,0
792,2
813,0
833,0
854,0
874,4
894,1
915,3
934,1
955,4
975,2
996,1
1016,0
1037,1
1057,9
1078,1
1098,2
1119,0
1138,4
1159,0
1179,0
1200,0
1220,4
1241,9
1261,1
1282,1
1302,1
1323,0
1343,0
1363,1
1383,2
1403,1
1424,0
1444,0
1465,1
1485,1
1506,1
1526,0
1547,1
1567,1
1588,0
1608,1
1628,0
1648,2
1669,0
1689,4
1710,2
1730,0
1751,2
1771,4
1792,1
1812,2
1832,0
1853,2
1872,0
1893,1
1913,2
1934,1
1954,2
1975,0
1995,0
2016,0
2036,3
2057,2
2077,1
2098,0
2117,0
2138,4
2158,1
2179,0
2199,3
2220,1
2240,2
2260,0
2281,0
2301,0
2322,0
2342,0
2362,1
2382,0
2403,0
2423,1
2444,1
2464,0
2485,0
2505,0
2526,0
2546,0
2567,0
2587,0
2607,0
2627,1
2648,0
2668,1
2689,0
2709,1
2729,0
2750,4
2770,2
2791,1
2811,1
2832,8
2851,2
2872,0
2892,0
2913,3
2933,4
2954,0
2974,1
2995,1
3015,4
3036,2
3056,0
3077,1
3096,1
3117,0
3137,1
3158,1
3178,0
3198,0
3219,1
3239,0
3260,0
3280,0
3301,0
3321,0
3341,0
3361,0
3382,0
3402,0
3423,1
3443,0
3464,0
3484,2
3505,0
3525,0
3546,0
3566,0
3586,2
3606,0
3627,1
3647,0
3667,1
3688,2
3708,1
3729,4
3749,0
3770,1
3790,12
3811,0
3830,4
3851,0
3871,0
3892,0
3912,0
3933,2
3953,0
3974,0
3994,0
4015,0
4035,2
4056,0
4075,0
4096,1
4116,0
4136,2
4157,1
4177,0
4198,2
4218,0
4239,1
4259,0
4280,0
4300,0
4320,0
4340,0
4361,0
4381,0
4402,0
4422,0
4443,0
4463,0
4484,0
4504,0
4525,0
4545,4
4564,2
4585,0
4605,0
4626,4
4646,0
4667,0
4687,1
4708,0
4728,2
4749,3
4769,0
4790,0
4809,3
4830,3
4850,11
4871,0
4891,1
4912,6
4932,0
4953,3
4973,1
4994,2
5014,1
5035,0
5055,0
5074,0
5095,0
5115,0
5136,0
5156,0
5177,0
5197,0
5218,0
5238,0
5259,0
5279,0
5300,0
5319,0
5340,0
5360,1
5381,1
5401,0
5422,0
5442,0
5463,0
5483,0
5504,0
5524,0
5544,0
5564,0
5584,0
5605,2
5625,0
5646,0
5666,0
5687,3
5707,2
5728,0
5748,2
5769,3
5789,1
5809,0
5829,2
5850,3
5870,3
5891,4
5911,2
5932,1
5952,0
5972,0
5993,0
6013,0
6034,0
6053,0
6074,1
6094,0
6115,0
6135,0
6156,0
6176,0
6197,0
6217,0
6238,1
6258,0
6279,0
6298,1
6319,0
6339,1
6360,0
6380,2
6401,0
6421,1
6441,1
6462,0
6482,0
6503,0
6523,2
6543,1
6563,0
6584,2
6604,4
6625,0
6645,3
6666,0
6686,0
6707,0
6727,0
6748,1
6768,0
6788,0
6808,3
6829,2
6849,0
6870,0
6890,2
6910,1
6931,2
6951,0
6972,0
6992,0
7013,0
7032,0
7053,0
7073,1
7094,1
7114,0
7135,0
7155,2
7176,0
7196,0
7217,0
7237,0
7258,0
7277,0
7298,0
7318,0
7339,0
7359,3
7379,0
7400,4
7420,0
7441,0
7461,0
7482,1
7502,4
7522,1
7542,2
7563,0
7583,9
7604,0
7624,0
7645,0
7665,0
7686,1
7706,0
7727,3
7747,0
7767,0
7787,1
7808,0
7828,0
7848,0
7869,1
7889,0
7910,0
7930,0
7951,0
7971,0
7992,0
8011,0
8032,0
8052,0
8073,0
8093,0
8114,0
8134,0
8155,1
8175,1
8196,0
8216,1
8237,0
8256,1
8276,0
8297,0
8317,1
8338,0
8358,1
8379,0
8399,8
8420,1
8440,3
8461,2
8481,3
8501,0
8521,1
8542,0
8562,0
8583,0
8603,2
8624,1
8644,0
8665,0
8685,0
8706,1
8726,0
8745,0
8766,0
8786,0
8807,0
8827,1
8848,0
8868,0
8889,0
8909,2
8930,0
8950,0
8971,1
8990,0
9011,0
9031,0
9052,1
9072,2
9093,0
9113,1
9134,2
9154,0
9175,0
9195,0
9216,0
9235,1
9255,0
9276,0
9296,0
9317,0
9337,0
9358,0
9378,0
9399,1
9419,2
9440,2
9460,4
9480,0
9500,1
9521,2
9541,0
9562,0
9582,0
9603,1
9623,0
9644,1
9664,0
9684,1
9705,0
9724,0
9745,0
9765,0
9786,0
9806,0
9827,0
9847,0
9868,1
9888,0
9909,0
9929,0
9950,1
9969,0
9990,0
10010,0
10031,2
10051,3
10072,1
10092,0
10113,0
10133,4
10153,2
10174,0
10194,3
10215,0
10235,3
10256,2
10276,2
10297,0
10317,0
10338,0
10358,2
10379,3
10399,1
10419,0
10439,1
10460,0
10480,0
10501,0
10521,4
10542,0
10562,0
10583,1
10603,2
