Time_ms,Piezo
59629,0
59655,1
59683,1
59710,2
59738,0
59764,1
59790,0
59816,1
59843,1
59870,1
59897,120
59924,160
59950,249
59978,130
60004,0
60030,0
60056,0
60083,0
60109,0
60135,0
60162,0
60189,129
60215,0
60243,0
60269,0
60295,0
60323,0
60350,0
60378,0
60405,0
60432,0
60460,0
60487,0
60514,0
60542,1
60569,0
60596,0
60623,0
60650,0
60678,0
60705,0
60732,0
60760,372
60786,0
60813,0
60841,0
60868,0
60896,0
60923,0
60950,0
60978,1
61005,1
61032,0
61060,1
61087,0
61114,0
61142,1
61169,0
61197,1
61224,1
61251,0
61279,1
61306,0
61333,0
61361,1
61388,0
61415,713
61443,14
61470,0
61498,0
61525,0
61552,0
61580,803
61607,383
0,0
27,0
55,0
82,0
109,0
137,396
164,323
192,0
219,0
246,88
272,97
300,0
327,0
355,13
382,48
409,164
436,72
463,107
491,0
518,0
545,0
573,0
600,0
627,430
655,143
682,0
710,0
737,0
764,0
792,0
819,346
847,0
874,0
901,0
929,0
956,0
983,507
1011,31
1038,0
1065,0
1093,0
1120,566
1148,200
1175,41
1202,0
1230,0
1257,0
1284,0
1312,0
1339,0
1366,258
1394,375
1421,10
1448,0
1475,0
1502,0
1530,532
1557,241
1585,0
1612,0
1640,0
1666,0
1693,489
1721,207
1748,0
1776,0
1803,0
1830,0
1858,0
1885,319
1913,0
1940,0
1967,0
1995,0
2022,410
2049,253
2077,0
2104,0
2132,0
2159,0
2186,0
2214,359
2241,0
2269,0
2296,0
2323,0
2351,0
2377,372
2403,0
2430,0
2456,0
2483,0
2510,0
2536,732
2563,45
2590,0
2616,0
2643,0
2670,0
2696,0
2722,381
2749,0
2775,0
2801,0
2827,0
2854,0
2880,439
2906,0
2933,0
2959,0
2985,0
3012,0
3038,0
3064,472
3091,0
3117,0
3143,0
3169,0
3196,0
3223,362
3250,0
3276,0
3303,0
3329,0
3356,0
3383,446
3410,363
3437,0
3463,0
3491,0
3517,0
3543,0
3569,513
3596,0
3622,0
3648,0
3675,0
3701,0
3727,0
3754,491
3780,0
3806,0
3832,0
3859,0
3885,0
3912,669
3940,0
3967,0
3995,0
4022,0
4049,0
4077,490
4104,68
4132,0
4159,0
4186,0
4214,0
4241,0
4268,513
4296,0
4323,0
4351,0
4378,0
4405,0
4433,524
4460,0
4487,0
4515,0
4542,0
4569,0
4597,685
4624,189
4652,0
4679,0
4707,0
4734,0
4761,0
4789,770
4816,0
4843,0
4871,0
4898,0
4925,0
4953,0
4980,0
5007,0
5035,0
5062,0
5089,0
5117,0
5144,0
5172,1
5199,23
5226,0
5254,0
5281,0
5308,0
5336,0
5362,341
5388,0
5415,0
5442,0
5469,0
5497,550
5524,75
5551,0
5579,0
5606,0
5633,0
5661,0
5688,580
5715,0
5743,0
5770,0
5797,0
5825,359
5852,307
5880,0
5907,0
5934,0
5962,0
5989,0
6016,462
6043,113
6070,0
6097,0
6125,0
6152,0
6179,709
6207,0
6234,0
6261,0
6289,0
6316,0
6344,0
6371,396
6399,0
6426,0
6453,0
6481,0
6508,0
6535,630
6563,0
6590,0
6617,0
6645,0
6672,0
6699,400
6727,0
6754,0
6781,0
6809,0
6836,0
6863,531
6891,0
6918,0
6946,0
6973,0
7000,0
7028,0
7055,398
7083,0
7110,0
7137,0
7165,0
7192,0
7219,0
7247,340
7274,0
7301,0
7329,0
7356,0
7383,476
7411,135
7438,0
7466,0
7493,0
7521,0
7548,0
7575,431
7603,0
7630,0
7657,0
7685,0
7712,0
7739,0
7767,356
7794,0
7821,0
7849,0
7876,0
7903,0
7931,276
7958,0
7985,0
8013,0
8040,0
8068,0
8095,703
8121,0
8149,0
8176,0
8203,0
8231,146
8258,308
8286,31
8313,0
8341,0
8368,0
8395,0
8423,0
8450,387
8478,0
8505,0
8532,0
8560,0
8587,0
8614,372
8642,0
8669,0
8696,0
8724,0
8751,0
8778,573
8806,0
8833,0
8860,0
8888,0
8915,0
8942,361
8970,0
8997,0
9025,0
9052,0
9079,164
9107,242
9134,16
9161,0
9189,0
9216,0
9243,0
9271,0
9298,469
9325,0
9353,0
9380,0
9407,0
9435,0
9462,0
9489,493
9517,0
9544,0
9572,0
9599,0
9626,0
9654,537
9681,0
9708,0
9736,0
9763,0
9790,0
9818,498
9845,215
9873,0
9900,0
9927,0
9955,0
9982,0
10009,408
10037,0
10064,0
10091,0
10118,0
10145,260
10172,535
10200,0
10227,0
10255,0
10282,0
10310,413
10337,212
10364,0
10392,0
10419,0
10446,0
10474,317
10501,169
10527,109
10554,0
10580,0
10606,0
10633,0
10660,0
10686,439
10713,0
10739,0
10765,0
10792,0
10818,0
10844,0
10872,738
10898,38
10925,0
10952,0
10978,0
11004,0
11030,0
11057,492
11084,14
11112,0
11138,0
11164,0
11192,0
11219,0
11245,812
11272,0
11298,0
11325,0
11351,0
11377,0
11403,0
11430,284
11456,68
11483,0
11510,0
11536,0
11562,0
11589,0
11616,0
11642,287
11669,0
11695,0
11721,0
11748,0
11774,0
11800,0
11827,560
11853,0
11879,0
11906,0
11932,0
11958,0
11984,420
12011,0
12038,0
12065,0
12092,0
12118,0
12144,0
12171,552
12197,0
12224,0
12250,0
12276,0
12302,0
12329,587
12355,42
12382,0
12408,0
12434,0
12460,0
12488,0
12514,585
12540,0
12567,0
12593,0
12619,0
12646,0
12672,400
12698,104
12726,147
12752,0
12778,0
12805,0
12832,0
12858,710
12885,171
12911,0
12937,0
12964,0
12990,0
13016,0
13043,0
13069,371
13095,0
13122,0
13148,0
13174,0
13201,0
13227,616
13253,10
13280,0
13306,0
13332,0
13360,0
13386,0
13412,517
13438,0
13465,0
13491,0
13517,0
13544,0
13570,0
13596,466
13623,48
13649,0
13676,0
13703,0
13729,0
13756,683
13783,260
13809,0
13835,0
13862,0
13888,0
13914,0
13940,0
13967,707
13993,0
14020,0
14046,0
14072,0
14099,0
14125,376
14151,282
14178,0
14204,0
14230,0
14257,0
14284,0
14310,494
14337,0
14363,0
14389,0
14416,0
14442,0
14468,455
14496,0
14522,0
14549,0
14575,0
14601,0
14627,721
14654,203
14680,0
14708,0
14734,0
14760,0
14787,930
14813,533
14839,0
14866,0
14892,0
14918,0
14945,0
14971,378
14997,516
15024,188
15050,0
15076,0
15103,0
15129,0
15155,0
15181,459
15208,0
15235,0
15262,0
15288,0
15315,0
15341,0
15368,789
15394,0
15421,0
15447,0
15473,0
15499,0
15526,0
15552,520
15578,0
15606,134
