Time_ms,Piezo
0,0
28,0
55,0
82,0
110,0
137,0
164,0
192,0
219,0
246,0
274,0
301,0
328,0
356,0
383,0
410,0
438,0
465,0
492,0
520,0
547,0
575,0
602,0
629,0
657,0
684,0
711,0
739,1
766,0
793,0
821,0
848,0
875,0
903,0
930,0
957,0
985,0
1012,1
1039,0
1067,0
1094,0
1122,0
1149,0
1176,0
1204,0
1231,0
1258,0
1286,0
1313,0
1340,0
1368,0
1394,0
1421,0
1449,0
1476,0
1504,0
1531,0
1559,0
1586,1
1613,0
1641,0
1668,0
1696,0
1722,0
1749,1
1777,0
1804,0
1831,1
1859,0
1886,1
1913,1
1941,0
1968,0
1995,0
2023,0
2050,1
2078,1
2105,0
2132,1
2160,1
2187,0
2214,1
2242,0
2269,0
2296,1
2324,1
2351,0
2379,0
2406,0
2433,1
2460,1
2488,1
2515,1
2542,0
2570,1
2597,0
2625,0
2652,1
2679,0
2707,1
2734,1
2761,0
2789,2
2816,1
2843,0
2871,1
2898,0
2925,0
2953,1
2980,0
3007,0
3035,1
3062,0
3089,1
3117,0
3144,1
3172,1
3199,0
3226,1
3254,1
3281,0
3308,0
3336,1
3363,0
3390,1
3418,0
3445,1
3473,1
3500,1
3527,0
3554,1
3582,1
3609,1
3637,1
3664,0
3690,1
3718,0
3745,0
3772,1
3800,0
3827,0
3854,1
3882,0
3909,0
3937,0
3964,1
3991,1
4019,0
4046,0
4073,1
4101,0
4128,0
4155,0
4183,1
4210,1
4237,0
4265,0
4292,0
4319,0
4347,0
4374,0
4401,0
4429,1
4456,0
4484,0
4511,0
4538,0
4566,0
4593,1
4620,0
4648,0
4675,0
4702,0
4730,1
4757,0
4784,0
4812,1
4839,0
4867,1
4894,1
4921,0
4949,1
4975,1
5002,1
5030,1
5057,1
5084,0
5112,0
5139,0
5167,0
5194,1
5220,1
5247,1
5275,0
5302,0
5330,0
5357,0
5384,0
5412,0
5439,0
5466,0
5494,0
5521,0
5549,1
5576,1
5603,0
5631,0
5658,0
5685,0
5713,1
5740,0
5767,1
5795,0
5822,0
5849,0
5877,0
5904,1
5931,1
5959,0
5986,1
6013,1
6041,0
6068,1
6096,0
6123,0
6150,1
6178,0
6205,1
6232,0
6260,0
6287,0
6314,0
6342,1
6369,1
6396,0
6424,0
6451,0
6478,1
6506,1
6533,0
6560,0
6588,1
6615,0
6643,0
6670,1
6697,0
6725,1
6752,0
6779,0
6807,0
6834,0
6861,0
6889,0
6916,1
6944,1
6971,0
6998,1
7026,1
7053,1
7080,0
7108,0
7135,0
7162,1
7190,0
7217,0
7244,1
7272,0
7299,0
7326,0
7354,0
7381,1
7408,1
7436,1
7463,0
7491,1
7518,0
7545,1
7573,0
7600,0
7627,1
7655,0
7682,1
7709,0
7737,0
7764,0
7791,0
7819,0
7846,0
7873,0
7901,1
7928,0
7955,0
7983,1
8010,0
8038,0
8065,1
8092,0
8120,0
8147,0
8174,0
8202,1
8229,1
8256,0
8283,1
8310,0
8337,0
8365,1
8392,0
8420,1
8447,0
8474,0
8502,1
8529,1
8556,0
8584,1
8610,0
8637,0
8665,0
8692,0
8720,1
8747,1
8774,1
8802,1
8829,0
8856,0
8884,1
8911,0
8938,1
