Time_ms,Piezo
0,1
26,0
52,0
79,1
106,0
134,429
160,0
186,0
214,0
241,0
268,0
295,0
322,0
348,689
375,0
401,0
427,0
453,0
480,0
506,607
532,0
559,0
585,0
611,0
638,0
665,1023
691,0
718,0
744,0
770,0
798,0
824,720
850,0
877,0
903,0
930,0
957,0
984,0
1010,275
1037,0
1063,0
1089,0
1116,0
1142,0
1168,838
1196,0
1222,0
1248,0
1275,0
1301,0
1327,792
1355,0
1381,0
1407,0
1433,0
1461,0
1487,0
1513,533
1541,0
1567,0
1595,0
1621,0
1647,0
1674,601
1700,0
1726,0
1752,0
1779,0
1805,0
1832,889
1859,0
1885,0
1913,0
1940,0
1966,0
1993,733
2019,231
2046,0
2073,0
2099,0
2125,0
2151,0
2178,679
2204,0
2232,0
2258,0
2284,0
2310,0
2337,1023
2364,0
2391,0
2418,0
2444,0
2470,0
2496,0
2524,1023
2551,0
2578,0
2604,0
2631,0
2658,0
2685,0
2711,0
2738,0
2764,0
2790,0
2816,0
2843,0
2869,1023
2895,394
2922,0
2948,0
2975,0
3002,0
3028,0
3055,851
3082,0
3108,0
3134,0
3161,0
3187,0
3213,0
3239,720
3267,0
3293,0
3319,0
3347,0
3373,0
3399,0
3426,1023
3452,0
3478,0
3505,0
3531,0
3557,0
3584,0
3610,278
3636,0
3662,0
3689,0
3715,0
3742,0
3769,0
3795,0
3822,0
3849,0
3875,0
3902,0
3929,0
3955,0
3982,0
4009,233
4035,0
4061,0
4089,0
4115,0
4142,0
4169,0
4195,792
4221,0
4248,0
4275,0
4301,0
4328,0
4355,988
4381,0
4408,0
4434,0
4460,0
4486,0
4514,0
4540,0
4566,0
4592,0
4619,0
4645,0
4671,0
4699,0
4725,651
4751,0
4778,0
4804,0
4830,0
4857,0
4883,0
4909,404
4936,0
4962,0
4989,0
5016,0
5042,0
5068,0
5095,0
5121,0
5147,0
5173,0
5200,0
5226,0
5252,0
5279,293
5305,0
5331,0
5358,0
5384,0
5410,0
5437,0
5463,268
5489,0
5517,0
5543,0
5569,0
5597,0
5623,634
5649,0
5676,0
5702,0
5728,0
5754,0
5781,918
5808,30
5834,0
5861,0
5888,0
5914,0
5941,0
5968,805
5994,206
6021,0
6048,0
6074,0
6101,0
6127,0
6153,0
6181,435
6207,0
6233,0
6260,0
6286,0
6312,0
6340,0
6366,997
6392,0
6419,0
6445,0
6471,0
6497,0
6524,0
6550,1023
6577,0
6603,0
6629,0
6655,0
6682,0
6708,0
6734,0
6761,861
6788,0
6814,0
6841,0
6868,0
6894,0
6921,0
6947,917
6973,0
7000,0
7027,0
7053,0
7080,0
7107,0
7133,182
7160,0
7187,0
7213,0
7240,0
7267,0
7293,0
7320,0
7346,691
7372,0
7399,0
7425,0
7451,0
7477,0
7504,0
7530,632
7556,0
7583,0
7609,0
7635,0
7663,0
7689,0
7715,839
7743,0
7769,0
7795,0
7823,0
7849,0
7875,0
7901,0
7928,304
7954,0
7980,0
8007,0
8033,0
8059,0
8086,0
8112,15
8138,0
8165,0
8191,0
8217,0
8244,0
8270,0
8296,485
8322,0
8349,0
8375,0
8401,0
8428,0
8454,0
8480,600
8506,0
8533,0
8559,0
8585,0
8612,0
8638,0
8664,205
8691,0
8717,0
8743,0
8771,0
8798,0
8825,0
8853,1023
8880,0
8908,0
8935,0
8962,0
8990,0
9017,0
9044,0
9072,185
9099,0
9126,0
9154,0
9181,0
9209,0
9236,317
9263,0
9291,0
9318,0
9345,0
9373,0
9400,763
9427,0
9455,0
9482,0
9509,0
9537,0
9564,853
9592,0
9619,0
9646,0
9674,0
9701,0
9728,0
9756,573
9783,0
9811,0
9838,0
9865,0
9892,0
9919,0
9947,505
9974,0
10001,0
10028,0
10055,0
10082,0
10110,0
10137,978
10163,0
10191,0
10218,0
10245,0
10273,0
10300,368
10327,202
10355,0
10382,0
10410,0
10437,0
10463,0
10491,721
10518,69
10545,0
10573,0
10599,0
10626,0
10654,0
10681,566
10709,0
10736,0
10763,0
10791,0
10818,0
10845,0
10873,451
10900,0
10928,0
10955,0
10983,0
11010,0
11037,1023
11065,159
11092,0
11118,0
11146,0
11173,0
11201,0
11228,0
11255,236
11283,0
11310,0
11337,0
11365,0
11392,0
11420,0
11447,86
11474,0
11502,0
11529,0
11556,0
11584,0
11611,0
11638,0
11666,0
11693,169
11720,0
11748,0
11775,0
11803,0
11830,0
11857,0
11885,1015
11912,292
11940,0
11967,0
11994,0
12022,0
12049,0
12076,0
12104,0
12131,421
12158,104
12186,0
12213,0
12240,0
12268,0
12295,0
12322,0
12350,0
12377,216
12405,0
12432,0
12459,0
12487,0
12514,0
12541,0
12569,0
12596,0
12623,0
12651,0
12677,0
12704,0
12732,0
12759,0
12787,0
12814,0
12841,0
12869,0
12896,171
12923,0
12951,0
12978,0
13005,0
13033,0
13060,0
13088,0
13115,0
13142,97
13169,0
13196,0
13224,0
13251,0
13278,0
13305,0
13332,0
13359,249
13387,0
13414,0
13440,0
13468,0
13495,0
13522,0
13550,79
13577,0
13605,0
13632,0
13659,0
13687,0
13714,595
13742,0
13768,0
13795,0
13823,0
13850,0
13877,0
13905,1023
13932,0
13959,0
13987,0
14014,0
14041,0
14069,0
14096,0
14124,281
14151,0
14178,0
14206,0
14233,0
14260,0
14288,0
14315,0
14342,0
14370,0
14397,0
14425,0
14452,0
14479,0
14507,0
14534,0
14562,0
14589,0
14616,0
14644,0
14671,0
14698,19
14726,0
14753,0
14780,0
14808,0
14835,0
14862,0
14890,0
14917,0
14945,0
14972,0
14999,0
15027,0
15054,418
15082,0
15109,0
15135,0
15163,0
15190,0
15218,0
15245,0
15272,18
15299,0
15326,0
15354,0
15381,0
15408,0
15436,0
15463,0
15490,0
15518,0
15545,0
15572,0
15600,0
15626,0
15654,0
15681,0
15708,0
15736,0
15763,0
15790,0
15818,0
15845,543
15872,374
