Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-2.26,0.16,9.68,0.2,-0.02,0.01
62,1.37,-1.95,9.65,0.14,0.05,0.01
123,2.45,-2.5,9.73,-0.05,-0.03,-0.06
187,-1.27,-0.84,9.59,-0.1,-0.1,-0.06
253,-1.38,-0.83,9.45,-0.06,-0.0,-0.02
319,-1.57,2.14,4.64,-0.01,0.25,0.07
381,-0.62,-2.25,9.98,-0.1,0.18,-0.02
445,0.66,-3.04,9.64,-0.36,0.21,-0.03
509,0.19,0.1,9.06,-0.36,0.15,0.0
569,1.41,2.48,11.67,-0.2,0.12,-0.01
631,1.98,3.41,11.47,-0.04,0.04,-0.0
693,1.49,2.39,10.08,0.2,-0.05,-0.03
755,0.04,0.67,8.49,0.36,-0.11,0.06
816,0.16,-0.89,9.05,0.25,-0.02,-0.01
879,0.55,-1.96,9.87,0.06,-0.0,0.01
941,-1.15,-3.57,8.85,-0.21,0.05,0.08
1004,0.18,-0.86,8.09,-0.17,0.1,0.04
1066,0.55,-0.34,9.59,-0.14,0.06,-0.03
1129,0.85,-1.44,11.74,-0.2,0.04,-0.0
1192,0.06,1.47,9.32,-0.13,0.03,-0.01
1254,0.35,1.13,9.84,0.02,0.02,-0.01
1315,0.47,0.25,9.96,0.04,0.01,-0.01
1376,0.55,-1.57,10.15,-0.11,-0.03,0.05
1439,-1.32,-0.09,8.18,-0.0,-0.01,-0.03
1505,-0.13,-1.57,9.95,-0.08,0.06,0.0
1568,0.71,-0.91,10.09,-0.05,0.08,-0.02
1631,1.29,-0.47,10.49,-0.19,0.06,-0.01
1694,-0.18,1.23,9.83,-0.14,0.05,-0.02
1758,-0.09,0.98,9.53,-0.08,0.06,0.02
1820,1.41,2.49,9.85,0.01,0.03,0.02
1879,2.23,-0.73,9.46,0.14,-0.07,-0.0
1942,-1.6,-1.07,8.68,0.19,-0.07,-0.02
2007,-0.95,-2.4,10.05,0.05,0.04,0.02
2069,1.28,-2.77,9.46,-0.13,0.05,-0.01
2132,-0.73,-1.04,9.49,-0.22,0.04,-0.04
2196,-0.02,-2.66,15.21,-0.45,0.17,-0.03
2261,2.96,-1.15,8.32,-0.38,0.18,0.0
2323,2.47,1.75,9.77,-0.19,-0.02,-0.05
2386,-1.13,2.6,11.43,-0.1,-0.04,-0.02
2451,0.88,1.45,9.91,-0.01,0.05,0.04
2511,1.52,-0.13,9.37,0.12,-0.05,-0.02
