Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.8,3.53,15.14,-0.26,-0.1,-0.29
64,-0.99,1.52,6.13,-0.05,0.0,-0.01
127,-9.56,-4.22,12.3,-0.07,-0.49,-0.11
193,-0.96,0.12,8.52,-0.02,0.25,0.14
255,-1.47,-0.14,6.15,0.22,0.52,0.63
317,0.71,-0.51,10.71,0.07,0.09,0.25
378,1.45,0.03,11.14,0.17,-0.41,0.27
439,-1.12,2.87,6.59,-0.23,-0.44,-0.37
503,1.18,-0.1,9.72,-0.19,-0.45,0.04
566,1.17,1.35,9.43,-0.07,1.02,0.32
627,0.38,2.77,10.86,-0.08,0.49,0.08
688,-6.81,-4.65,11.5,-0.14,0.32,-0.25
752,-4.68,1.48,5.64,-0.27,1.03,-0.06
816,-2.36,-1.05,7.78,-0.13,-1.59,0.6
880,-2.59,-0.3,11.16,-0.58,-0.51,-0.47
947,0.07,1.37,7.06,0.96,-0.25,0.26
1007,9.96,1.37,19.61,0.38,0.52,0.55
1067,0.45,-0.19,9.4,0.89,0.72,0.07
1127,-1.49,3.82,6.74,-1.5,0.42,-0.42
1190,0.14,0.24,11.34,-1.27,0.16,-0.31
1253,2.89,-2.67,11.82,0.89,0.91,-0.13
1315,-3.25,1.03,10.26,1.54,0.67,-0.46
1377,0.32,2.13,0.11,0.7,0.74,-0.14
1437,-2.49,8.7,8.72,-1.19,0.27,-0.31
1500,1.33,-5.95,9.3,-2.92,0.21,-0.55
1564,0.75,-0.8,10.67,0.76,-0.09,0.24
1626,1.04,0.04,9.74,1.21,0.32,0.22
1685,-0.36,4.28,10.69,0.28,0.11,0.24
1746,-0.93,0.74,8.49,-1.69,0.05,-0.35
1809,-1.34,-1.39,9.98,-1.28,0.2,-0.62
1874,-0.27,-2.75,8.71,2.11,-0.08,0.45
1937,0.38,2.79,9.69,1.77,-0.15,0.31
1997,-0.3,7.34,10.58,-0.52,0.03,-0.15
2061,-1.19,-1.69,7.07,-3.33,-0.1,-0.9
2127,-0.02,-4.56,9.74,0.04,0.26,0.12
2189,0.16,-0.88,10.08,2.22,0.05,0.5
2249,-0.26,5.6,9.52,0.87,0.08,0.12
2310,0.32,2.86,10.35,-2.13,-0.05,-0.42
2374,-0.43,-7.86,7.58,0.04,-0.5,-0.06
2438,0.32,-3.65,11.58,2.65,-0.32,0.73
2500,0.37,5.43,10.03,0.45,-0.32,0.21
2561,-0.74,2.52,8.74,-2.6,-0.07,-0.91
2626,0.78,-3.7,9.54,-0.51,-0.1,-0.13
2691,0.47,-1.22,10.11,1.82,-0.22,0.61
2753,1.26,2.62,10.29,0.85,-0.21,0.09
2813,0.01,4.52,9.51,-0.04,-0.19,-0.18
2877,0.92,2.16,8.61,-3.27,0.38,-0.49
2939,0.74,-4.88,9.15,-1.72,-0.62,-0.43
3004,0.78,-2.09,9.62,-0.08,-0.51,-0.24
3068,2.69,0.38,11.3,1.0,-0.16,0.46
3129,1.07,0.12,8.32,0.91,-1.01,0.32
3190,1.87,-0.19,10.87,0.33,-0.18,0.04
3252,2.05,1.19,10.05,0.11,0.28,-0.01
3312,1.27,-0.07,8.46,-0.58,-0.11,-0.16
3377,2.33,1.25,9.08,-2.84,0.75,-0.2
3439,1.71,-5.04,9.96,0.11,0.58,0.41
3500,0.54,-1.14,9.25,1.27,0.75,0.35
3561,0.93,-0.75,10.39,1.37,1.06,0.15
3621,-2.64,0.76,7.99,1.09,0.73,0.19
3682,-0.62,0.97,9.62,1.04,0.48,0.2
3743,-0.77,0.25,9.83,0.57,0.05,0.19
3803,-2.04,1.48,8.74,0.78,0.21,0.39
3864,-0.85,1.86,9.15,-0.68,-0.69,0.13
3927,-0.41,4.36,9.09,3.01,-0.94,0.66
3989,1.25,1.56,2.29,1.67,-0.11,0.17
4050,-0.18,6.5,7.41,0.36,-0.14,0.19
4112,-0.27,6.36,7.17,-4.05,0.69,-0.84
4175,-0.28,-1.94,8.51,-1.1,0.1,-0.11
4239,0.36,1.16,9.72,-1.07,-0.09,-0.39
4303,0.29,1.53,9.63,1.01,0.23,0.23
4362,0.72,2.48,8.85,3.63,0.15,0.58
4422,-0.07,8.06,9.36,-0.58,0.12,-0.27
4485,-0.37,4.82,9.13,-1.0,0.15,-0.03
4548,0.35,3.18,8.69,-2.63,0.08,-0.64
4610,0.48,-1.79,9.4,-0.66,-0.02,-0.01
4675,0.47,2.18,10.14,-0.81,-0.06,-0.06
4738,0.06,-1.03,10.24,0.3,-0.05,0.1
4800,0.16,-0.4,8.99,1.34,0.04,0.21
4861,-0.14,5.8,9.83,1.69,0.42,0.3
4921,-0.23,4.43,8.84,0.6,-0.05,0.06
4983,0.17,5.6,9.52,-2.55,0.05,-0.68
5045,0.63,1.32,8.74,-3.83,-0.35,-0.83
5109,0.35,-3.27,10.22,-0.72,-0.05,0.12
5172,0.18,-2.08,8.97,-1.98,-0.28,-0.1
5237,0.14,-1.75,10.27,-0.55,0.28,0.17
5299,0.28,-3.8,9.02,-0.09,0.12,0.25
5361,0.6,-3.03,11.27,1.32,0.11,0.27
5422,-0.29,-0.07,9.17,2.34,-0.0,0.58
5485,-0.15,-0.75,9.53,1.71,-0.2,0.2
5548,0.06,3.72,9.42,0.66,-0.14,-0.04
5610,0.36,2.9,10.86,-1.99,0.06,-0.48
5672,0.07,-2.23,8.69,-2.81,-0.15,-0.62
5737,0.36,-1.95,10.18,1.36,0.28,0.32
5798,-0.08,-0.89,8.82,2.65,-0.04,0.57
5861,0.32,4.74,9.41,-0.62,0.06,-0.23
5923,0.27,1.27,10.26,-2.12,-0.02,-0.61
5986,0.17,-3.06,10.24,1.81,-0.09,0.2
6048,0.07,0.93,8.18,2.85,0.04,0.89
6108,0.44,6.46,9.81,-0.19,0.03,-0.26
6170,0.46,5.06,9.43,-3.21,0.13,-0.88
6232,-0.32,-6.63,8.43,-1.36,-0.18,-0.35
6297,0.64,-2.41,11.33,1.3,-0.02,0.36
6360,0.26,2.17,8.99,1.33,0.27,0.36
6419,-0.12,2.41,9.7,-1.14,0.13,-0.36
6482,-0.44,-3.23,8.18,-0.72,-0.12,-0.25
6548,1.09,-0.7,11.55,0.56,-0.06,0.14
6610,0.35,1.83,9.29,1.86,0.12,0.64
6669,-0.01,4.84,9.92,-0.55,0.03,-0.27
6733,0.36,-2.93,8.79,-3.41,-0.69,-1.07
6797,-0.2,-0.4,9.44,0.11,0.14,-0.01
6861,2.2,-2.28,11.01,1.07,-0.4,0.1
6923,0.53,1.46,9.74,0.67,0.23,0.32
6982,-1.82,3.21,10.6,0.48,0.12,0.31
7043,0.35,0.13,10.47,0.03,0.02,0.07
7102,-0.35,1.07,7.87,-0.55,0.12,-0.08
7165,1.57,-0.79,11.85,-0.33,-0.01,0.19
7229,0.47,-1.81,9.11,-0.92,0.35,-0.06
7292,-1.44,1.98,7.73,-0.29,-0.07,0.1
7355,-1.34,-1.02,8.85,0.39,-0.49,-0.48
7420,0.29,0.69,9.29,1.79,-0.4,-0.25
7482,-0.11,-1.15,7.72,1.01,0.01,0.16
7544,2.63,3.47,9.57,-0.05,-0.27,0.27
7606,0.77,2.83,9.21,-1.9,0.4,-0.12
7668,-0.65,-1.01,8.99,-1.11,0.32,-0.2
7733,0.37,-0.6,11.86,-0.46,0.22,0.01
7795,-0.07,-0.39,8.67,0.75,0.1,0.25
7857,2.89,2.58,11.05,0.18,0.66,-0.1
7917,0.24,1.28,10.46,1.22,0.37,0.38
7977,-0.84,1.12,7.59,-1.19,0.19,-0.37
8040,0.25,1.56,10.81,-1.39,-0.24,-0.46
8104,0.78,-1.33,11.87,0.29,0.09,0.15
8164,-0.35,-0.49,8.23,0.61,0.55,0.52
8226,1.34,-1.0,12.7,0.23,0.07,0.05
8287,-0.6,0.59,9.96,-0.09,0.25,0.08
8349,-1.64,2.5,7.86,-1.94,-0.97,-1.22
8414,0.5,-2.22,9.38,1.55,0.38,0.01
8474,1.88,1.95,11.83,0.52,-0.5,0.15
8535,-0.48,0.31,8.55,0.49,0.19,0.43
8596,1.08,2.14,8.34,-1.01,0.54,-0.0
8658,0.68,0.44,11.42,-0.59,0.42,-0.19
8720,-1.07,0.01,7.42,-0.43,0.3,-0.07
8783,1.97,-1.22,12.99,-0.39,0.02,0.23
8845,-0.86,-1.17,9.28,0.14,-0.22,-0.12
8910,-1.77,-1.65,8.86,2.54,-0.16,0.69
8973,-0.25,3.37,8.36,-0.24,-0.77,-0.04
9038,0.62,2.21,9.83,0.35,-0.15,0.14
9098,0.71,0.38,7.9,-1.6,0.34,-0.5
9160,0.17,2.01,9.12,-0.57,0.85,0.07
9221,1.33,1.68,10.45,0.19,0.49,-0.2
9282,-0.53,0.23,9.96,0.03,0.38,0.12
9342,-0.76,1.8,9.21,0.28,0.38,0.2
9403,-0.86,-0.69,9.5,-0.09,-0.27,-0.01
9469,-1.19,2.6,10.74,-0.13,-0.23,-0.47
9534,0.05,-0.25,7.75,-0.33,0.1,-0.04
9597,-1.82,1.54,8.97,0.63,0.05,0.05
9658,1.04,0.53,11.43,-0.08,-0.21,0.05
9720,-0.38,1.31,7.22,-0.89,0.04,-0.15
