Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.49,-0.16,9.9,-0.05,0.04,-0.01
63,0.51,-0.08,9.87,-0.05,0.03,-0.01
126,0.52,-0.1,9.9,-0.05,0.03,-0.01
190,0.47,-0.07,9.83,-0.05,0.04,-0.01
253,0.52,-0.07,9.92,-0.05,0.03,-0.01
316,0.54,-0.11,9.81,-0.05,0.04,-0.01
379,0.53,-0.09,9.77,-0.05,0.03,-0.01
443,0.56,-0.17,9.84,-0.05,0.03,-0.01
506,0.55,-0.03,9.83,-0.05,0.03,-0.01
569,0.5,-0.06,9.91,-0.06,0.03,-0.01
632,0.51,-0.08,9.84,-0.06,0.03,-0.01
696,0.6,-0.07,9.86,-0.06,0.03,-0.01
759,0.57,-0.11,9.94,-0.06,0.03,-0.01
822,0.55,-0.09,9.9,-0.06,0.03,-0.0
885,0.54,-0.08,9.8,-0.05,0.03,-0.01
949,0.52,-0.06,9.86,-0.05,0.03,-0.01
1012,0.47,-0.09,9.82,-0.05,0.03,-0.01
1075,0.57,-0.09,9.9,-0.06,0.03,-0.01
1138,0.6,-0.05,9.9,-0.05,0.04,-0.01
1202,0.61,-0.07,9.86,-0.05,0.04,-0.01
1265,0.51,-0.06,9.92,-0.06,0.03,-0.01
1328,0.57,-0.1,9.89,-0.05,0.03,-0.01
1391,0.55,-0.07,9.83,-0.06,0.04,-0.01
1455,0.57,-0.02,10.03,-0.06,0.03,-0.01
1518,0.49,-0.06,9.86,-0.06,0.03,-0.01
1581,0.55,-0.14,9.87,-0.05,0.03,-0.0
1644,0.56,-0.13,9.89,-0.06,0.03,-0.01
1708,0.59,-0.12,9.91,-0.06,0.03,-0.01
1771,0.53,-0.05,9.9,-0.06,0.04,-0.01
1834,0.19,0.01,9.83,-0.05,0.01,-0.01
1896,0.38,0.06,9.72,-0.08,-0.0,-0.01
1959,0.83,-0.18,9.95,-0.07,-0.01,-0.01
2024,1.13,-0.24,10.08,-0.06,0.03,-0.01
2087,0.99,-0.19,9.98,-0.04,0.06,-0.01
2150,0.46,-0.13,9.9,-0.04,0.07,-0.01
2213,0.2,0.01,9.77,-0.04,0.05,-0.01
2275,0.32,0.11,9.87,-0.06,0.03,-0.01
2337,0.48,0.01,9.84,-0.06,0.02,-0.01
2399,0.6,-0.12,9.97,-0.06,0.02,-0.01
2462,0.65,-0.17,9.92,-0.06,0.03,-0.01
2525,0.64,-0.16,9.9,-0.05,0.04,-0.01
2588,0.55,-0.03,9.9,-0.05,0.04,-0.01
2652,0.55,-0.1,9.9,-0.05,0.04,-0.01
2715,0.56,-0.1,9.88,-0.06,0.03,-0.01
2778,0.55,-0.15,9.88,-0.06,0.03,-0.01
2841,0.54,-0.11,9.92,-0.05,0.03,-0.01
2904,0.5,-0.07,9.96,-0.05,0.03,-0.01
2968,0.45,-0.07,9.86,-0.05,0.03,-0.01
3031,0.48,-0.01,9.88,-0.06,0.03,-0.01
3094,0.61,-0.03,9.9,-0.06,0.03,-0.01
3157,0.58,-0.08,9.96,-0.05,0.03,-0.01
3221,0.53,-0.08,9.87,-0.06,0.03,-0.01
3284,0.57,-0.07,9.91,-0.06,0.04,-0.01
3347,0.6,-0.15,9.78,-0.06,0.04,-0.01
3410,0.47,-0.15,9.94,-0.05,0.03,-0.01
3474,0.57,-0.06,9.86,-0.05,0.03,-0.01
3537,0.51,-0.11,9.93,-0.05,0.03,-0.01
3600,0.61,-0.08,9.89,-0.06,0.03,-0.01
3663,0.55,-0.08,9.9,-0.05,0.03,-0.01
3727,0.54,-0.07,9.9,-0.05,0.04,-0.01
3790,0.53,-0.04,9.87,-0.05,0.03,-0.01
3853,0.49,-0.06,9.84,-0.05,0.03,-0.01
3916,0.5,-0.05,9.85,-0.05,0.03,-0.01
3980,0.54,-0.09,9.82,-0.06,0.03,-0.01
4043,0.54,-0.13,9.87,-0.05,0.03,-0.01
4106,0.6,-0.11,9.91,-0.05,0.03,-0.01
4169,0.55,-0.12,9.81,-0.06,0.03,-0.01
4233,0.59,-0.1,9.8,-0.06,0.03,-0.01
4296,0.58,-0.07,9.78,-0.06,0.03,-0.01
4359,0.52,-0.09,9.88,-0.06,0.03,-0.01
4422,0.51,-0.02,9.86,-0.06,0.03,-0.0
4486,0.57,-0.07,9.88,-0.06,0.03,-0.01
4549,0.52,-0.07,9.86,-0.05,0.03,-0.01
4612,0.48,-0.04,9.84,-0.05,0.03,-0.01
4675,0.51,-0.09,9.84,-0.06,0.03,-0.01
4739,0.57,-0.02,9.86,-0.06,0.03,-0.01
4802,0.51,-0.08,9.88,-0.05,0.04,-0.01
4865,0.52,-0.08,9.91,-0.05,0.03,-0.01
4928,0.57,-0.06,9.87,-0.06,0.03,-0.01
4992,0.53,-0.05,9.87,-0.06,0.03,-0.01
5055,0.6,-0.08,9.91,-0.05,0.03,-0.01
5118,0.55,-0.03,9.85,-0.05,0.03,-0.01
5181,0.58,-0.05,9.87,-0.06,0.03,-0.01
5245,0.56,-0.09,9.94,-0.05,0.03,-0.01
5308,0.56,-0.05,9.84,-0.05,0.03,-0.01
5371,0.58,-0.06,9.85,-0.05,0.04,-0.01
5434,0.53,-0.08,9.84,-0.05,0.03,-0.01
5498,0.55,-0.07,9.81,-0.06,0.03,-0.01
5561,0.53,-0.06,9.87,-0.06,0.03,-0.01
5624,0.57,-0.1,9.86,-0.06,0.04,-0.01
5687,0.53,-0.04,9.86,-0.05,0.04,-0.01
5751,0.5,-0.06,9.81,-0.05,0.03,-0.01
5814,0.49,-0.09,9.93,-0.05,0.03,-0.01
5877,0.53,-0.07,9.88,-0.05,0.03,-0.01
5940,0.59,-0.13,9.84,-0.06,0.03,-0.01
6004,0.5,-0.13,9.78,-0.06,0.04,-0.01
6067,0.5,-0.07,9.83,-0.06,0.03,-0.01
6130,0.5,-0.04,9.95,-0.06,0.03,-0.01
6193,0.6,-0.05,9.91,-0.06,0.04,-0.01
6257,0.57,-0.1,9.89,-0.05,0.03,-0.01
6320,0.62,-0.11,9.96,-0.05,0.04,-0.01
6383,0.54,-0.14,9.87,-0.05,0.03,-0.01
6446,0.52,-0.09,9.83,-0.06,0.03,-0.01
6510,0.58,-0.07,9.83,-0.05,0.03,-0.01
6573,0.59,-0.12,9.72,-0.05,0.03,-0.01
6636,0.57,-0.04,9.85,-0.05,0.03,-0.01
6699,0.61,-0.04,9.89,-0.05,0.03,-0.01
6763,0.53,-0.08,9.84,-0.06,0.04,-0.01
6826,0.53,-0.11,9.98,-0.06,0.03,-0.01
6889,0.58,-0.14,9.87,-0.06,0.03,-0.01
6952,0.56,-0.06,9.82,-0.05,0.03,-0.01
7016,0.53,-0.11,9.88,-0.05,0.03,-0.01
7079,0.52,-0.07,9.82,-0.05,0.03,-0.01
7142,0.57,-0.12,9.88,-0.05,0.03,-0.01
7205,0.55,-0.06,9.92,-0.05,0.03,-0.01
7269,0.57,-0.1,9.83,-0.05,0.03,-0.01
7332,0.51,-0.06,9.91,-0.05,0.03,-0.01
7395,0.51,-0.09,9.87,-0.06,0.04,-0.01
7458,0.54,-0.04,9.92,-0.05,0.03,-0.01
7522,0.55,-0.14,9.94,-0.05,0.04,-0.01
7585,0.56,-0.08,9.85,-0.05,0.03,-0.01
7648,0.54,-0.08,9.88,-0.05,0.04,-0.01
7711,0.52,-0.05,9.9,-0.05,0.04,-0.01
7775,0.55,-0.07,9.9,-0.06,0.03,-0.01
7838,0.65,-0.07,9.89,-0.06,0.03,-0.01
7901,0.56,-0.05,9.83,-0.05,0.03,-0.01
7964,0.56,-0.03,9.84,-0.06,0.04,-0.01
8028,0.51,-0.07,9.89,-0.05,0.04,-0.0
8091,0.52,-0.07,9.83,-0.05,0.03,-0.01
8154,0.57,-0.18,9.93,-0.05,0.03,-0.01
8217,0.57,-0.05,9.89,-0.06,0.03,-0.01
8281,0.6,-0.13,9.85,-0.06,0.03,-0.01
8344,0.5,-0.1,9.88,-0.05,0.03,-0.01
8407,0.54,-0.08,9.91,-0.06,0.03,-0.01
8470,0.5,-0.07,9.83,-0.05,0.03,-0.01
8534,0.54,-0.1,9.84,-0.05,0.03,-0.01
8597,0.56,-0.12,9.84,-0.06,0.03,-0.0
8660,0.63,-0.06,9.86,-0.05,0.03,-0.01
8723,0.57,-0.06,9.89,-0.05,0.03,-0.01
8787,0.53,-0.06,9.89,-0.05,0.03,-0.01
8850,0.6,-0.15,9.96,-0.05,0.03,-0.01
8913,0.55,-0.07,9.89,-0.05,0.03,-0.01
8976,0.57,-0.12,9.88,-0.05,0.04,-0.01
9040,0.59,-0.13,9.85,-0.06,0.03,-0.01
9103,0.51,-0.12,9.88,-0.05,0.03,-0.01
9166,0.55,-0.09,9.88,-0.05,0.04,-0.01
9229,0.56,-0.12,9.86,-0.05,0.03,-0.01
9293,0.51,-0.07,9.88,-0.05,0.03,-0.01
9356,0.53,-0.05,9.86,-0.05,0.03,-0.01
9419,0.53,-0.09,9.84,-0.06,0.03,-0.01
9482,0.56,-0.11,9.84,-0.06,0.04,-0.01
9546,0.56,-0.06,9.9,-0.05,0.03,-0.01
9609,0.54,-0.09,9.85,-0.06,0.03,-0.01
9672,0.57,-0.09,9.91,-0.06,0.03,-0.01
9735,0.62,-0.07,9.95,-0.06,0.04,-0.01
9799,0.58,-0.06,9.76,-0.05,0.03,-0.01
9862,0.54,-0.09,9.96,-0.06,0.04,-0.01
9925,0.57,-0.12,9.83,-0.05,0.03,-0.01
9988,0.54,-0.06,9.85,-0.05,0.03,-0.01
10052,0.5,-0.1,9.83,-0.05,0.03,-0.01
