Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,1.76,-3.35,-2.0,-4.37,-1.73,-4.37
66,4.75,-12.71,13.81,2.38,-0.23,1.3
128,-0.76,-6.8,5.29,4.37,2.15,2.65
190,-0.82,9.64,4.36,4.37,1.63,4.37
251,-2.61,14.16,9.55,-1.91,0.68,-1.03
314,0.03,5.45,-1.95,-4.37,-0.39,-4.37
379,0.13,-15.91,10.44,0.19,-3.53,-0.9
442,-3.26,-5.56,8.18,3.54,0.4,2.08
504,1.96,0.23,2.55,4.37,2.18,4.37
563,-5.19,19.61,4.02,3.05,0.4,1.83
624,-0.34,13.32,3.84,-4.37,0.33,-3.14
687,0.46,6.92,3.22,-4.37,-1.54,-4.37
750,0.51,-16.1,4.19,-4.37,-4.37,-3.75
815,1.06,-0.83,7.95,-0.33,-1.18,0.5
878,1.68,-5.27,9.3,2.09,-1.22,-0.77
941,2.19,-5.07,9.25,4.37,0.98,-0.37
1003,1.15,-1.33,8.11,4.37,0.57,0.58
1064,2.01,7.38,8.42,2.69,1.21,0.59
1123,2.06,5.45,10.13,-1.68,0.45,0.24
1184,0.51,2.45,8.09,-2.65,-0.12,-0.45
1247,0.78,5.15,8.18,-4.37,-0.03,-0.87
1310,2.17,-11.19,7.04,-4.37,-1.89,-1.38
1375,3.26,-7.19,9.65,1.74,1.09,0.44
1435,0.36,-6.49,7.41,4.37,1.5,-0.05
1497,-0.69,3.69,7.71,4.37,0.73,1.25
1558,-0.2,4.96,7.89,2.59,-0.06,0.45
1620,1.91,8.99,10.01,-0.4,0.02,-0.13
1682,-0.06,6.41,5.71,-4.37,-0.98,-0.74
1746,3.38,-19.61,7.17,-4.37,-2.73,-2.35
1811,3.01,-7.67,9.56,0.93,0.31,-0.29
1873,2.42,-8.33,7.8,4.37,2.75,0.57
1933,0.49,2.27,5.3,4.37,2.03,1.94
1993,-0.02,8.8,8.36,2.67,0.01,0.36
2053,1.15,6.77,10.01,-2.71,0.01,-0.28
2115,1.42,-0.95,1.41,-4.37,-2.17,-2.49
2180,3.27,-6.55,11.91,-0.61,-1.25,0.18
2243,1.07,-6.73,8.01,-0.56,0.65,-0.16
2306,4.04,-12.12,7.81,4.37,3.31,1.97
2367,1.54,1.52,1.35,4.37,2.98,2.63
2426,0.31,13.34,9.47,0.07,0.24,-0.07
2487,0.16,11.54,6.67,-4.37,-0.15,-0.84
2550,0.15,-9.46,1.19,-4.37,-2.25,-3.71
2614,3.55,-9.13,11.06,-1.95,-2.32,-0.99
2679,1.99,-6.7,6.92,-1.14,0.09,0.35
2741,2.51,-8.88,8.24,1.28,0.16,-0.03
2803,3.43,-7.78,10.28,4.37,2.54,1.68
2863,-3.19,-3.67,0.74,4.37,1.42,1.58
2925,0.61,8.27,9.08,4.37,-0.32,1.07
2986,1.08,7.75,7.6,2.68,0.8,0.46
3045,1.91,13.14,8.74,-2.73,0.54,-1.13
3107,1.18,5.41,0.17,-4.37,-0.92,-3.14
3170,-0.68,-8.42,7.68,-3.63,-2.59,-1.31
3236,1.03,-3.85,10.07,-0.27,0.25,-0.15
3299,3.43,-8.45,11.88,4.0,2.44,0.4
3360,-2.83,0.31,2.85,4.37,2.82,2.0
3421,-1.53,7.15,5.36,4.37,-0.0,2.5
3482,3.34,10.42,10.84,0.54,-0.6,0.99
3543,0.94,10.61,9.58,-3.94,0.69,-0.62
3605,-0.45,3.24,1.14,-4.37,1.03,-2.66
3668,-0.34,-6.43,8.32,-2.88,-1.89,-1.65
3734,1.12,-7.47,8.44,-1.7,-1.02,-0.86
3799,2.66,-9.2,10.79,2.7,0.96,0.58
3860,0.14,-5.23,6.25,4.37,2.37,2.14
3920,-2.94,3.11,5.37,3.84,0.83,1.72
3981,-0.44,2.51,9.99,0.62,-1.32,2.19
4043,2.31,7.85,11.95,-3.43,0.89,0.07
4103,-2.31,-1.47,3.89,-4.37,-0.73,-3.54
4169,2.34,-7.82,9.71,-2.19,-1.31,-1.56
4234,2.54,-8.48,10.22,0.97,0.4,-0.08
4296,2.69,-7.24,8.33,4.37,2.7,1.72
4356,-3.26,0.89,3.45,4.37,2.71,0.57
4417,-4.4,14.39,7.86,2.28,-0.77,1.57
4479,1.92,7.04,12.2,-1.47,-0.23,0.47
4541,-0.28,5.13,5.95,-4.37,0.15,-2.11
4604,-0.47,-5.68,5.36,-4.37,-0.81,-1.9
4670,0.15,-6.78,9.24,-1.06,-0.38,-0.81
4735,1.19,-8.21,8.91,3.7,1.45,1.76
4795,0.08,-1.25,5.43,4.37,2.64,2.26
4856,-4.79,3.57,10.24,4.07,-0.98,2.27
4918,-1.04,7.47,11.14,-1.4,0.8,-0.48
4981,-4.08,3.55,3.57,-4.37,-0.93,-2.33
5046,-0.25,-13.19,3.71,-4.37,-2.07,-1.63
5112,1.71,-5.37,9.61,-0.15,-1.43,0.02
5175,4.2,-7.33,10.15,4.11,1.62,0.65
5236,-2.6,-2.52,4.72,4.37,0.79,2.66
5297,0.58,6.53,10.97,0.17,0.25,0.11
5357,0.55,1.68,8.03,-4.37,0.18,-0.42
5419,-2.63,-4.5,5.98,-3.99,0.4,0.03
5482,-1.75,-10.9,9.11,0.81,0.5,0.17
5544,1.07,-6.09,6.25,4.37,3.68,2.05
5605,-4.96,-0.25,2.65,4.37,2.3,0.58
5666,-2.59,10.17,10.89,-0.25,-1.49,0.2
5730,-5.14,18.24,4.05,-4.37,-0.98,-3.24
5794,1.9,-15.99,8.22,-4.37,-2.46,-1.74
5859,-0.17,-10.18,7.29,-0.39,0.01,0.39
5922,-0.44,-11.32,6.39,3.0,2.67,0.58
5985,-3.11,-6.48,6.16,4.37,2.42,2.51
6046,-8.1,3.59,5.93,2.02,1.31,-0.54
6108,-4.53,2.54,6.95,-1.24,0.18,-0.67
6172,-1.41,-4.95,1.98,-4.37,-2.48,-4.37
6238,-0.73,-11.81,7.13,-2.34,-0.3,-0.4
6304,-2.48,-12.4,4.54,2.24,1.32,0.41
6366,-4.16,-9.99,0.11,4.37,-0.12,4.37
6429,-2.36,7.2,9.07,3.56,-1.86,1.05
6491,1.49,5.28,12.31,-1.46,-1.38,0.29
6553,1.35,-3.39,4.87,-4.37,-1.45,-2.57
6617,0.62,-10.9,10.85,-0.83,0.06,-0.68
6681,-0.29,-9.98,6.73,4.11,2.77,1.17
6742,-1.32,-2.74,5.32,4.37,2.89,0.71
6804,-2.79,2.86,5.73,2.56,-0.2,2.11
6866,2.5,7.96,11.4,3.84,-1.15,2.84
6927,-1.32,13.46,10.41,-0.06,-0.4,0.02
6990,-0.64,7.73,-0.32,-4.37,-1.08,-2.76
7056,1.8,-13.28,8.07,-4.37,-1.02,-1.53
7121,-0.27,-8.03,9.39,2.22,0.49,-0.05
7184,-2.01,-10.86,2.59,4.37,3.69,2.48
7246,-4.06,8.85,5.1,4.37,0.21,2.29
7307,-2.04,11.52,10.1,-3.11,-0.05,-0.97
7372,2.48,-12.56,4.52,-4.37,-2.09,-4.37
7436,-0.62,-6.04,8.79,0.71,-0.35,-0.12
7501,-1.62,-10.41,6.75,4.08,2.02,2.28
7563,-2.4,7.22,9.03,4.37,1.21,2.03
7623,-4.03,4.33,8.73,-0.83,0.86,0.23
7685,-5.04,4.93,5.59,-4.37,-1.97,-1.62
7750,-0.09,-8.5,10.29,-2.08,-0.87,-0.06
7816,-1.26,-7.55,8.65,2.88,-0.05,0.51
7879,-3.96,-2.32,1.78,4.37,-0.3,2.49
7942,-0.65,6.35,12.33,3.81,-2.13,2.2
8004,0.43,6.13,9.13,0.16,-0.46,0.91
8065,2.16,11.12,10.01,-4.37,0.17,-1.26
8127,3.67,-5.57,9.86,-4.37,-0.38,-1.86
8191,-0.54,-3.61,7.69,-1.2,0.89,0.37
8254,1.21,-9.04,10.25,4.37,1.03,0.95
8315,-4.71,-0.89,4.22,4.37,-1.2,-0.62
8380,3.4,9.04,12.5,-0.74,0.52,0.55
8440,0.45,11.67,8.2,-4.37,0.8,-1.08
8502,2.46,-6.05,8.65,-4.37,-0.5,-2.53
8567,-0.81,-5.57,4.0,-1.07,-1.55,-1.48
8633,3.86,-17.73,11.04,2.73,1.03,-0.16
8695,-1.27,1.41,1.44,4.37,0.88,2.01
8755,0.84,3.39,7.19,4.37,-1.97,1.53
8816,4.08,9.15,9.62,2.0,-0.8,1.17
8877,4.51,15.59,10.42,-4.37,0.82,-0.98
8939,3.01,-3.13,-0.58,-4.37,1.92,0.12
9002,-0.2,-9.85,4.29,-4.37,0.23,-0.67
9066,0.84,-9.38,8.11,2.76,1.41,-0.95
9128,-0.98,-6.86,-0.0,4.37,0.4,0.55
9191,3.16,8.63,8.35,4.37,-2.97,0.39
9252,4.33,5.88,10.13,2.55,-1.13,-0.26
9314,4.72,6.34,7.41,2.4,0.68,0.64
9373,5.45,19.61,7.52,-4.37,3.45,-1.98
9435,4.74,-6.06,3.73,-4.37,1.02,2.03
9497,-2.44,-11.23,0.89,-1.91,-2.73,-1.28
9563,0.28,-5.92,9.79,3.27,-1.5,-1.2
9626,1.63,-5.26,8.56,2.9,-0.84,-3.22
9689,5.94,-1.8,10.96,3.34,0.64,-0.86
9751,8.87,3.11,9.67,-0.53,2.15,1.75
9812,3.27,2.12,6.58,-0.21,2.17,0.26
9873,3.7,-5.13,9.81,-2.3,4.1,3.29
9934,0.47,-0.98,8.59,-0.34,3.25,0.88
9996,-9.06,3.08,4.38,0.47,-1.06,-0.71
10059,-0.97,-5.4,11.65,2.01,0.29,0.84
10122,-6.66,-0.52,7.98,1.44,-0.96,-0.74
10186,0.26,3.25,9.77,-4.37,-2.6,-1.61
10249,0.17,-6.21,7.06,-0.48,-3.24,-0.08
10314,3.32,-9.16,9.87,1.19,-1.38,-1.66
10377,2.14,1.55,7.88,3.87,-0.76,1.44
10438,4.51,-2.55,11.33,3.81,-0.3,-0.09
10501,4.0,4.17,9.89,0.5,3.71,-0.76
10562,4.31,1.9,10.86,-2.94,4.37,0.45
10622,0.22,-0.83,6.16,-0.94,4.37,-1.92
10685,-12.58,-1.81,1.13,1.81,2.3,-0.1
10749,-8.1,0.26,5.49,-0.22,-0.2,0.2
10812,-6.73,5.15,5.98,-3.4,-4.02,-1.99
10876,3.35,-16.54,6.63,-3.47,-4.37,-3.43
10941,3.28,-8.67,11.9,-0.17,-0.87,-2.27
11006,-0.28,-3.47,7.64,3.79,0.3,-0.29
11069,4.49,-3.81,8.48,4.37,1.45,3.44
11130,2.01,9.83,10.17,-1.35,-0.01,-1.17
11193,0.73,2.94,11.03,-2.92,1.09,-0.52
11255,-0.09,-9.2,4.84,-4.37,-0.23,-0.92
11321,-1.05,-4.25,6.23,-1.19,-0.66,0.56
11385,-1.74,-10.57,7.11,1.7,1.13,0.04
11447,0.68,-4.23,6.95,4.37,0.73,0.21
11508,0.62,-3.72,10.35,4.37,-0.26,-0.44
11571,1.71,6.31,7.57,3.95,-0.21,1.74
11632,0.39,5.61,9.15,1.82,-0.22,1.21
11692,1.49,11.15,6.92,-4.37,0.68,-1.19
11754,-0.23,-16.82,2.48,-4.37,-2.7,-3.75
11820,1.84,-7.79,11.98,2.69,0.92,0.98
11881,-1.28,-1.08,3.85,4.37,0.6,2.44
11943,2.03,3.73,11.56,4.37,-1.43,3.37
12003,0.55,3.27,9.04,2.07,-0.28,0.85
12064,3.68,13.49,13.28,-3.51,0.0,-0.71
12126,1.9,-4.75,4.09,-4.37,-1.16,-2.62
12190,1.09,-6.86,8.02,0.38,0.0,-1.43
12252,1.09,-8.25,8.12,2.9,1.05,0.5
12313,2.46,-2.8,6.77,4.37,-0.87,2.22
12375,0.74,7.51,9.04,3.76,-0.53,0.34
12435,3.07,13.27,9.69,2.0,0.26,0.36
12495,1.75,7.6,5.67,-4.37,1.33,-1.96
12557,4.14,-8.72,8.72,-4.37,-1.55,-2.92
12621,1.78,-2.33,7.61,-0.44,0.26,1.92
12683,0.46,-4.91,11.31,3.16,0.81,0.56
12743,1.46,-9.75,7.51,4.37,4.37,1.19
12804,-0.33,0.15,5.5,4.37,0.53,3.99
12865,0.75,4.28,7.61,0.98,-0.71,2.07
12925,0.34,9.33,7.8,2.1,-1.23,1.56
12986,1.02,8.07,8.29,-2.0,0.59,-0.84
13048,5.3,12.56,0.4,-4.37,-0.03,-4.37
13111,0.71,-10.12,7.64,-4.37,-0.29,-0.69
13176,1.3,-7.6,6.89,-1.14,-0.93,1.41
13239,2.79,-8.06,11.27,4.37,2.53,2.08
13300,-5.43,-0.61,4.65,4.37,2.54,1.96
13361,-5.1,-4.99,7.07,3.45,0.41,0.36
13423,-5.05,0.86,8.76,3.43,-0.16,1.67
13485,-4.33,3.06,8.93,2.89,-1.51,3.24
13547,-2.34,7.12,3.46,1.12,-2.24,0.7
13609,1.03,7.56,9.2,2.11,-3.11,0.75
13669,0.26,6.93,6.89,2.83,-1.47,0.78
13730,2.15,11.25,7.07,0.78,-0.07,0.77
13790,1.03,11.02,7.89,-2.24,0.21,-2.12
13853,1.68,12.51,2.41,-4.37,0.42,-4.37
13915,-0.28,-12.84,6.01,-4.37,-1.48,-2.29
13980,-2.14,-8.25,7.21,-0.64,0.35,-3.16
14045,1.13,-2.91,8.07,1.71,-1.46,1.89
14107,2.88,-3.72,10.13,0.33,-0.87,0.27
14169,1.96,0.93,9.59,1.95,-0.71,0.22
14229,3.75,-1.36,10.48,2.88,-0.72,0.75
14291,1.16,2.31,7.33,3.88,0.9,0.48
14351,5.52,4.49,5.59,0.92,0.41,-0.35
14411,0.66,4.56,5.78,-4.37,1.53,-1.26
14473,1.41,-7.6,7.13,-4.37,-0.44,-0.25
14537,2.44,-6.1,8.91,-0.38,0.31,0.48
14599,0.15,-7.34,5.71,4.37,-0.29,0.64
14661,5.61,4.56,18.74,4.37,-0.61,-0.32
14723,3.81,5.85,9.18,4.04,-0.19,1.45
14784,0.77,11.16,5.6,-1.3,0.72,-0.56
14846,4.03,19.61,16.62,-4.37,1.92,-3.65
14908,-1.79,-11.34,4.36,-4.37,-1.04,0.31
14972,0.46,-5.56,7.73,0.53,0.21,-0.21
15034,0.82,-6.22,8.42,-2.1,0.46,0.44
15096,-0.19,-10.56,8.32,4.37,0.49,1.77
15158,1.29,4.34,6.58,4.37,-2.92,2.78
15219,5.05,13.15,6.36,4.37,-0.61,1.96
