Time_ms,Piezo
0,0
20,0
41,3
61,79
82,91
101,0
122,0
142,0
163,0
183,6
204,45
224,89
245,33
265,0
285,0
305,0
326,0
346,20
367,100
387,114
408,0
428,0
449,0
469,0
488,1
509,12
529,55
550,135
570,66
591,0
611,0
632,0
652,0
673,23
693,39
714,18
734,0
755,0
774,0
795,0
815,0
836,0
856,39
877,65
897,0
917,0
938,0
958,0
979,0
999,0
1020,0
1040,36
1060,28
1080,0
1101,0
1121,0
1142,0
1162,1
1183,26
1203,53
1224,41
1244,0
1265,0
1285,0
1306,0
1326,3
1347,27
1366,141
1386,98
1407,0
1427,0
1448,0
1468,0
1489,0
1509,12
1530,45
1550,83
1571,75
1591,0
1612,0
1632,0
1653,0
1673,0
1694,34
1713,71
1734,54
1754,0
1775,0
1795,0
1816,0
1836,0
1857,0
1877,28
1897,89
1918,16
1938,0
1959,0
1979,0
2000,0
2019,7
2040,23
2060,52
2081,66
2101,22
2122,0
2142,0
2163,0
2183,0
2204,0
2224,25
2245,92
2265,70
2286,0
2306,0
2327,0
2347,0
2366,12
2387,56
2407,83
2428,47
2448,0
2469,0
2489,0
2510,0
2530,0
2551,0
2571,14
2592,49
2612,0
2633,0
2653,0
2673,0
2693,0
2714,0
2734,1
2755,24
2775,25
2796,0
2816,0
2836,0
2857,1
2877,2
2898,8
2918,4
2939,20
2958,44
2979,22
2999,3
3020,9
3040,0
3061,0
3081,0
3102,0
3122,8
3143,1
3163,0
3184,0
3204,0
3224,4
3244,4
3265,3
3285,0
3305,0
3326,0
3346,9
3367,3
3387,0
3408,0
3428,0
3449,0
3468,0
3489,0
3509,5
3530,0
3550,0
3571,0
3591,3
3612,10
3632,2
3653,0
3673,0
3694,4
3714,0
3733,2
3754,3
3774,2
3795,1
3815,3
3836,3
3856,8
3877,9
3897,4
3918,7
3938,1
3959,0
3978,1
3999,5
4019,4
4040,0
4060,0
4081,0
4101,1
4122,5
4142,0
4163,0
4183,0
4204,0
4223,0
4243,0
4264,2
4284,3
4305,19
4325,14
4346,3
4366,0
4387,0
4407,4
4428,0
4448,0
4469,3
4488,13
4509,7
4529,18
4550,12
4570,0
4591,0
4611,1
4632,0
4652,0
4673,4
4693,0
4713,7
4734,4
4754,12
4775,20
4794,3
4815,0
4835,0
4856,6
4876,0
4897,0
4917,0
4938,0
4958,7
4979,1
4999,0
5020,4
5039,21
5060,3
5080,0
5101,0
5121,0
5141,0
5162,0
5182,4
5203,1
5223,18
5244,34
5264,22
5285,0
5305,0
5326,3
5345,1
5366,0
5386,0
5407,0
5427,0
5448,6
5468,5
5489,6
5509,19
5530,4
5550,6
5571,0
5590,0
5610,0
5631,9
5651,0
5672,0
5692,9
5713,17
5733,3
5754,0
5774,0
5795,0
5815,0
5836,0
5855,0
5876,4
5896,2
5917,1
5937,3
5958,10
5978,4
5999,0
6019,0
6040,0
6060,0
6081,0
6100,5
6120,12
6141,44
6161,41
6182,14
6202,0
6223,0
6243,0
6264,0
6284,0
6305,0
6325,0
6346,0
6366,5
6387,34
6406,9
6427,0
6447,0
6468,3
6488,0
6509,0
6529,0
6549,0
6570,1
6590,0
6611,0
6631,13
6652,11
6672,1
6692,0
6712,0
6733,0
6753,0
6774,0
6794,1
6815,0
6835,0
6856,12
6876,13
6897,26
6917,17
6938,0
6958,1
6978,0
6998,0
7018,0
7039,4
7059,26
7080,4
7100,7
7121,22
7141,22
7162,0
7182,0
7203,0
7223,0
7244,0
7263,0
7284,1
7304,0
7325,0
7345,1
7366,1
7386,12
7407,0
7427,0
7448,0
7468,0
7489,0
7508,0
7528,0
7549,0
7569,0
7590,3
7610,7
7631,33
7651,1
7672,0
7692,0
7713,0
7733,0
7754,0
7773,18
7794,42
7814,55
7835,31
7855,0
7876,0
7896,0
7917,0
7937,0
7957,0
7978,8
7998,28
8019,44
8039,0
8060,0
8080,0
8100,0
8120,0
8141,21
8161,64
8182,35
8202,0
8223,0
8243,0
8264,0
8284,0
8305,10
8325,77
8346,61
8366,0
8387,0
8406,0
8426,0
8447,0
8467,2
8488,47
8508,70
8529,0
8549,0
8570,0
8590,0
8611,0
8631,3
8652,29
8672,82
8693,4
8712,0
8733,0
8753,0
8774,0
8794,0
8815,12
8835,54
8856,60
8876,0
8897,0
8917,0
8937,0
8958,0
8978,0
8998,0
9018,24
9039,64
9059,0
9080,0
9100,0
9121,0
9141,0
9162,0
9182,0
9203,29
9223,59
9244,0
9264,0
9284,0
9304,0
9325,0
9345,2
9365,24
9386,68
9406,3
9427,0
9447,0
9468,2
9488,4
9509,3
9529,0
9549,35
9569,18
