Time_ms,Piezo
0,345
20,0
41,0
61,0
82,0
101,0
122,0
142,227
163,384
183,44
204,0
224,0
245,0
265,0
286,0
305,199
326,299
346,169
367,0
387,0
408,0
428,0
449,0
469,1
489,236
510,218
529,0
550,0
570,0
591,0
611,0
632,131
652,187
673,266
693,86
714,0
734,0
755,0
775,0
796,0
816,13
836,328
857,281
878,0
897,0
917,0
938,0
958,0
979,127
999,147
1020,99
1040,0
1061,0
1081,0
1102,0
1122,0
1143,192
1163,308
1184,46
1204,0
1225,0
1244,0
1265,0
1285,0
1306,0
1326,207
1347,225
1367,0
1388,0
1408,0
1428,0
1449,0
1469,0
1490,184
1510,329
1531,152
1551,0
1572,0
1592,0
1612,0
1632,0
1653,0
1673,0
1694,219
1714,83
1735,0
1755,0
1776,0
1796,0
1817,0
1837,103
1858,155
1878,132
1898,0
1919,0
1939,0
1959,0
1979,0
2000,0
2020,222
2041,287
2061,0
2082,0
2102,0
2123,0
2143,0
2164,0
2184,145
2205,216
2225,232
2246,0
2266,0
2287,0
2307,0
2327,0
2347,0
2367,0
2388,255
2408,265
2429,0
2449,0
2470,0
2490,0
2511,42
2531,106
2552,150
2572,222
2593,223
2613,0
2634,0
2654,0
2675,0
2695,0
2715,94
2735,120
2756,141
2776,171
2797,0
2817,0
2837,0
2858,0
2878,0
2899,1
2919,169
2940,223
2960,76
2981,0
3001,0
3022,0
3042,0
3063,0
3083,0
3103,183
3123,301
3144,94
3164,0
3185,0
3205,0
3226,0
3246,5
3267,150
3287,242
3308,300
3328,59
3348,0
3369,0
3389,0
3410,0
3430,0
3451,0
3471,139
3492,274
3512,76
3533,0
3552,0
3573,0
3593,0
3614,0
3634,0
3655,4
3675,0
3696,278
3716,247
3737,0
3757,0
3778,0
3798,0
3818,1
3838,0
3858,0
3879,102
3899,123
3920,0
3940,0
3961,0
3981,0
4002,0
4022,4
4043,225
4063,112
4084,0
4104,0
4125,0
4145,0
4165,0
4185,0
4206,63
4226,310
4247,213
4267,0
4287,0
4308,0
4328,0
4349,0
4369,0
4390,204
4410,295
4431,83
4451,0
4472,0
4492,0
4513,0
4532,0
4553,1
4573,0
4594,180
4614,214
4635,0
4655,0
4676,0
4696,0
4717,0
4737,0
4757,0
4778,1
4798,249
4819,318
4839,0
4860,0
4879,0
4900,0
4920,0
4941,0
4961,0
4982,115
5002,252
5023,280
5043,0
5064,0
5084,0
5105,0
5125,0
5146,0
5166,242
5187,306
5207,51
5228,0
5247,0
5267,0
5288,0
5308,0
5329,0
5349,0
5370,204
5390,347
5411,67
5431,0
5452,0
5472,0
5493,0
5513,0
5534,0
5553,0
5574,151
5594,299
5615,185
5635,0
5656,0
5676,0
5697,0
5717,0
5737,0
5758,184
5778,334
5799,307
5819,0
5840,0
5860,0
5881,0
5901,0
5921,0
5941,0
5962,71
5982,296
6003,250
6023,0
6044,0
6064,0
6085,0
6105,0
6126,0
6146,0
6167,169
6187,214
6207,86
6228,0
6248,0
6269,0
6288,0
6309,0
6329,49
6350,95
6370,136
6391,196
6411,180
6432,0
6452,0
6473,0
6493,0
6514,0
6534,0
6555,0
6575,0
6596,297
6616,182
6637,0
6657,0
6676,0
6697,0
6717,0
6738,0
6758,0
6779,0
6799,349
6820,182
6840,0
6861,0
6881,0
6902,0
6922,0
6943,4
6962,167
6983,196
7003,0
7024,0
7044,0
7065,0
7085,0
7106,0
7126,230
7146,411
7167,123
7187,0
7208,0
7228,0
7249,0
7269,0
7290,143
7310,285
7331,214
7351,0
7372,0
7391,0
7412,0
7432,0
7453,0
7473,209
7494,179
7514,0
7535,0
7555,0
7576,0
7596,0
7617,0
7637,0
7657,0
7677,177
7698,355
7719,121
7739,0
7759,0
7779,0
7800,0
7820,0
7841,0
7861,0
7882,241
7902,249
7923,0
7943,0
7964,0
7984,0
8005,0
8025,0
8045,95
8065,126
8085,167
8106,132
8126,0
8147,0
8167,0
8188,0
8208,0
8229,1
8249,260
8270,265
8290,0
8311,0
8331,0
8352,0
8372,0
8393,0
8412,1
8433,2
8453,214
8474,355
8494,56
8515,0
8535,0
8556,0
8576,0
8596,0
8617,0
8637,0
8658,28
8678,287
8699,228
8719,0
8740,0
8760,0
8780,0
8800,0
8821,0
8841,232
8862,291
8882,0
8903,0
8923,0
8944,0
8964,0
8985,0
9005,2
9026,1
9046,1
9065,310
9087,255
9107,0
9127,0
9147,0
9168,0
9188,0
9209,115
9229,128
9250,94
9270,0
9291,0
9311,0
9332,0
9352,0
9373,0
9393,24
9414,138
9434,178
9455,127
9475,0
9496,0
9515,0
9535,0
9556,0
9576,88
9597,119
9617,133
9638,148
9658,0
9679,0
9699,0
9720,0
9740,0
9761,0
9781,0
9802,161
9822,426
9843,119
9863,0
9884,0
9904,0
9925,0
9945,0
9966,0
9986,155
10007,191
10027,91
10047,0
10068,0
10088,0
10109,0
10129,0
10150,0
10170,295
10191,400
10211,33
10232,0
10252,0
10273,0
10293,0
10314,0
10334,0
10355,0
10375,19
10396,275
10416,298
10437,0
10457,0
10478,0
10498,0
10519,0
10539,0
10559,0
10580,1
10600,0
10620,3
10640,465
10661,414
10682,0
10703,0
10722,0
10743,0
10763,0
10784,0
10804,81
10825,174
10845,246
10866,137
10887,0
10907,0
10927,0
10948,0
10968,0
10989,0
11009,0
11029,214
11050,351
11070,281
11091,0
11111,0
11132,0
11152,0
11173,0
11193,0
11214,0
11234,165
11255,388
11275,282
11296,0
11316,0
11337,0
11357,0
11378,0
11398,35
11419,145
11439,196
11460,206
11480,0
11501,0
11521,0
11541,0
11562,0
11582,0
11603,0
11623,52
11644,344
11664,335
11685,0
11705,0
11726,0
11746,0
11767,0
11787,0
11808,0
11828,112
11849,267
11869,256
11890,0
11910,0
11931,0
11951,0
11972,0
11992,0
12013,0
12033,0
12053,259
12074,454
12094,111
12115,0
12135,0
12156,0
12176,0
12197,0
12217,0
12238,0
12258,57
12279,279
12299,314
12320,0
12340,0
12361,0
12381,0
12402,0
12422,0
12442,0
12462,81
12483,244
12503,273
12525,0
12545,0
12564,0
12585,0
12605,0
12626,45
12646,79
12667,131
12687,223
12708,259
12729,0
12750,0
12769,0
12790,0
12810,0
12831,0
12851,0
12872,4
12892,308
12913,445
12933,119
12954,0
12974,0
12995,0
13015,0
13036,0
13056,0
13076,0
13097,0
13117,307
13138,432
13158,78
13179,0
13199,0
13220,0
13240,0
13261,0
13281,0
13302,0
13322,0
13343,28
13363,252
13384,291
13404,84
13425,0
13445,0
13466,0
13486,0
13507,0
13527,0
13548,0
13568,46
13588,242
13609,246
13629,0
13650,0
13670,0
13691,0
13711,0
13732,0
13752,0
13773,1
13793,3
13813,247
13834,290
13855,72
13875,0
13896,0
13916,0
13936,0
13956,0
13977,0
13997,2
14018,143
14038,360
14058,347
14079,0
14099,0
14120,0
14140,0
14161,0
14181,0
14202,76
14222,156
14243,233
14263,162
14284,0
14304,0
14325,0
14345,0
14366,0
14386,25
14407,195
14427,292
14448,283
14468,0
14489,0
14509,0
14530,0
14550,0
14570,0
14591,122
14611,287
14632,259
14652,0
14673,0
14693,0
14714,0
14734,0
14755,52
14775,138
14796,204
14816,168
14837,0
14857,0
14878,0
14898,0
14919,0
14939,1
14960,49
14980,271
15001,387
15021,167
15042,0
15062,0
15082,36
