Time_ms,Piezo
0,1
20,1
41,0
61,0
82,2
102,0
123,1
143,0
163,0
183,0
204,1
224,0
245,0
265,0
286,1
306,0
326,0
346,1
367,2
387,0
408,0
428,0
448,0
469,2
488,1
509,1
529,2
550,1
570,0
591,4
611,0
632,0
652,0
673,1
692,0
713,0
733,1
754,0
774,8
795,0
815,0
836,0
856,0
877,4
897,1
917,0
937,1
957,4
978,1
998,2
1019,0
1039,0
1060,0
1080,0
1101,4
1121,2
1142,0
1162,0
1182,0
1202,1
1223,4
1243,0
1264,2
1284,2
1305,1
1325,0
1346,0
1366,2
1386,1
1407,0
1426,1
1447,2
1467,0
1488,0
1508,0
1529,2
1549,0
1570,0
1590,2
1611,3
1631,1
1652,3
1671,0
1692,0
1712,1
1733,1
1753,4
1774,0
1794,2
1814,0
1835,4
1855,4
1876,1
1896,0
1916,0
1936,1
1957,0
1977,1
1998,2
2018,1
2039,4
2059,0
2080,0
2100,1
2121,0
2141,0
2161,0
2181,1
2202,0
2222,0
2243,0
2263,0
2283,0
2304,1
2324,1
2345,0
2365,0
2386,0
2405,0
2426,0
2446,0
2467,0
2487,2
2508,0
2528,1
2549,1
2569,4
2590,1
2610,0
2631,1
2650,4
2671,2
2691,0
2712,0
2732,0
2752,0
2773,1
2793,0
2814,2
2834,0
2855,0
2875,1
2895,0
2915,0
2936,0
2956,0
2977,0
2997,0
3018,0
3038,0
3059,0
3079,0
3100,0
3120,1
3140,0
3160,0
3181,0
3201,0
3221,0
3242,0
3262,1
3283,0
3303,1
3324,0
3344,0
3365,2
3384,4
3405,1
3425,0
3446,4
3466,1
3487,0
3507,0
3528,0
3548,2
3569,3
3589,1
3610,0
3629,1
3650,4
3670,0
3690,0
3711,0
3731,0
3752,0
3772,0
3793,1
3813,0
3834,2
3854,0
3874,0
3894,0
3915,1
3935,0
3956,0
3976,0
3997,0
4017,1
4038,2
4058,1
4079,1
4099,0
4118,2
4139,2
4159,0
4180,0
4200,0
4221,0
4241,0
4262,0
4282,1
4303,1
4323,3
4344,1
4363,1
4384,1
4404,0
4425,3
4445,4
4466,0
4486,0
4507,0
4527,2
4548,2
4568,2
4589,0
4608,1
4628,1
4649,0
4669,0
4690,1
4710,0
4731,0
4751,0
4772,0
4792,2
4813,0
4833,2
4853,0
4873,0
4894,0
