Time_ms,Piezo
0,1
20,0
41,4
61,0
82,1
102,0
123,4
143,0
163,0
183,2
204,1
224,0
245,1
265,2
286,0
306,1
326,0
346,0
367,0
387,2
408,0
428,0
448,0
469,0
488,0
509,0
529,0
550,0
570,0
591,2
611,0
632,0
652,0
673,0
692,0
713,0
733,0
754,1
774,1
795,0
815,1
836,0
856,3
877,0
897,0
917,8
937,0
957,0
978,0
998,0
1019,0
1039,0
1060,1
1080,0
1101,1
1121,3
1142,1
1162,0
1182,0
1202,0
1223,2
1243,1
1264,0
1284,0
1305,0
1325,1
1346,0
1366,0
1386,0
1407,1
1426,0
1447,0
1467,0
1488,0
1508,1
1529,1
1549,2
1570,1
1590,1
1611,2
1631,2
1652,0
1671,0
1692,1
1712,0
1733,0
1753,3
1774,0
1794,1
1814,1
1835,1
1855,1
1876,0
1896,1
1916,0
1936,1
1957,1
1977,0
1998,5
2018,1
2039,1
2059,0
2080,0
2100,0
2121,0
2141,1
2161,0
2181,0
2202,1
2222,0
2243,0
2263,0
2283,1
2304,0
2324,0
2345,0
2365,0
2386,0
2405,1
2426,0
2446,0
2467,1
2487,0
2508,0
2528,0
2549,1
2569,0
2590,2
2610,0
2631,1
2650,0
2671,0
2691,1
2712,1
2732,1
2752,1
2773,0
2793,2
2814,4
2834,1
2855,3
2875,0
2895,1
2915,0
2936,2
2956,3
2977,1
2997,0
3018,0
3038,1
3059,1
3079,0
3100,0
3120,1
3140,2
3160,0
3181,0
3201,0
3221,1
3242,1
3262,0
3283,0
3303,2
3324,0
3344,0
3365,0
3384,2
3405,2
3425,0
3446,0
3466,2
3487,0
3507,0
3528,0
3548,0
3569,0
3589,0
3610,1
3629,0
3650,1
3670,3
3690,4
3711,0
3731,1
3752,0
3772,4
3793,0
3813,0
3834,0
3854,3
3874,0
3894,1
3915,1
3935,0
3956,0
3976,1
3997,1
4017,0
4038,0
4058,0
4079,0
4099,1
4118,1
4139,1
4159,0
4180,0
4200,0
4221,2
4241,0
4262,2
4282,0
4303,1
4323,0
4344,0
4363,2
4384,0
4404,0
4425,4
4445,0
4466,1
4486,0
4507,0
4527,0
4548,3
4568,0
4589,1
4608,1
4628,1
4649,0
4669,0
4690,0
4710,2
4731,0
4751,1
4772,0
4792,1
4813,0
4833,1
4853,0
4873,0
4894,0
4914,2
4935,1
4955,1
4976,0
4996,0
5017,0
5037,0
