Time_ms,Piezo
0,0
19,0
40,0
60,0
81,0
101,0
122,0
142,0
163,0
182,0
203,0
223,0
244,0
264,0
285,0
305,926
326,0
346,0
366,0
386,0
407,0
427,0
447,982
468,1
488,0
509,0
528,0
549,0
569,0
590,0
610,943
631,0
651,0
672,0
692,0
713,0
733,0
754,0
773,75
794,0
814,0
835,0
855,0
876,0
896,0
916,923
937,0
957,0
978,0
998,0
1019,0
1039,0
1059,0
1079,475
1100,0
1120,0
1141,0
1161,0
1182,0
1202,0
1223,536
1243,0
1264,0
1284,0
1305,0
1325,0
1345,0
1365,0
1385,760
1406,0
1426,0
1447,0
1467,0
1488,0
1508,0
1529,0
1549,269
1570,0
1590,0
1611,0
1630,0
1651,0
1671,0
1692,0
1712,285
1733,0
1753,0
1774,0
1794,0
1815,0
1835,0
1855,0
1876,438
1896,0
1916,0
1936,0
1957,0
1977,0
1998,0
2018,744
2039,446
2059,0
2080,0
2100,0
2121,0
2141,0
2162,0
2182,787
2203,518
2223,0
2244,0
2263,0
2284,0
2304,0
2324,0
2345,0
2365,860
2386,172
2406,0
2427,0
2447,0
2468,0
2488,0
2509,0
2529,0
2549,277
2569,0
2590,0
2610,0
2631,0
2651,0
2672,0
2692,705
2713,0
2733,0
2754,0
2774,0
2794,0
2815,0
2834,0
2855,543
2875,0
2896,0
2916,0
2937,0
2957,0
2978,0
2998,765
3019,0
3039,0
3060,0
3080,0
3101,0
3121,0
3141,0
3161,835
3182,209
3202,0
3223,0
3243,0
3263,0
3284,0
3304,0
3325,0
3345,778
3366,0
3386,0
3407,0
3427,0
3447,0
3467,0
3488,0
3508,864
3529,0
3549,0
3570,0
3590,0
3611,0
3631,0
3652,0
3672,910
3693,0
3713,0
3732,0
3753,0
3773,0
3794,0
3814,0
3835,895
3855,0
3876,0
3896,0
3917,0
3937,0
3958,0
3978,0
3998,883
4018,643
4040,0
4059,0
4080,0
4100,0
4121,0
4141,0
4162,0
4182,779
4202,0
4223,0
4243,0
4264,0
4284,0
4305,0
4324,0
4345,866
4365,358
4386,0
4406,0
4427,0
4447,0
4468,0
4488,0
4509,832
4529,51
4550,0
4570,0
4591,0
4611,0
4632,0
4651,0
4671,0
4692,776
4712,0
4733,0
4753,0
4774,0
4794,0
4815,0
4835,0
4856,816
4876,0
4897,0
4917,0
4937,0
4957,0
4978,0
4998,0
5019,787
5039,0
5060,0
5080,0
5101,0
5121,0
5141,0
5162,0
5182,807
5203,0
5222,0
5243,0
5263,0
5284,0
5304,0
5325,0
5345,870
5366,355
5386,0
5407,0
5427,0
5448,0
5468,0
5489,0
5508,0
5529,864
5549,457
5570,0
5590,0
5610,0
5631,0
5651,0
5672,0
5692,0
5713,0
5733,793
5754,0
5774,0
5795,0
5815,0
5835,0
5855,0
5876,0
5896,0
5917,716
5937,0
5958,0
5978,0
5999,0
6019,0
6040,0
6060,0
6081,903
6101,488
6121,0
6141,0
6161,0
6182,0
6202,0
6223,0
6243,0
6264,0
6284,829
6305,0
6325,0
6346,0
6366,0
6387,0
6406,0
6427,0
6447,0
6468,806
6488,113
6509,0
6529,0
6549,0
6570,0
6590,0
6611,0
6631,0
6652,821
6672,0
6693,0
6712,0
6733,0
6753,0
6774,0
6794,0
6815,0
6835,0
6856,779
6876,0
6897,0
6917,0
6938,0
6958,0
6978,0
6998,0
7018,0
7039,692
7059,0
7080,0
7100,0
7121,0
7141,0
7162,0
7182,0
7203,0
7223,990
7244,115
7264,0
7285,0
7304,0
7325,0
7345,0
7366,0
7386,0
7407,771
7427,33
7448,0
7468,0
7489,0
7509,0
7529,0
7550,0
7569,0
7590,858
7610,544
7631,0
7651,0
7672,0
7692,0
7713,0
7733,0
7754,0
7774,0
7795,853
7815,316
7836,0
7856,0
7877,0
7897,0
7917,0
7937,0
7957,0
7978,839
7998,453
8019,0
8039,0
8060,0
8080,0
8101,0
8121,0
8142,0
8162,0
8183,829
8203,0
8223,0
8243,0
8264,0
8284,0
8305,0
8325,0
8346,0
8366,0
8387,712
8407,0
8428,0
8448,0
8468,0
8488,0
8508,0
8529,0
8549,0
8570,239
8590,0
8611,0
8631,0
8652,0
8672,0
8693,0
8713,0
8734,342
8754,0
8774,0
8794,0
8815,0
8835,0
8856,0
8876,974
8897,0
8917,0
8937,0
8958,0
8978,0
8999,0
9019,0
9040,0
9059,922
9080,0
9100,0
9121,0
9141,0
9162,0
9182,0
9203,0
9223,0
9244,0
9264,1023
9285,257
9305,0
9326,0
9346,0
9367,0
9386,0
9406,0
9427,0
9447,0
9468,0
9488,760
9509,97
9529,0
9550,0
9570,0
9591,0
9611,0
9632,0
9652,0
9673,0
9693,571
9714,601
9734,0
9755,0
9775,0
9796,0
9816,0
9836,0
9856,0
9876,0
9897,819
9917,210
9938,0
9958,0
9979,0
9999,0
10020,0
10040,0
10061,0
10081,790
10102,556
10122,0
10143,0
10163,0
10184,0
10204,0
10225,0
10245,0
10266,0
10286,752
10307,0
10327,0
10348,0
10368,0
10388,0
10409,0
10429,0
10450,558
10470,717
10491,0
10511,0
10532,0
10552,0
10573,0
10593,0
10614,0
10634,0
10655,962
10675,585
10696,0
10716,0
10737,0
10757,0
10777,0
10797,0
10818,0
10838,0
10858,0
10879,856
10899,308
10920,0
10940,0
10961,0
10981,0
11002,0
11022,0
11043,0
11063,956
11084,645
11104,0
11125,0
11145,0
11166,0
11186,0
11207,0
11227,0
11248,1023
11268,738
11289,0
11309,0
11330,0
11350,0
11370,0
11391,0
11411,0
11432,859
11452,0
11473,0
11493,0
11514,0
11534,0
11555,0
11575,0
11596,0
11616,746
11637,0
11657,0
11678,0
11698,0
11718,0
11738,0
11759,0
11779,0
11800,812
11820,0
11841,0
11861,0
11881,0
11902,0
11922,0
11943,0
11963,0
11984,0
12004,609
12025,0
12045,0
12066,0
12086,0
12107,0
12127,0
12148,0
12168,780
12189,0
12209,0
12230,0
12250,0
12271,0
12291,0
12312,0
12332,0
12353,601
12373,0
12393,0
12414,0
12433,0
12454,0
12474,0
12495,0
12515,845
12536,0
12556,0
12577,0
12597,0
12618,0
12638,0
12659,0
12679,0
12700,774
12720,0
12741,0
12761,0
12782,0
12802,0
12823,0
12843,0
12863,837
12884,0
12904,0
12925,0
12945,0
12966,0
12986,0
13007,0
13027,806
13048,0
13068,0
13089,0
13109,0
13129,0
13149,0
13170,0
13190,805
13211,453
13231,0
13252,0
13272,0
13293,0
13313,0
13333,0
13354,0
13374,0
13395,868
13415,0
13436,0
13456,0
13477,0
13497,0
13518,0
13538,0
13559,0
13579,837
13600,0
13620,0
13641,0
13661,0
13682,0
13702,0
13723,0
13743,0
13764,0
13784,829
13805,212
13825,0
13845,0
13866,0
13886,0
13907,0
13926,0
13947,0
13967,869
13988,532
14009,0
14029,0
14049,0
14070,0
14090,0
14111,0
14131,0
14152,895
14172,672
14193,0
14213,0
14234,0
14254,0
14275,0
14295,0
14316,0
14336,811
14356,395
14377,0
14397,0
14418,0
14438,0
14459,0
14479,0
14500,0
14520,705
14541,87
14561,0
14582,0
14602,0
14623,0
14643,0
14664,0
14684,0
14705,0
14725,854
14746,0
14766,0
14787,0
14807,0
14828,0
14848,0
14867,0
14888,0
14908,0
