Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.35,-0.3,9.97,-0.04,0.03,-0.01
63,0.31,-0.32,10.0,-0.04,0.03,-0.01
127,0.26,-0.37,10.04,-0.04,0.03,-0.01
190,0.3,-0.46,9.92,-0.05,0.04,-0.01
253,0.23,-0.41,9.84,-0.05,0.04,-0.01
316,0.16,-0.47,9.81,-0.05,0.03,-0.01
380,0.24,-0.6,9.87,-0.05,0.03,-0.01
443,0.13,-0.59,9.93,-0.06,0.04,-0.01
506,0.14,-0.64,9.76,-0.06,0.03,-0.01
569,0.13,-0.54,9.83,-0.05,0.03,-0.01
633,0.18,-0.46,9.77,-0.05,0.03,-0.01
696,0.25,-0.45,9.9,-0.06,0.03,-0.01
759,0.23,-0.49,9.84,-0.06,0.03,-0.01
822,0.25,-0.44,9.9,-0.06,0.03,-0.01
886,0.27,-0.36,9.82,-0.06,0.03,-0.01
949,0.25,-0.45,9.82,-0.05,0.03,-0.01
1012,0.25,-0.38,9.87,-0.05,0.03,-0.01
1075,0.21,-0.41,9.84,-0.05,0.03,-0.01
1139,0.3,-0.44,9.89,-0.05,0.03,-0.01
1202,0.23,-0.46,9.93,-0.05,0.03,-0.01
1265,0.24,-0.48,9.85,-0.05,0.03,-0.01
1328,0.23,-0.4,9.96,-0.05,0.03,-0.01
1392,0.21,-0.44,9.9,-0.05,0.03,-0.01
1455,0.22,-0.39,9.84,-0.05,0.03,-0.01
1518,0.29,-0.44,10.0,-0.06,0.03,-0.01
1581,0.28,-0.34,10.0,-0.06,0.04,-0.01
1645,0.15,-0.28,9.88,-0.07,0.04,-0.01
1708,0.31,-0.33,9.72,-0.06,0.03,-0.01
1771,0.17,-0.34,9.81,-0.06,0.03,-0.01
1834,0.24,-0.34,9.94,-0.06,0.04,-0.01
1898,0.14,-0.57,10.04,-0.05,0.03,-0.01
1961,0.29,-0.7,9.85,-0.05,0.03,-0.01
2024,0.24,-0.55,9.84,-0.04,0.03,-0.01
2087,0.19,-0.56,9.79,-0.05,0.03,-0.01
2151,0.13,-0.51,9.87,-0.05,0.03,-0.01
