Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,15.84,8.74,17.09,-2.3,-0.37,-0.84
64,-0.86,0.31,9.79,0.01,-0.27,0.05
126,0.87,-2.96,10.07,0.18,0.11,0.0
186,0.09,2.79,9.73,-0.05,0.06,-0.37
248,0.29,2.23,11.3,0.67,0.2,-0.11
309,0.11,5.47,8.62,-1.15,0.14,-1.02
371,-0.97,0.12,7.35,-0.15,-0.22,-0.05
436,5.04,-1.55,16.52,0.69,0.6,0.32
497,-0.06,-4.11,9.2,0.59,0.11,-0.0
560,-1.05,0.66,6.49,0.05,0.06,-0.06
622,-0.6,0.11,7.12,0.26,-0.76,0.22
684,-0.84,-0.99,9.91,-0.16,0.05,-0.25
749,-1.66,2.34,8.65,-0.61,0.75,-0.12
812,8.64,-9.8,-0.84,-0.76,-0.82,0.35
877,-0.27,-0.26,9.9,-0.11,0.04,-0.07
941,-1.08,1.68,9.32,0.15,0.42,0.27
1002,-2.23,6.35,9.79,-1.13,0.24,0.23
1064,-1.3,-0.69,9.89,-0.06,0.16,0.02
1127,-1.39,1.56,9.49,0.26,0.22,-0.09
1189,1.53,-2.72,6.33,0.49,-0.04,0.1
1251,0.16,0.73,11.76,-0.21,-0.25,-0.2
1315,-1.3,1.92,8.62,-0.15,-0.67,-0.28
1379,-1.12,-2.45,6.16,0.3,0.49,0.22
1441,-9.44,2.23,14.5,-0.31,0.33,0.46
1503,-0.45,1.35,9.96,0.9,0.28,-0.04
1565,-0.41,-0.32,7.54,-0.24,-0.08,0.01
1630,0.2,0.31,10.29,-0.17,-0.09,0.02
1692,-0.32,-0.1,10.39,0.83,0.02,-0.25
1756,-0.56,0.28,7.89,-0.18,-0.04,-0.04
1820,-0.37,-1.15,9.3,-0.49,0.04,0.24
1883,0.35,1.31,8.11,-0.11,-0.07,0.23
1946,-0.07,3.52,10.31,0.3,0.43,-0.2
2008,11.33,-5.31,7.99,-2.2,0.34,-0.7
2071,-1.02,-0.86,10.66,-0.08,-0.03,-0.06
2137,-0.73,0.27,9.83,1.07,0.12,-0.19
2199,-0.02,0.6,9.75,-0.7,-0.07,0.33
2262,12.11,-11.94,-9.18,0.33,2.26,0.83
2324,7.42,-1.36,12.38,0.11,0.15,0.22
2385,1.57,3.08,9.04,0.47,-0.11,-0.08
2447,0.52,1.61,9.74,-0.78,0.04,0.78
2508,-0.4,-2.38,9.67,-0.0,0.02,0.32
2571,6.9,-13.73,10.53,0.06,-0.1,0.28
2633,3.94,-0.17,10.38,-0.51,0.2,-0.01
2697,-0.24,-0.54,9.82,-0.04,0.07,0.01
2760,7.89,-15.76,11.49,0.48,0.42,0.41
2821,0.05,0.16,9.83,-0.2,-0.01,0.01
2883,0.2,-0.39,10.04,-0.14,0.07,0.01
2945,-0.25,-0.06,9.81,-0.02,0.02,-0.0
3009,-0.23,0.48,7.52,-0.19,-0.65,0.14
3073,-0.71,-1.19,9.64,-0.08,-0.05,0.03
3137,-0.19,0.78,9.92,0.07,0.01,-0.02
3199,-6.52,-4.8,16.44,1.75,0.35,0.24
3261,3.86,-0.4,9.33,-0.38,0.25,0.02
3323,0.46,-0.51,10.02,0.01,0.04,0.01
3384,-0.29,0.34,9.87,-0.04,0.02,-0.01
3447,-1.19,-0.36,9.9,-0.19,0.16,0.05
3511,-0.54,-0.81,10.01,0.36,-0.12,-0.05
3575,-0.18,1.04,9.94,-0.17,0.07,-0.01
3639,-10.78,2.81,2.97,0.69,-1.43,-0.76
3702,-0.48,0.18,10.98,-0.06,0.24,-0.02
3765,-0.42,-0.11,9.87,-0.14,0.01,0.0
3829,-19.61,0.87,-19.61,-4.37,3.38,-0.69
3893,-0.29,-0.82,8.57,-0.09,-0.35,0.03
3958,-0.6,-0.17,9.94,0.25,0.11,-0.0
4022,-0.29,0.46,10.03,-0.17,0.04,-0.01
4085,-1.98,3.62,6.99,0.81,-1.16,-0.47
4148,0.66,-1.62,9.91,0.07,0.08,0.02
4209,-0.0,0.85,9.72,0.28,0.04,-0.03
4271,-0.19,0.06,9.95,-0.4,0.03,0.0
4333,-1.62,-0.8,9.45,0.53,-0.27,0.01
4396,0.15,-0.14,9.87,0.14,-0.04,-0.02
4459,-0.23,0.28,9.86,-0.14,0.07,-0.01
4523,0.75,2.72,8.21,-0.95,0.24,0.05
4583,1.65,-0.96,11.13,-0.05,0.03,0.04
4645,-0.17,0.43,9.84,-0.09,-0.04,-0.01
4710,0.38,-0.33,8.78,-0.24,0.63,-0.1
4773,-0.36,0.06,10.96,0.25,-0.05,-0.03
4837,-0.17,-0.62,10.21,0.15,0.04,-0.01
4900,-0.27,0.68,9.88,-0.1,0.06,-0.01
4963,0.69,1.55,10.04,0.41,-0.13,0.09
5024,0.54,0.91,9.78,-0.21,0.14,0.05
5085,-0.59,-0.91,9.68,-0.29,-0.02,0.02
5149,-8.87,6.29,-19.61,-4.37,3.42,-1.37
5214,0.28,-1.24,9.61,0.09,-0.36,0.03
5276,-0.77,0.27,9.79,-0.0,0.03,-0.02
5339,-0.45,0.15,9.81,-0.07,0.06,-0.0
5403,-0.87,0.49,9.01,-0.27,-0.17,0.13
5466,-0.57,-0.87,9.7,-0.05,-0.04,0.02
5530,-0.06,0.26,9.94,-0.01,0.03,-0.01
5594,9.78,-13.73,7.84,0.74,0.61,0.12
5654,1.43,-1.42,9.78,0.34,-0.1,0.15
5717,0.25,0.14,9.91,0.14,0.03,-0.01
5777,-0.14,0.27,9.9,-0.16,0.03,-0.01
5840,-1.92,1.51,8.78,-0.33,0.18,-0.02
5904,-1.17,0.74,9.93,-0.4,-0.13,-0.02
5969,-0.15,-1.15,9.95,0.03,0.06,0.07
6031,-18.77,-9.98,7.82,0.92,-0.74,0.94
6094,-0.17,1.18,10.1,0.23,0.06,0.04
6155,-0.35,-0.31,9.73,0.14,0.08,-0.01
6218,2.27,1.68,5.73,-0.43,1.16,-0.15
6280,-0.09,-0.75,10.24,-0.3,-0.12,-0.05
6346,-1.26,0.04,9.46,0.12,-0.08,-0.03
6410,-0.47,0.39,9.84,-0.06,0.07,-0.01
6473,2.6,3.71,12.03,-0.12,0.64,-0.02
6535,-1.53,-0.08,7.25,-0.26,0.09,0.04
6598,-0.26,0.23,10.01,0.04,-0.02,-0.01
6662,15.27,-4.06,-19.61,-2.52,3.39,-1.01
6727,-1.12,-1.16,11.74,0.04,-0.48,0.0
6790,-1.18,-0.05,9.66,-0.09,-0.03,-0.01
6856,-0.23,0.14,9.98,-0.02,0.05,-0.0
6919,3.66,6.36,13.46,0.19,0.11,-0.06
6980,0.04,-1.35,7.9,-0.07,0.25,0.05
7042,-0.19,0.28,9.87,0.54,-0.08,-0.04
7105,-0.27,0.85,9.92,-0.38,0.03,-0.01
7168,-0.84,-0.85,10.15,-0.04,-0.08,-0.02
7234,0.51,-0.31,10.22,-0.16,0.0,0.0
7296,-0.36,0.15,9.9,-0.04,0.07,-0.01
7359,-19.61,-2.82,19.61,0.48,-3.76,0.41
7423,-0.03,-0.01,9.1,0.63,-0.13,0.04
7486,0.08,-0.29,9.66,-0.34,0.07,0.01
7548,-0.28,-0.18,9.87,0.13,0.02,-0.0
7611,-2.38,3.79,6.47,0.15,-0.29,0.17
7674,-1.07,-0.75,9.05,-0.51,0.01,0.24
7737,-0.09,0.05,10.03,0.22,-0.01,-0.01
7800,-14.16,-9.67,7.92,0.46,-0.87,1.01
7864,-0.48,-1.33,10.48,-0.02,0.05,-0.03
7928,-0.2,0.56,9.91,0.18,0.01,-0.02
7990,-0.22,-0.02,9.79,-0.24,0.03,-0.0
8055,-0.26,-0.05,12.88,0.21,-0.58,-0.01
8120,-0.05,0.57,10.01,-0.34,0.03,-0.01
8183,-0.38,-0.7,9.78,-0.03,0.09,0.0
8246,19.61,0.09,1.17,-1.33,-1.73,-0.73
8310,-1.61,-0.77,8.88,0.13,-0.18,0.04
8373,-0.16,0.14,9.99,0.1,0.03,-0.02
8435,-0.34,0.1,9.89,-0.13,0.04,-0.0
8499,-0.29,-0.33,9.77,-0.04,0.02,-0.01
8563,2.73,2.99,10.86,-0.35,0.47,0.03
8624,0.37,-0.98,10.79,-0.07,-0.07,0.02
8687,-0.39,0.41,9.83,-0.08,-0.01,-0.01
