Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.39,-0.24,9.85,-0.05,0.03,-0.01
63,0.4,-0.16,9.8,-0.05,0.03,-0.01
126,0.39,-0.19,9.9,-0.05,0.03,-0.01
190,0.4,-0.25,9.95,-0.05,0.03,-0.01
253,0.34,-0.28,9.89,-0.06,0.03,-0.01
316,0.44,-0.24,9.89,-0.05,0.03,-0.01
379,0.38,-0.23,9.87,-0.06,0.03,-0.01
443,0.39,-0.26,9.88,-0.06,0.04,-0.01
506,0.37,-0.28,9.85,-0.05,0.04,-0.01
569,0.36,-0.26,9.87,-0.05,0.03,-0.01
632,0.39,-0.22,9.86,-0.05,0.03,-0.01
696,0.39,-0.25,9.9,-0.05,0.03,-0.01
759,0.43,-0.19,9.84,-0.05,0.03,-0.01
822,0.37,-0.26,9.97,-0.05,0.03,-0.01
885,0.34,-0.24,9.81,-0.05,0.03,-0.01
949,0.4,-0.23,9.95,-0.05,0.03,-0.01
1012,0.3,-0.35,9.82,-0.05,0.03,-0.01
1075,0.45,-0.19,9.96,-0.05,0.04,-0.01
1138,0.19,-0.21,9.8,-0.05,0.03,-0.01
1202,0.27,-0.27,9.77,-0.06,0.02,-0.01
1265,0.43,-0.26,9.93,-0.06,0.02,-0.01
1328,0.49,-0.25,10.02,-0.06,0.03,-0.01
1391,0.51,-0.24,10.01,-0.05,0.04,-0.01
1455,0.44,-0.28,9.87,-0.05,0.04,-0.01
1518,0.29,-0.18,9.86,-0.06,0.04,-0.01
1581,0.26,-0.12,9.8,-0.06,0.04,-0.01
1644,0.31,-0.12,9.8,-0.06,0.03,-0.01
1708,0.57,-0.14,9.78,-0.06,0.03,-0.01
1771,0.67,-0.28,9.92,-0.05,0.03,-0.01
1834,0.54,-0.37,9.9,-0.05,0.05,-0.01
1897,0.44,-0.11,9.91,-0.05,0.05,-0.01
1961,0.34,-0.16,9.79,-0.05,0.05,-0.01
2024,0.23,-0.24,9.75,-0.05,0.05,-0.01
2087,0.25,-0.21,9.86,-0.05,0.03,-0.01
2150,0.23,-0.15,9.9,-0.05,0.03,-0.01
2214,0.3,-0.19,9.85,-0.06,0.03,-0.01
2277,0.4,-0.21,9.9,-0.06,0.03,-0.01
2340,0.33,-0.25,9.9,-0.06,0.03,-0.01
2403,0.39,-0.24,9.9,-0.05,0.03,-0.01
2467,0.4,-0.23,9.86,-0.05,0.03,-0.01
2530,0.4,-0.25,9.96,-0.05,0.04,-0.01
2593,0.29,-0.23,9.78,-0.05,0.04,-0.01
2656,0.37,-0.24,9.87,-0.05,0.03,-0.01
2720,0.37,-0.24,9.84,-0.06,0.03,-0.01
2783,0.38,-0.17,9.85,-0.06,0.03,-0.01
2846,0.39,-0.21,9.88,-0.06,0.03,-0.01
2909,0.4,-0.28,9.85,-0.05,0.03,-0.01
2973,0.39,-0.27,9.92,-0.06,0.03,-0.01
3036,0.35,-0.23,9.93,-0.05,0.03,-0.01
3099,0.37,-0.25,9.99,-0.06,0.04,-0.01
3162,0.37,-0.26,9.88,-0.05,0.03,-0.01
3226,0.37,-0.2,9.84,-0.05,0.04,-0.01
