Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.72,-3.24,10.3,2.92,-1.64,-1.29
63,2.78,3.23,7.15,1.99,-0.82,0.2
124,3.94,4.65,9.59,0.9,0.76,-0.35
185,-0.23,5.4,9.03,-2.4,3.76,0.01
247,1.28,-0.67,11.28,-4.37,0.1,-2.44
310,-1.53,-5.41,6.7,-1.12,0.05,-1.11
375,-0.28,-7.49,7.41,4.37,-0.43,2.22
438,-2.3,3.86,6.05,4.37,-2.53,1.57
500,-0.88,10.4,7.63,0.55,-4.17,0.42
562,11.18,5.08,10.55,-3.61,-2.54,0.92
624,0.41,-2.2,2.86,-4.37,0.2,1.85
686,10.42,-3.26,14.86,1.35,0.76,-1.04
749,4.39,0.99,5.82,1.43,4.0,-0.09
809,-4.97,3.68,2.68,-2.68,-0.96,-0.92
874,6.98,-4.61,14.18,-2.25,-0.85,1.03
938,0.59,-4.95,9.05,-1.04,0.36,-1.09
1001,-3.87,-0.33,5.13,4.37,1.68,-1.75
1064,2.38,5.36,3.87,4.37,-3.14,1.23
1125,9.83,6.25,13.05,3.91,-0.98,-0.15
1187,2.18,10.51,7.2,-2.23,3.77,-0.33
1249,0.67,6.33,1.85,-4.37,3.36,1.51
1309,7.86,-16.76,12.48,-1.75,-0.59,-1.37
1374,3.52,-2.24,9.24,4.37,1.82,-0.77
1436,-1.04,2.02,2.85,4.37,4.37,0.53
1497,0.43,15.83,9.1,1.49,-0.12,2.04
1558,-1.63,17.41,7.38,-4.37,0.48,-1.57
1621,0.94,-14.88,1.02,-4.37,-1.86,-3.34
1686,4.16,-4.14,12.64,1.3,-0.01,0.4
1748,6.11,-11.88,9.67,4.37,1.5,1.16
1809,-6.53,19.61,-2.44,4.37,1.46,4.04
1871,-3.56,8.1,8.22,1.74,-2.11,1.35
1933,0.55,19.34,5.64,-4.37,-3.0,-0.75
1996,1.09,-13.39,2.64,-4.37,-2.65,-0.77
2061,3.28,1.0,7.11,-1.16,-2.59,-0.95
2124,5.94,0.66,7.81,2.43,-1.79,-1.32
2186,7.39,0.51,8.68,3.35,0.84,-0.16
2247,4.24,6.45,-1.62,4.37,0.26,-2.24
2309,4.56,15.21,6.94,0.99,2.47,-2.17
2369,6.38,18.49,2.18,-4.37,2.99,0.16
2430,-1.58,-14.71,0.24,-4.37,0.28,-1.39
2495,2.11,-1.65,9.22,1.47,-0.26,0.45
2557,2.84,-9.68,10.27,4.37,0.47,1.02
2618,-0.05,7.2,3.07,4.37,-0.14,1.94
2680,1.68,11.74,4.4,4.37,-1.63,0.89
2741,8.34,15.09,9.37,-1.62,0.91,-0.36
2803,4.51,12.02,3.81,-4.37,2.7,-0.77
2865,-2.52,-7.05,2.09,-4.37,1.17,-1.81
2929,1.93,0.14,7.86,-4.37,-0.47,-0.99
2993,0.56,-7.02,6.71,-2.94,-0.46,0.95
3056,2.76,-10.13,10.35,0.56,0.11,1.11
3116,5.9,-3.45,7.14,4.37,2.95,-0.52
3178,-1.63,-2.25,6.31,4.37,-0.16,0.38
3242,2.05,15.4,8.09,4.37,-1.02,1.66
3303,4.26,16.56,10.03,-4.37,1.45,0.78
3363,-0.8,11.65,-5.05,-4.37,2.66,-0.73
3428,0.52,-11.09,7.62,-0.24,-0.82,-0.21
3493,0.6,-2.63,9.15,-0.62,-0.16,-0.34
3557,0.73,-4.73,8.9,0.97,0.24,0.58
3618,1.24,-5.72,10.4,1.28,0.67,0.29
3679,-1.72,4.57,11.3,1.28,1.49,-0.4
3741,0.26,7.06,9.61,-4.37,1.04,-1.11
3803,-3.54,-16.39,2.31,-3.92,-0.89,-0.1
3869,2.15,-10.45,11.3,0.38,-1.3,-0.49
3932,0.06,-7.86,6.68,4.37,0.31,2.08
3993,0.34,-5.27,4.22,4.37,0.67,2.26
4053,3.02,13.43,8.45,4.37,-1.3,1.58
4114,2.91,10.0,9.52,-0.78,-1.09,-0.52
4178,2.51,10.81,0.65,-4.37,1.67,-4.32
4240,0.78,-16.55,6.74,-3.26,-3.08,-0.87
4304,0.67,-5.88,8.29,-0.04,-0.98,-0.3
4369,3.81,-9.75,10.31,3.96,-0.36,0.3
4431,0.97,-0.31,7.21,4.37,-1.46,-1.59
4494,3.39,-0.89,11.23,4.37,-1.85,-2.66
4558,3.59,0.26,7.26,4.37,1.7,-0.39
4618,3.42,11.39,7.1,-0.37,0.31,0.31
4679,2.35,9.81,-0.94,-4.37,1.86,-0.37
4743,3.79,-5.64,11.01,-4.37,-1.45,0.38
4806,2.37,-2.53,8.33,-0.19,-0.95,-0.88
4871,2.12,-4.43,10.66,2.38,0.82,-0.31
4933,2.07,-0.25,8.84,4.37,0.8,-1.16
4995,-0.5,5.05,-0.68,4.37,-1.3,0.4
5058,9.05,19.61,10.23,2.88,-1.36,1.55
5119,3.96,8.42,4.0,-1.86,1.22,0.11
5179,6.59,14.17,5.55,-4.37,2.28,1.3
5240,-1.64,-6.72,1.34,-4.37,0.27,-0.27
5305,5.22,-5.1,11.05,-1.87,-0.22,0.19
5368,2.27,-5.25,8.64,-0.18,0.0,-0.61
5432,1.49,-11.01,4.92,4.37,2.63,-0.48
5494,-1.36,-2.64,7.52,4.37,1.11,-1.07
5557,-0.79,9.66,3.29,4.37,0.13,0.83
5618,6.8,18.24,10.07,-1.97,-0.54,2.57
5680,2.5,13.59,-0.27,-4.37,2.58,1.43
5742,-0.15,-8.71,5.8,-3.71,-0.14,0.81
5806,4.3,-7.27,10.83,-4.37,-1.38,0.8
5870,0.05,-4.59,5.07,-0.53,0.4,0.59
5932,3.17,-4.17,8.15,-1.77,0.74,0.29
5994,3.21,-11.54,7.52,-0.92,2.41,0.57
6056,-1.33,-11.56,3.1,4.37,3.55,-0.47
6119,-9.06,-6.37,-2.48,4.37,0.08,2.41
6183,1.97,19.61,14.74,-1.87,0.27,-0.47
6245,-0.55,-2.51,3.35,-4.37,2.52,-2.24
