Time_ms,Microphone
0,369
21,394
43,366
65,344
86,363
108,487
130,387
151,498
173,366
195,343
216,378
238,382
259,497
281,331
303,402
324,494
346,388
368,370
389,338
411,376
432,369
454,357
476,371
497,357
519,373
541,362
562,360
584,361
606,367
627,409
649,375
670,376
692,374
714,332
735,366
757,362
779,377
800,370
822,346
844,365
865,353
887,369
908,366
930,363
952,383
973,306
995,353
1017,376
1038,370
1060,393
1081,361
1103,507
1125,365
1146,355
1168,350
1190,338
1211,390
1233,410
1255,350
1276,374
1298,386
1319,366
1341,329
1363,477
1384,385
1406,433
1428,390
1449,356
1471,341
1493,524
1514,362
1536,322
1557,363
1579,358
1601,340
1622,327
1644,370
1666,368
1687,467
1709,363
1730,385
1752,518
1774,360
1795,342
1817,393
1839,442
1860,348
1882,398
1904,355
1925,375
1947,521
1968,468
1990,368
2012,395
2033,382
2055,414
2077,355
2098,372
2120,388
2142,361
2163,431
2185,366
2206,328
2228,504
2250,331
2271,373
2293,317
2315,427
2336,364
2358,357
2379,387
2401,402
2423,346
2444,363
2466,361
2488,360
2509,361
2531,538
2553,343
2574,359
2596,342
2617,385
2639,374
2661,355
2682,392
2704,375
2726,373
2747,515
2769,449
2791,364
2812,360
2834,335
2855,379
2877,368
2899,328
2920,436
2942,346
2964,524
2985,365
3007,438
3028,418
3050,489
3072,366
3093,369
3115,366
3137,360
3158,360
3180,392
3202,338
3223,357
3245,346
3266,376
3288,359
3310,498
3331,396
3353,388
3375,515
3396,367
3418,518
3440,382
3461,388
3483,503
3504,349
3526,375
3548,493
3569,388
3591,485
3613,397
3634,406
3656,373
3677,492
3699,397
3721,494
3742,353
3764,387
3786,356
3807,358
3829,364
3851,350
3872,511
3894,367
3915,357
3937,368
3959,497
3980,368
4002,326
4024,359
4045,368
4067,361
4089,446
4110,464
4132,395
4153,331
4175,370
4197,389
4218,356
4240,339
4262,359
4283,365
4305,338
4326,495
4348,458
4370,506
4391,375
4413,354
4435,376
4456,359
4478,376
4500,484
4521,356
4543,370
4564,351
4586,354
4608,333
4629,528
4651,520
4673,389
4694,325
4716,356
4738,371
4759,371
4781,354
4802,481
4824,347
4846,372
4867,357
4889,353
4911,375
4932,375
4954,370
4975,354
4997,362
5019,371
5040,348
5062,360
5084,351
5105,321
5127,369
5149,459
5170,334
5192,372
5213,410
5235,360
5257,375
5278,376
5300,378
5322,376
5343,380
5365,311
5387,405
5408,362
5430,385
5451,368
5473,371
5495,387
5516,339
5538,361
5560,359
5581,364
5603,343
5624,372
5646,369
5668,322
5689,351
5711,436
5733,390
5754,338
5776,397
5798,345
5819,510
5841,373
5862,404
5884,410
5906,351
5927,381
5949,403
5971,386
5992,380
6014,333
6036,375
6057,361
6079,368
6100,482
6122,357
6144,371
6165,362
6187,349
6209,390
6230,326
6252,307
6273,466
6295,376
6317,381
6338,374
6360,378
6382,439
6403,397
6425,412
6447,368
6468,323
6490,326
6511,362
6533,345
6555,318
6576,380
6598,380
6620,362
6641,369
6663,364
6685,370
6706,365
6728,376
6749,438
6771,375
6793,356
6814,349
6836,343
6858,380
6879,370
6901,359
6922,498
6944,333
6966,366
6987,380
7009,435
7031,366
7052,357
7074,336
7096,359
7117,357
7139,363
7160,373
7182,454
7204,375
7225,354
7247,482
7269,345
7290,364
7312,358
7334,357
7355,339
7377,370
7398,378
7420,392
7442,405
7463,360
7485,368
7507,374
7528,362
7550,357
7571,373
7593,351
7615,357
7636,373
7658,429
7680,381
7701,374
7723,387
7745,361
7766,362
7788,396
7809,367
7831,386
7853,506
7874,347
7896,528
7918,361
7939,371
7961,383
7983,414
8004,325
8026,306
8047,341
8069,353
8091,342
8112,373
8134,374
8156,378
8177,348
8199,351
8220,397
8242,331
8264,501
8285,357
8307,324
8329,372
8350,490
8372,359
8394,340
8415,340
8437,353
8458,388
8480,464
8502,355
8523,378
8545,374
8567,376
8588,340
8610,350
8632,351
8653,377
8675,353
8696,385
8718,375
8740,353
8761,326
8783,358
8805,357
8826,377
8848,360
8869,423
8891,359
8913,348
8934,356
8956,372
8978,466
8999,391
9021,525
9043,484
9064,338
9086,487
9107,490
9129,362
9151,338
9172,368
9194,501
9216,385
9237,327
9259,356
9281,344
9302,327
9324,384
9345,386
9367,381
9389,465
9410,357
9432,339
9454,392
9475,392
9497,380
9518,362
9540,385
9562,342
9583,357
9605,377
9627,347
9648,371
9670,506
9692,356
9713,375
9735,389
9756,369
9778,527
9800,360
9821,467
9843,464
9865,311
9886,514
9908,371
9930,443
9951,355
9973,358
9994,486
10016,323
10038,498
10059,497
10081,380
10103,442
10124,382
10146,431
10167,362
10189,355
10211,483
10232,363
10254,359
10276,385
10297,362
10319,339
10341,374
10362,336
10384,383
10405,348
10427,446
10449,361
10470,340
10492,347
10514,377
10535,375
10557,481
10579,371
10600,381
10622,476
10643,335
10665,364
10687,344
10708,375
10730,383
10752,509
10773,388
10795,330
10816,379
10838,371
10860,381
10881,332
10903,376
10925,377
10946,367
10968,391
10990,499
11011,425
11033,380
11054,381
11076,386
11098,515
11119,361
11141,368
11163,323
11184,381
11206,388
11228,353
11249,370
11271,378
11292,496
11314,387
11336,366
11357,366
11379,369
11401,327
11422,413
11444,354
11465,362
11487,374
11509,367
11530,310
11552,496
11574,390
11595,374
11617,338
11639,401
11660,318
11682,365
11703,342
11725,366
11747,366
11768,375
11790,468
11812,372
11833,380
11855,362
11877,482
11898,363
11920,358
11941,344
