Time_ms,Piezo
447,0
467,0
488,0
508,0
528,10
548,39
569,71
589,11
610,0
630,0
651,0
671,0
692,0
712,2
732,30
752,59
773,0
793,0
814,0
834,0
855,0
875,0
894,0
915,6
935,11
956,0
976,0
997,0
1017,1
1038,0
1058,0
1079,17
1099,24
1119,1
1139,0
1160,0
1180,0
1201,1
1221,2
1242,31
1262,42
1283,8
1303,0
1324,0
1344,0
1364,1
1384,16
1404,29
1425,33
1445,4
1466,0
1486,0
1507,0
1527,0
1548,0
1568,8
1589,32
1609,14
1630,0
1650,0
1671,0
1691,0
1711,0
1731,11
1752,28
1772,20
1793,0
1813,0
1833,0
1854,0
1874,0
1895,12
1915,40
1936,49
1956,13
1977,0
1997,0
2018,0
2037,0
2058,19
2078,44
2099,57
2119,20
2140,0
2160,0
2181,0
2201,0
2222,4
2242,24
2263,29
2283,4
2304,0
2324,0
2343,0
2364,0
2384,0
2405,0
2425,12
2446,24
2466,0
2487,0
2507,0
2528,0
2548,0
2569,0
2589,6
2610,24
2629,0
2650,0
2670,0
2691,0
2711,0
2732,2
2752,26
2772,39
2793,7
2813,0
2834,0
2854,0
2875,0
2894,17
2915,44
2935,58
2956,35
2976,0
2997,0
3017,0
3038,0
3058,1
3079,7
3099,30
3120,44
3140,28
3161,0
3181,0
3202,0
3222,0
3241,0
3262,0
3282,22
3303,29
3323,0
3344,0
3364,0
3385,0
3405,0
3426,0
3446,12
3467,33
3487,46
3508,24
3528,0
3548,0
3568,0
3589,0
3609,8
3630,25
3650,41
3671,47
3691,0
3712,0
3732,0
3752,0
3773,1
3793,4
3814,29
3834,46
3854,22
3874,0
3895,0
3915,0
3936,0
3956,0
3977,2
3997,20
4018,32
4038,43
4059,3
4079,0
4100,0
4120,0
4141,0
4160,0
4180,5
4201,13
4221,28
4242,24
4262,0
4283,0
4303,0
4324,0
4344,4
4365,24
4385,25
4406,23
4426,53
4447,52
4467,0
4488,0
4507,0
4528,0
4548,0
4569,14
4589,22
4610,41
4630,45
4651,1
4671,0
4691,0
4712,0
4732,0
4753,0
4773,0
4793,8
4813,20
4834,34
4854,0
4875,0
4895,0
4916,0
4936,0
4957,0
4977,6
4998,14
5018,17
5039,0
5059,0
5080,0
5099,0
5120,0
5140,7
5160,20
5181,35
5201,64
5222,47
5242,0
5263,0
5283,0
5304,0
5324,0
5345,2
5365,0
5385,8
5405,14
5426,31
5446,14
5467,0
5487,0
5508,0
5528,0
5549,0
5569,0
5590,0
5610,0
5630,7
5651,24
5670,20
5691,0
5711,0
5732,0
5752,0
5773,0
5793,16
5814,28
5834,36
5855,11
5875,0
5896,0
5916,0
5937,0
5957,0
5977,8
5997,35
6018,51
6038,67
6059,47
6079,0
6099,0
6120,0
6140,0
6161,10
6181,32
6202,43
6222,58
6243,80
6263,0
6284,0
6304,0
6325,0
6344,0
6365,0
6385,1
6406,12
6426,46
6447,0
6467,0
6488,0
6508,0
6529,0
6549,0
6569,19
6590,40
6610,56
6631,0
6650,0
6671,0
6691,0
6712,0
6732,0
6753,13
6773,60
6794,74
6814,56
6835,0
6855,0
6876,0
6896,0
6917,0
6937,21
6957,47
6977,72
6998,105
7018,55
7038,0
7059,0
7079,0
7100,0
7120,8
7141,35
7161,64
7182,64
7202,0
7223,0
7243,0
7264,0
7284,0
7304,9
7324,33
7345,64
7365,92
7386,32
7406,0
7427,0
7447,0
7468,0
7488,0
7508,22
7529,58
7549,80
7570,82
7590,0
7611,0
7631,0
7651,0
7671,0
7692,3
7712,15
7733,41
7753,60
7774,34
7794,0
7815,0
7835,0
7856,0
7876,0
7897,8
7917,31
7938,66
7958,75
7979,0
7998,0
8018,0
8039,0
8059,0
8080,3
8100,18
8121,42
8141,76
8162,87
8182,0
8203,0
8223,0
8244,0
8264,0
8284,0
8304,1
8325,22
8345,52
8366,20
8386,0
8407,0
8427,0
8448,2
8468,0
8488,14
8509,33
8529,61
8550,76
8570,0
8591,0
8610,0
8631,0
8651,0
8672,18
8692,41
8713,47
8733,61
8754,0
8774,0
8795,0
8815,0
8836,0
8856,0
8877,20
