Time_ms,Piezo
447,0
467,0
488,0
508,0
529,0
548,2
569,275
589,339
610,0
630,0
651,0
671,0
692,0
712,39
732,490
752,562
773,0
793,0
814,0
834,0
855,0
875,0
896,0
916,156
935,418
956,0
976,0
997,0
1017,0
1038,0
1058,0
1079,318
1099,684
1120,0
1140,0
1161,0
1181,0
1201,0
1221,0
1242,228
1262,537
1283,84
1303,0
1324,0
1344,0
1364,0
1385,0
1405,352
1426,513
1446,0
1467,0
1487,0
1508,0
1528,0
1548,41
1568,426
1589,438
1609,0
1630,0
1650,0
1671,0
1691,0
1712,0
1732,337
1753,326
1773,0
1794,0
1814,0
1835,0
1855,0
1875,0
1896,1
1915,617
1936,9
1956,0
1977,0
1997,0
2018,0
2038,4
2059,433
2079,496
2100,0
2120,0
2141,0
2161,0
2182,0
2202,116
2223,208
2243,337
2264,300
2284,0
2304,0
2324,0
2344,0
2365,120
2385,411
2406,459
2426,0
2447,0
2467,0
2488,0
2508,0
2529,86
2549,395
2570,469
2590,0
2611,0
2631,0
2652,0
2671,0
2692,37
2712,320
2733,496
2753,0
2774,0
2794,0
2814,0
2835,0
2855,0
2876,274
2896,475
2917,0
2937,0
2958,0
2978,0
2999,0
3019,88
3039,260
3059,411
3081,91
3100,0
3121,0
3141,0
3162,0
3182,0
3203,2
3223,425
3244,428
3264,0
3284,0
3305,0
3325,0
3346,0
3366,178
3387,260
3407,255
3428,0
3448,0
3468,0
3488,0
3509,0
3529,149
3550,330
3570,417
3591,0
3611,0
3632,0
3652,0
3673,0
3693,121
3714,217
3734,344
3755,107
3775,0
3795,0
3816,0
3836,0
3856,0
3876,145
3897,315
3917,42
3938,0
3958,0
3979,0
3999,0
4020,0
4040,0
4061,1
4081,390
4102,357
4122,0
4143,0
4163,0
4184,0
4204,97
4224,212
4244,272
4265,272
4286,0
4305,0
4326,0
4346,0
4367,0
4387,139
4408,242
4428,381
4449,326
4469,0
4490,0
4510,0
4531,0
4551,0
4572,0
4592,0
4613,239
4633,406
4654,152
4674,0
4695,0
4714,0
4734,0
4755,0
4775,134
4796,307
4816,343
4837,0
4857,0
4878,0
4898,0
4919,0
4939,0
4960,150
4980,257
5001,399
5021,312
5042,0
5062,0
5083,0
5102,0
5123,0
5143,100
5164,140
5184,180
5204,280
5225,286
5245,0
5266,0
5286,0
5307,0
5327,0
5348,92
5368,227
5389,330
5409,100
5430,0
5450,0
5471,0
5491,0
5512,0
5532,0
5552,187
5572,428
5594,25
5613,0
5634,0
5654,0
5675,0
5695,0
5715,0
5736,156
5756,324
5777,298
5797,0
5818,0
5838,0
5859,0
5879,0
5900,244
5920,432
5941,249
5961,0
5982,0
6001,0
6022,0
6042,0
6063,0
6083,151
6104,379
6124,233
6145,0
6165,0
6185,0
6206,0
6226,0
6247,0
6267,192
6288,349
6308,405
6329,0
6349,0
6370,0
6389,0
6410,0
6430,0
6451,203
6471,384
6492,383
6512,0
6533,0
6553,0
6574,0
6594,0
6615,0
6635,0
6656,51
6676,335
6696,451
6717,68
6737,0
6757,0
6777,0
6798,0
6818,0
6839,239
6859,437
6880,390
6900,0
6921,0
6941,0
6962,0
6982,0
7003,127
7023,283
7044,421
7064,198
7085,0
7105,0
7126,0
7146,0
7165,0
7186,174
7206,294
7227,270
7247,0
7268,0
7288,0
7309,0
7329,0
7350,36
7370,171
7391,246
7411,299
7432,0
7452,0
7473,0
7493,0
7514,0
7534,0
7555,142
7575,328
7596,160
7616,0
7635,0
7656,0
7676,0
7697,0
7717,0
7738,0
7758,0
7779,313
7799,374
7820,0
7840,0
7861,0
7881,0
7902,0
7921,0
7942,0
7962,0
7983,218
8003,154
8024,0
8044,0
8065,0
8085,0
8105,0
8126,0
8146,0
8167,1
8187,313
8208,64
8228,0
8248,0
8268,0
8289,0
8309,2
8330,152
8350,197
8371,139
8391,0
8412,0
8432,0
8453,0
8473,0
8494,0
8514,25
8535,215
8555,49
8576,0
8596,0
8615,0
8636,0
8656,0
8677,0
8697,0
8718,254
8738,443
8759,268
8779,0
8800,0
8820,0
8841,0
8861,0
8882,0
