Time_ms,Piezo
446,0
466,0
487,1
507,0
528,0
548,0
569,0
589,1
609,0
629,1
650,0
670,1
691,1
711,0
732,0
752,2
772,0
792,0
813,0
833,1
854,0
874,0
894,0
915,0
934,0
955,1
975,0
996,2
1016,1
1037,0
1057,2
1078,0
1098,0
1119,1
1138,0
1159,1
1179,0
1200,1
1220,0
1241,2
1261,3
1282,1
1302,1
1323,0
1343,2
1363,1
1383,3
1403,0
1424,1
1444,0
1465,2
1485,0
1506,2
1526,0
1547,0
1567,0
1588,1
1608,0
1628,0
1648,0
1669,0
1689,0
1710,2
1730,0
1751,1
1771,0
1792,0
1812,2
1832,2
1853,0
1872,0
1893,1
1913,0
1934,4
1954,1
1975,2
1995,2
2016,0
2036,1
2057,2
2077,1
2098,0
2117,1
2138,1
2158,3
2179,5
2199,1
2220,0
2240,4
2260,2
2281,8
2301,1
2322,0
2342,2
2362,1
2382,3
2403,0
2423,2
2444,0
2464,0
2485,0
2505,0
2526,0
2546,0
2567,0
2587,0
2607,0
2627,1
2648,0
2668,0
2689,1
2709,0
2729,0
2750,0
2770,0
2791,2
2811,0
2832,1
2851,2
2872,2
2892,1
2913,0
2933,5
2954,0
2974,0
2995,2
3015,1
3036,3
3056,3
3077,0
3096,5
3117,2
3137,1
3158,1
3178,0
3198,1
3219,3
3239,0
3260,0
3280,0
3301,0
3321,0
3341,0
3361,0
3382,1
3402,1
3423,0
3443,2
3464,0
3484,0
3505,1
3525,0
3546,0
3566,0
3586,8
3606,0
3627,0
3647,4
3667,1
3688,2
3708,0
3729,0
3749,1
3770,0
3790,2
3811,0
3830,3
3851,1
3871,0
3892,1
3912,1
3933,1
3953,0
3974,0
3994,4
4015,3
4035,0
4056,0
4075,0
4096,0
4116,3
4136,0
4157,1
4177,1
4198,1
4218,1
4239,2
4259,1
4280,3
4300,1
4320,2
4340,0
4361,0
4381,0
4402,0
4422,2
4443,0
4463,2
4484,0
4504,0
4525,0
4545,0
4564,0
4585,15
4605,9
4626,0
4646,0
4667,0
4687,0
4708,0
4728,0
4749,0
4769,0
4790,0
4809,0
4830,1
4850,1
4871,0
4891,2
4912,4
4932,1
4953,1
4973,3
4994,4
5014,0
5035,0
5054,0
