Time_ms,Piezo
447,0
467,0
487,0
507,0
528,0
548,0
569,0
589,0
610,0
630,0
650,0
670,0
691,0
711,0
732,1023
752,0
773,0
793,0
814,0
833,0
854,0
874,0
894,792
915,0
935,0
956,0
976,0
997,0
1016,0
1037,0
1057,733
1078,0
1098,0
1119,0
1139,0
1160,0
1180,0
1201,0
1221,601
1242,0
1262,0
1282,0
1302,0
1323,0
1343,0
1363,0
1384,830
1404,0
1425,0
1445,0
1466,0
1486,0
1507,0
1527,0
1547,0
1567,0
1588,0
1608,0
1629,0
1649,0
1670,0
1690,0
1711,0
1731,793
1752,0
1772,0
1793,0
1813,0
1832,0
1853,0
1873,0
1894,897
1914,0
1935,0
1955,0
1976,0
1996,0
2017,0
2037,0
2058,0
2078,132
2099,0
2118,0
2139,0
2159,0
2180,0
2200,0
2221,0
2241,22
2262,0
2282,0
2302,0
2323,0
2343,0
2363,0
2383,0
2404,765
2424,0
2445,0
2465,0
2486,0
2506,0
2527,0
2547,0
2568,835
2588,0
2609,0
2629,0
2650,0
2669,0
2690,0
2710,0
2731,0
2751,0
2771,0
2792,0
2812,0
2833,0
2853,0
2874,0
2894,0
2914,743
2934,0
2955,0
2975,0
2996,0
3016,0
3037,0
3057,0
3078,0
3098,962
3119,0
3139,0
3160,0
3180,0
3200,0
3220,0
3240,0
3261,0
3281,763
3302,0
3322,0
3343,0
3363,0
3384,0
3404,0
3425,0
3445,0
3465,370
3485,0
3506,0
3526,0
3547,0
3567,0
3588,0
3608,0
3629,843
3649,0
3670,0
3690,0
3710,0
3731,0
3750,0
3771,0
3791,0
3812,780
3832,0
3853,0
3873,0
3894,0
3914,0
3935,0
3955,0
3976,770
3996,0
4017,0
4036,0
4057,0
4077,0
4098,0
4118,0
4139,964
4159,242
4179,0
4200,0
4220,0
4241,0
4261,0
4282,0
4302,0
4323,826
4343,0
4363,0
4383,0
4404,0
4424,0
4445,0
4465,0
4486,0
4506,803
4527,0
4547,0
4568,0
4588,0
4609,0
4628,0
4648,0
4669,0
4689,0
4710,266
4730,0
4751,0
4771,0
4792,0
4812,0
4833,0
4853,0
4874,822
4894,0
4914,0
4934,0
4955,0
4975,0
4996,0
5016,0
5037,934
5057,0
5078,0
5098,0
5118,0
5139,0
5159,0
5179,0
5199,0
5220,804
5240,0
5261,0
5281,0
5302,0
5322,0
5343,0
5363,0
5384,859
5404,0
5425,0
5445,0
5466,0
5485,0
5506,0
5526,0
5547,892
5567,361
5587,0
5608,0
5628,0
5649,0
5669,0
5690,0
5710,0
5731,701
5751,0
5772,0
5791,0
5812,0
5832,0
5853,0
5873,0
5894,0
5914,187
5935,0
5955,0
5976,0
5996,0
6017,0
6037,0
6056,0
6077,873
6097,0
6118,0
6138,0
6159,0
6179,0
6200,0
6220,0
6241,881
6261,0
6282,0
6302,0
6323,0
6342,0
6363,0
6383,0
6404,0
6424,807
6445,180
6465,0
6486,0
6506,0
6526,0
6547,0
6567,0
6588,865
6608,541
6629,0
6649,0
6670,0
6689,0
6710,0
6730,0
6751,0
6771,0
6792,754
6812,0
6833,0
6853,0
6874,0
6894,0
6915,0
6935,0
6955,0
6975,877
6995,267
7016,0
7036,0
7057,0
7077,0
7098,0
7118,0
7139,0
7159,0
7180,0
7200,586
7221,0
7241,0
7261,0
7281,0
7302,0
7322,0
7343,0
7363,0
7384,0
7404,317
7425,0
7445,0
7465,0
7486,0
7506,0
7527,0
7546,0
7567,0
7587,746
7608,0
7628,0
7649,0
7669,0
7690,0
7710,0
7731,0
7751,832
7772,390
7792,0
7813,0
7833,0
7853,0
7873,0
7894,0
7914,0
7934,0
7955,279
7975,0
7996,0
8016,0
8037,0
8057,0
8078,0
8098,0
8118,74
8138,0
8159,0
8179,0
8200,0
8220,0
8241,0
8261,0
8282,0
8302,878
8323,0
8343,0
8364,0
8384,0
8403,0
8424,0
8444,0
8465,0
8485,0
8506,603
8526,0
8547,0
8567,0
8588,0
8608,0
8629,0
8649,0
8669,0
8689,103
8710,66
8730,0
8751,0
8771,0
8792,0
8812,0
8833,0
8853,0
8873,0
