Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-0.61,-0.05,9.59,0.1,-0.01,-0.02
65,-0.52,0.36,10.09,-0.22,0.1,0.05
127,1.25,1.04,9.28,-0.04,0.06,-0.01
189,-0.16,1.51,10.03,0.0,0.03,-0.01
251,-3.07,2.34,5.17,0.08,-0.07,-0.04
314,0.77,-1.53,11.27,0.1,-0.0,0.02
376,0.77,-2.04,9.68,0.03,-0.03,-0.01
439,-1.43,-1.26,8.94,0.0,0.0,-0.02
503,-1.05,-0.15,8.87,-0.2,0.1,0.04
566,0.96,0.21,9.72,-0.16,0.07,-0.01
628,-0.06,1.35,9.14,-0.17,0.04,-0.01
691,-2.73,4.32,7.44,-0.13,0.01,-0.02
754,0.71,-0.12,9.96,0.17,-0.01,-0.02
818,0.83,-1.31,10.34,0.06,-0.03,-0.02
881,-1.16,-0.43,9.06,-0.02,0.02,-0.02
946,-1.74,0.05,6.64,-0.09,0.01,-0.03
1009,-0.39,-1.28,10.25,-0.33,0.16,-0.0
1074,0.77,0.05,9.63,-0.42,0.19,0.01
1135,2.13,3.75,7.86,-0.17,0.1,-0.03
1197,1.18,4.18,11.08,0.11,-0.03,-0.02
1259,0.8,1.4,10.38,0.27,-0.08,0.0
1319,0.22,-0.56,9.65,0.24,-0.1,-0.02
1383,-3.24,0.53,7.96,0.2,-0.05,-0.0
1446,1.5,-1.41,10.64,-0.08,0.07,0.0
1508,0.53,0.24,9.88,-0.16,0.03,-0.02
1570,-2.92,2.53,3.69,0.01,0.02,-0.03
1632,2.06,-0.16,8.4,0.23,0.05,-0.09
1694,1.65,-2.13,10.23,-0.12,-0.08,-0.07
1759,-3.94,0.14,8.82,-0.11,-0.08,-0.02
1823,2.05,-2.14,14.02,-0.25,0.1,0.03
1885,1.63,2.2,8.85,-0.16,0.0,-0.03
1947,-1.02,3.63,9.9,-0.0,-0.03,-0.02
2012,0.3,2.03,8.12,-0.01,0.01,0.0
2073,-0.18,1.29,6.82,-0.03,-0.05,-0.02
2137,-0.75,0.05,10.16,-0.02,0.05,-0.0
2201,0.51,-0.11,10.01,-0.14,0.09,0.01
