Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-3.88,-7.02,8.25,1.08,-0.11,-0.61
64,0.31,5.66,9.67,0.61,-0.28,-1.51
126,-4.29,3.09,14.73,-3.14,0.24,1.32
188,-0.91,-9.97,10.38,1.21,-0.22,-0.79
253,-1.22,3.07,7.42,1.23,0.04,-1.1
315,-0.79,3.73,9.99,-1.33,0.11,0.44
377,-0.94,-2.88,9.13,-0.31,0.07,1.12
440,0.04,3.44,10.97,1.67,0.03,-0.72
501,-1.05,10.23,7.64,-1.51,0.19,0.82
563,0.08,-4.54,9.39,-1.36,0.21,1.07
625,1.06,-6.53,9.44,2.2,-0.18,-1.22
688,-0.43,6.22,9.15,1.45,-0.48,-2.79
752,0.37,-1.05,13.25,-3.09,-0.06,1.29
815,-1.81,-4.2,9.54,-0.23,-0.15,1.43
880,0.19,7.94,10.81,2.8,-0.2,-1.27
942,-0.88,6.12,9.4,-2.78,0.84,1.04
1004,-0.17,-4.59,10.01,-1.29,0.17,1.51
1067,-0.4,-0.82,9.04,2.7,0.01,-0.55
1131,0.16,3.39,9.7,-0.52,-0.03,-0.53
1194,-2.15,-2.6,8.91,-1.19,0.06,0.95
1257,0.05,-4.6,8.26,1.78,0.04,-0.52
1319,0.15,5.17,9.64,0.19,-0.2,-1.77
1381,-0.47,-3.7,9.97,-1.93,0.25,0.2
1445,-1.97,-4.44,9.76,1.11,-0.19,-0.28
1509,-1.09,5.08,8.54,0.62,-0.08,-0.88
1572,-0.63,0.42,9.7,-1.43,0.21,0.01
1634,-0.39,-1.35,9.68,0.24,-0.01,0.83
1698,-1.33,2.42,8.92,1.35,-0.18,-0.39
1761,0.97,5.2,8.89,-1.05,0.15,0.32
1822,-0.59,-4.63,9.56,-1.18,0.1,1.23
1885,-1.26,0.46,10.16,1.82,-0.22,-0.43
1948,-0.14,4.36,9.26,-0.41,-0.04,-0.87
2013,-0.41,-3.34,9.81,-1.49,0.18,0.65
2076,-2.55,-5.03,8.77,0.88,-0.17,-0.5
2141,1.35,5.05,9.74,0.36,0.05,-0.87
2201,-0.26,3.02,11.62,-1.77,0.2,1.12
2263,-3.66,-6.55,8.39,0.59,-0.24,-0.16
2328,-1.27,1.46,8.81,1.13,-0.09,-0.83
2391,-0.33,1.5,10.0,-1.08,0.15,0.34
2453,0.5,-5.84,10.56,-0.84,0.14,1.42
2515,2.85,2.46,9.24,1.69,-0.08,-0.92
2577,-1.07,3.29,9.89,-0.58,0.01,-0.8
2641,0.58,-4.84,10.21,-1.44,0.06,0.8
2703,-1.54,-2.23,8.94,1.66,-0.04,-0.62
2767,0.67,4.12,9.51,0.04,-0.01,-0.85
2829,0.6,-1.26,10.35,-1.89,0.15,1.11
2891,0.09,-3.45,8.73,1.43,0.03,-0.31
2953,0.11,4.22,9.18,0.14,0.01,-0.5
3014,-0.01,0.96,9.76,-1.27,0.24,0.41
3076,-1.11,-6.71,9.52,-0.4,0.15,0.34
3139,1.68,4.0,11.87,1.42,-0.18,-0.66
3201,-1.36,2.94,9.49,-0.69,-0.02,-0.46
3266,-1.77,-2.56,9.47,-0.95,0.12,0.93
3329,-0.84,-0.25,11.29,1.36,-0.14,-0.72
3394,2.27,4.02,9.81,-0.21,0.26,-0.79
3456,-1.66,3.07,9.58,-1.56,0.13,0.73
3518,0.21,-3.96,9.37,0.68,-0.13,0.02
3580,-2.9,-0.49,9.28,0.92,-0.26,-0.61
3644,-0.96,2.04,9.54,-0.96,-0.14,0.1
3708,2.47,-5.05,9.97,-0.91,0.16,0.93
3770,-0.72,-0.51,9.79,1.62,-0.08,-0.32
3834,0.11,3.87,9.68,-0.27,0.01,-0.58
3897,-1.71,-0.67,10.77,-2.0,0.22,0.74
3960,-0.85,-2.71,10.06,1.2,0.02,-0.01
4023,-0.39,2.19,9.81,0.7,-0.06,-0.54
4087,0.76,1.32,9.7,-1.2,0.18,0.38
4147,0.22,-2.92,9.37,-0.83,0.06,0.92
4209,-0.4,0.83,12.03,1.62,-0.24,-0.43
