Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,0.78,-0.75,9.91,-0.05,-0.01,-0.01
64,0.67,-0.74,10.0,-0.05,0.01,-0.01
128,0.61,-0.54,10.04,-0.04,0.03,-0.01
191,1.31,0.17,10.28,-0.08,0.04,-0.0
253,0.54,-0.14,9.76,-0.06,0.08,-0.0
316,0.66,-0.05,9.72,-0.05,0.05,-0.01
379,0.42,-0.33,9.47,-0.06,0.04,-0.01
443,0.9,-0.37,9.8,-0.01,0.03,-0.01
506,0.33,-0.58,9.73,-0.04,-0.01,-0.02
570,0.4,-0.55,9.94,-0.05,-0.01,-0.01
635,0.41,-0.99,10.05,-0.08,-0.05,-0.0
700,0.28,-0.59,9.91,-0.06,-0.02,-0.01
764,0.31,-0.4,9.86,-0.06,0.02,-0.01
827,1.05,0.64,8.53,-0.06,0.06,0.01
888,-0.06,-0.25,9.66,-0.02,0.03,-0.02
952,0.52,-0.58,9.98,-0.03,0.03,-0.01
1016,0.21,-0.47,9.02,-0.04,0.03,-0.01
1079,0.26,0.24,9.57,-0.03,0.11,-0.02
1141,0.75,0.07,9.89,-0.02,0.07,-0.01
1203,0.35,-0.57,9.88,-0.04,0.01,-0.01
1266,0.13,-0.18,9.79,-0.09,-0.03,-0.01
1331,1.1,0.01,9.98,-0.06,0.11,-0.0
1392,0.81,0.03,9.81,-0.05,0.08,-0.0
1454,0.84,-0.08,11.6,-0.06,0.01,0.0
1516,-0.16,-0.6,9.64,-0.09,0.01,-0.0
1581,0.77,-0.03,9.93,-0.08,0.02,-0.01
1644,0.76,-0.13,9.61,-0.05,0.07,-0.01
1707,0.95,-0.24,9.9,-0.02,0.07,-0.01
1771,0.31,-0.5,9.87,-0.04,0.03,-0.01
1834,0.37,-0.42,9.9,-0.05,0.01,-0.01
1897,0.29,-0.07,9.91,-0.09,-0.01,-0.01
1962,0.69,0.06,9.93,-0.07,0.08,-0.0
2023,0.6,0.01,9.86,-0.06,0.07,-0.01
2085,0.25,-0.49,9.73,-0.05,0.02,-0.0
2148,-0.05,-0.62,9.79,-0.05,-0.01,-0.01
2214,0.28,-0.61,9.9,-0.05,0.0,-0.01
2278,0.38,-0.34,9.82,-0.05,0.03,-0.01
2341,0.44,0.05,9.75,-0.05,0.05,-0.01
2403,0.46,-0.09,9.87,-0.06,0.05,-0.01
2466,0.54,-0.16,9.84,-0.06,0.04,-0.01
2529,0.57,-0.37,10.01,-0.08,0.0,0.0
2591,0.39,-0.41,9.85,-0.07,0.03,-0.01
2654,0.5,-0.13,9.91,-0.07,0.03,-0.01
2718,0.56,0.29,9.77,-0.05,0.1,-0.0
2779,0.44,0.05,9.8,-0.05,0.04,-0.01
2841,0.51,-0.29,9.78,-0.05,0.03,-0.01
2905,0.33,-0.63,10.18,-0.05,0.01,-0.01
2968,0.08,-0.52,9.64,-0.05,-0.0,-0.01
3032,0.42,-0.42,9.87,-0.06,0.01,-0.01
3095,0.5,-0.29,9.58,-0.05,0.02,-0.01
3159,0.81,-0.02,9.85,-0.05,0.08,-0.01
3222,0.71,-0.12,9.86,-0.04,0.07,-0.01
3285,0.58,-0.18,9.85,-0.05,0.05,-0.01
3348,0.4,-0.77,9.79,-0.06,-0.02,-0.01
3413,0.52,-0.57,9.93,-0.05,-0.0,-0.01
3477,0.34,-0.51,9.82,-0.05,0.01,-0.01
3541,0.69,0.29,9.92,-0.04,0.09,-0.02
3602,0.51,0.02,9.85,-0.05,0.02,-0.01
3664,0.48,-0.4,9.81,-0.04,0.02,-0.01
3728,-0.0,-0.85,9.32,-0.03,0.01,-0.01
3792,0.45,-0.5,9.92,-0.03,0.0,-0.02
3855,0.3,-0.48,9.79,-0.04,0.01,-0.01
3918,0.38,0.1,10.32,-0.06,0.0,-0.02
3980,1.07,-0.17,9.98,-0.06,0.09,-0.0
4044,0.8,-0.11,9.89,-0.05,0.09,-0.01
4107,0.6,-0.23,9.99,-0.05,0.06,-0.01
4170,1.24,-0.62,10.07,-0.04,0.04,-0.01
4233,0.1,-0.64,9.91,-0.03,0.01,-0.01
4297,0.28,-0.55,9.96,-0.04,0.02,-0.01
4360,0.15,-0.08,10.13,-0.05,0.02,-0.0
4423,0.46,-0.42,9.76,-0.05,0.01,-0.01
4486,0.61,-0.25,9.84,-0.05,0.03,-0.01
4550,0.38,-0.39,10.1,-0.05,0.03,0.01
4612,0.68,0.1,10.08,-0.07,0.03,-0.01
4674,0.51,-0.26,9.91,-0.06,0.03,-0.01
4737,0.62,-0.23,9.8,-0.05,0.03,-0.01
4800,0.85,-0.2,10.14,-0.04,0.04,-0.01
4864,0.53,-0.24,9.7,-0.05,0.03,-0.01
4927,0.59,-0.21,9.95,-0.05,0.04,-0.01
4990,-0.09,-1.27,9.25,-0.04,0.02,-0.01
5055,0.53,-0.27,9.97,-0.06,0.02,-0.01
5118,0.45,-0.41,9.71,-0.06,0.01,-0.01
5181,0.6,-0.32,10.0,-0.06,0.03,-0.01
5244,0.58,-0.32,9.85,-0.06,0.04,-0.01
5308,0.46,-0.35,9.83,-0.05,0.04,-0.01
5371,0.48,-0.25,9.87,-0.05,0.03,-0.01
5434,0.49,-0.2,9.87,-0.05,0.03,-0.01
5497,0.46,-0.26,9.8,-0.05,0.03,-0.01
5561,0.53,-0.28,9.85,-0.05,0.04,-0.01
5624,0.64,-0.36,9.85,-0.05,0.03,-0.0
5687,0.6,-0.25,9.84,-0.05,0.04,-0.01
5750,0.26,0.0,9.95,-0.04,0.04,-0.02
5812,0.32,-0.24,9.78,-0.06,0.02,-0.01
5875,0.44,-0.29,9.87,-0.05,0.03,-0.01
5939,0.56,-0.59,9.8,-0.07,0.01,-0.01
6002,0.69,-0.29,9.88,-0.05,0.02,-0.01
6065,0.56,-0.37,9.95,-0.05,0.03,-0.01
6128,1.41,-0.56,10.29,-0.05,0.04,-0.02
6191,0.46,-0.41,9.82,-0.05,0.03,-0.01
6255,1.38,-1.28,8.78,-0.06,0.06,0.01
6316,0.81,-0.08,9.92,-0.05,0.08,-0.0
6380,0.47,-0.34,9.88,-0.04,0.05,-0.01
6443,0.24,-0.3,9.45,-0.03,0.13,-0.04
6506,0.3,-0.28,9.8,-0.04,0.03,-0.02
6569,0.43,-0.28,9.88,-0.05,0.04,-0.01
6633,-0.1,-0.08,9.03,-0.04,0.0,0.02
6696,0.59,-0.08,9.76,-0.06,0.05,-0.01
6759,0.37,-0.2,9.89,-0.05,0.04,-0.01
6822,0.38,-0.72,9.98,-0.07,-0.0,-0.01
6887,0.31,-0.33,9.93,-0.06,0.0,-0.01
6950,-0.96,-1.47,9.67,-0.01,0.07,-0.04
7014,0.46,-0.2,9.91,-0.05,0.01,-0.01
7078,0.32,-0.32,9.78,-0.05,0.03,-0.01
7141,1.22,-0.83,10.1,-0.04,-0.04,-0.01
7206,0.57,-0.49,9.84,-0.05,0.03,-0.01
7269,0.28,-0.37,9.9,-0.01,-0.01,0.01
7332,0.59,-0.14,9.86,-0.07,0.05,-0.01
7395,0.47,-0.2,9.92,-0.06,0.03,-0.01
7459,1.15,-0.6,10.05,-0.04,-0.02,-0.01
7523,0.43,-0.31,9.76,-0.05,0.02,-0.01
7586,-0.84,-1.24,9.38,-0.0,-0.06,0.02
7651,0.49,-0.47,9.86,-0.02,0.02,-0.0
7714,0.57,-0.46,9.94,-0.05,0.02,-0.01
7777,0.94,-0.55,9.98,-0.04,-0.01,-0.01
7842,0.47,-0.28,9.73,-0.06,0.02,-0.01
7905,0.6,0.75,9.96,-0.13,0.02,0.02
7966,0.55,-0.37,9.9,-0.07,0.02,-0.01
8029,0.28,-0.15,9.76,-0.06,0.02,-0.01
8092,1.23,-0.41,10.02,-0.04,-0.03,0.0
8155,0.36,-0.37,9.86,-0.05,0.02,-0.01
8219,-0.79,-1.42,10.0,-0.01,0.04,-0.01
8284,0.56,-0.58,10.0,-0.03,-0.01,-0.02
8348,0.47,-0.51,9.79,-0.05,0.01,-0.01
8411,0.41,-1.02,9.68,-0.12,-0.04,-0.01
8476,0.62,-0.23,9.86,-0.07,0.0,-0.01
8539,0.46,-0.18,9.76,-0.06,0.03,-0.01
8602,0.74,-0.56,10.08,-0.06,-0.03,-0.02
8667,0.14,-0.39,9.77,-0.06,0.0,-0.01
8730,-0.49,0.34,9.8,-0.01,0.02,-0.04
8793,0.35,-0.46,9.89,-0.02,0.04,-0.0
8857,0.77,-0.42,9.95,-0.05,0.04,-0.01
8920,1.07,-0.18,10.08,-0.03,0.12,-0.0
8983,0.56,-0.43,10.03,-0.04,0.06,-0.01
9046,0.33,1.08,9.11,-0.09,0.06,-0.0
9108,0.79,-0.15,9.91,-0.05,0.07,-0.01
9171,0.47,-0.29,9.92,-0.05,0.04,-0.01
9235,0.72,-0.06,10.01,-0.06,0.09,-0.0
9298,0.58,-0.23,9.98,-0.06,0.05,-0.01
9361,-1.32,-1.5,9.26,-0.04,-0.12,0.01
9426,0.76,-0.39,9.92,-0.03,0.04,-0.0
9489,0.69,-0.38,9.87,-0.05,0.03,-0.01
9552,0.94,-0.67,9.99,-0.06,-0.02,0.01
9615,0.38,-0.21,9.77,-0.07,0.01,-0.01
9678,-0.9,-1.31,9.77,-0.0,0.08,-0.03
9743,0.88,-0.34,9.8,-0.03,0.04,-0.01
9806,0.69,-0.41,9.89,-0.05,0.02,-0.01
9869,1.37,-0.63,10.41,-0.04,-0.06,-0.02
9934,0.24,-0.4,9.85,-0.06,0.01,-0.01
9997,-0.63,0.21,10.36,-0.01,-0.0,-0.05
10062,-0.05,-0.48,9.78,-0.05,-0.03,-0.01
10128,0.34,-0.33,9.96,-0.05,0.03,-0.01
10191,0.02,-0.16,9.69,-0.07,0.04,-0.01
10254,0.47,-0.19,9.81,-0.04,0.07,-0.01
10317,0.52,-0.38,9.9,-0.04,0.05,-0.01
10381,0.36,-0.38,9.67,-0.05,0.03,0.0
10443,0.59,-0.26,9.8,-0.06,0.03,-0.01
10506,-0.76,-1.85,9.82,-0.02,-0.03,-0.03
10572,0.54,-0.44,9.81,-0.04,0.01,-0.01
10635,0.4,-0.43,9.73,-0.05,0.02,-0.01
10698,0.68,-0.51,9.6,-0.09,-0.02,-0.02
10763,0.52,-0.25,9.83,-0.06,0.01,-0.01
10826,0.5,-0.24,9.85,-0.05,0.05,-0.01
10889,0.85,0.02,9.93,-0.06,0.1,-0.0
10951,0.56,-0.24,9.9,-0.05,0.06,-0.01
11014,2.87,-0.32,9.27,-0.08,0.09,-0.0
11077,1.13,-0.17,9.93,-0.06,0.08,-0.0
11140,0.52,-0.3,9.79,-0.06,0.03,-0.01
11204,0.41,0.28,9.24,-0.04,-0.0,0.01
11265,0.21,-0.31,9.83,-0.05,0.05,-0.01
11329,0.48,-0.31,9.95,-0.05,0.04,-0.01
11392,0.18,-0.96,9.88,-0.04,-0.05,-0.01
11456,0.45,-0.4,9.96,-0.06,0.0,-0.01
11520,0.85,0.64,9.9,-0.12,0.05,0.04
11580,0.01,-0.7,9.79,-0.04,-0.02,-0.01
11645,0.32,-0.3,9.86,-0.05,0.02,-0.01
11708,0.51,0.17,9.88,-0.1,0.05,0.01
11769,0.36,-0.48,9.89,-0.07,0.01,-0.01
11832,0.49,-0.22,9.82,-0.07,0.02,-0.01
11895,0.06,-1.32,10.15,-0.05,-0.09,-0.0
11960,0.56,-0.41,9.95,-0.06,0.0,-0.01
12023,0.47,-0.34,9.82,-0.06,0.03,-0.01
12086,0.84,-0.02,10.03,-0.06,0.1,-0.01
12149,0.42,-0.32,9.82,-0.05,0.05,-0.01
12213,-0.3,-1.18,9.05,-0.01,0.17,-0.06
12277,0.53,-0.64,9.92,-0.03,-0.01,-0.01
12342,0.48,-0.47,9.84,-0.06,0.01,-0.01
12405,1.32,-0.34,10.05,-0.05,0.0,-0.01
12468,0.68,-0.37,9.88,-0.05,0.04,-0.01
12531,0.28,0.02,10.11,-0.01,0.03,-0.04
12593,0.37,-0.23,9.85,-0.05,0.06,-0.01
12657,0.47,-0.2,9.8,-0.06,0.04,-0.01
12720,1.19,-0.24,10.01,-0.05,-0.01,0.0
12783,0.48,-0.35,9.88,-0.05,0.04,-0.01
12846,-0.43,-1.38,9.69,0.02,-0.05,0.03
12910,0.39,-0.43,9.8,-0.04,-0.0,-0.01
12974,0.38,-0.36,9.79,-0.05,0.02,-0.01
13037,0.78,-0.06,9.81,-0.06,0.05,-0.01
13101,0.62,-0.18,9.78,-0.05,0.06,-0.01
13164,0.28,-0.22,9.97,-0.02,0.03,-0.0
13227,0.46,-0.18,9.82,-0.06,0.05,-0.01
13290,0.46,-0.3,9.81,-0.06,0.04,-0.01
13354,0.65,-0.35,9.83,-0.06,0.06,-0.01
13417,0.52,-0.27,9.92,-0.06,0.05,-0.01
13480,0.09,0.28,9.21,-0.1,0.01,0.08
13541,0.42,-0.44,9.9,-0.08,0.04,-0.0
13604,0.72,-0.13,9.85,-0.07,0.04,-0.01
13667,0.22,1.41,9.56,-0.13,0.09,-0.02
13729,0.71,-0.0,9.82,-0.06,0.09,-0.0
13792,0.49,-0.21,9.9,-0.05,0.06,-0.01
13855,0.87,-0.38,10.22,-0.05,-0.03,-0.03
13920,0.16,-0.43,9.79,-0.05,0.01,-0.01
13983,-0.06,1.29,8.91,-0.07,0.03,0.02
14045,0.54,-0.03,9.77,-0.07,0.04,-0.0
14108,0.34,-0.19,9.79,-0.05,0.04,-0.01
14171,0.4,-0.34,9.92,-0.05,0.04,-0.01
14235,0.51,-0.32,9.95,-0.05,0.04,-0.01
14298,0.54,-0.3,9.83,-0.05,0.04,-0.01
14361,0.46,-0.32,9.92,-0.05,0.04,-0.01
14424,0.48,-0.28,9.88,-0.05,0.03,-0.01
14488,0.51,-0.3,9.87,-0.05,0.03,-0.01
14551,0.41,-0.28,9.8,-0.05,0.03,-0.01
14614,0.44,-0.31,9.95,-0.05,0.03,-0.01
14677,0.47,-0.27,9.91,-0.06,0.03,-0.01
14741,0.53,-0.3,9.88,-0.05,0.03,-0.01
14804,0.5,-0.31,9.77,-0.05,0.03,-0.01
14867,0.5,-0.3,9.88,-0.05,0.03,-0.01
14930,0.52,-0.28,9.88,-0.05,0.03,-0.01
14994,0.42,-0.28,9.84,-0.06,0.03,-0.01
15057,0.49,-0.29,9.88,-0.05,0.03,-0.01
15120,0.41,-0.31,9.88,-0.05,0.03,-0.01
15183,0.45,-0.3,9.9,-0.05,0.03,-0.01
15247,0.53,-0.27,9.79,-0.05,0.03,-0.01
15310,0.44,-0.28,9.92,-0.05,0.04,-0.01
15373,0.46,-0.35,9.82,-0.06,0.03,-0.01
