Time_ms,Ax,Ay,Az,Gx,Gy,Gz
0,-14.28,-14.4,-19.61,-4.37,2.03,1.37
26,1.77,4.86,10.01,0.61,-0.16,1.35
52,-1.05,-1.01,9.77,-0.32,-0.53,-0.05
77,0.81,-10.47,8.92,1.57,0.08,0.91
103,1.57,-14.42,3.18,4.37,0.06,3.98
128,-2.5,3.28,-1.73,4.37,0.1,4.01
154,2.21,4.15,4.2,4.37,1.17,4.21
180,1.35,5.41,2.22,4.37,0.22,3.7
204,-1.68,18.91,9.83,4.0,-0.06,1.32
230,-2.45,16.34,9.63,-1.41,0.49,-2.52
255,-6.71,14.21,5.7,-4.37,-1.03,-2.18
281,4.64,14.77,1.06,-4.37,-1.52,-4.37
306,5.61,-1.86,-1.35,-4.37,0.4,-4.37
332,8.28,-17.93,7.72,-4.37,-1.55,-3.71
358,2.83,-6.33,11.62,-1.43,-0.49,0.1
383,0.84,-3.8,10.3,-0.21,-0.56,0.28
409,1.4,-4.64,9.33,0.91,-0.43,1.41
434,0.71,-9.37,7.22,3.79,-0.24,2.93
460,4.25,-6.47,5.8,4.37,0.18,4.26
486,-0.99,12.25,5.88,3.75,-0.07,1.91
510,-4.21,5.95,7.28,2.53,0.1,0.74
536,2.46,1.35,8.22,3.15,0.18,0.77
561,-2.66,6.76,8.26,2.14,0.2,0.41
587,-0.99,10.25,10.8,-0.64,-0.25,-1.46
613,-1.83,13.64,8.24,-4.37,-0.03,-1.18
638,11.51,-3.45,14.4,-4.37,2.56,-4.37
664,4.58,-2.12,5.84,-4.37,0.01,-3.2
689,1.26,-7.43,8.82,-2.79,-1.06,-1.17
715,0.6,-8.81,9.52,-1.69,-0.87,-0.52
741,1.51,-7.53,9.67,1.4,-0.28,1.54
766,2.65,-12.6,6.97,4.37,-0.91,3.02
791,4.36,-13.24,3.3,4.37,0.43,4.37
816,4.67,6.22,7.46,4.37,0.31,3.7
842,1.17,5.15,1.64,4.37,1.13,4.18
868,0.51,14.62,8.62,4.37,0.59,2.99
893,-1.77,12.5,7.91,2.27,-0.07,0.34
919,0.52,3.46,9.2,1.75,-0.15,-2.41
944,-2.53,18.57,8.28,0.41,-0.91,-1.38
970,-1.64,19.61,8.61,-4.37,-1.69,-2.96
996,10.6,19.61,-3.5,-4.37,-2.24,-4.37
1021,6.47,-19.61,-7.25,-4.37,1.27,-4.37
1047,0.35,-19.61,8.45,-1.98,-1.39,-0.61
1072,1.28,1.8,9.27,1.91,-0.28,-0.15
1098,-3.59,2.05,8.21,1.62,0.14,-0.64
1124,-0.43,-4.69,10.28,2.13,-0.16,1.03
1149,1.89,-10.3,6.18,4.37,-0.37,2.27
1175,10.18,13.94,6.45,4.24,0.29,2.7
1200,0.51,-6.81,11.16,4.37,0.11,0.82
1226,-3.17,4.38,3.78,4.37,0.56,1.71
1252,-0.65,7.31,3.76,4.37,0.48,0.89
1277,-0.08,13.12,7.75,4.37,0.77,2.34
1303,-0.88,17.15,5.91,1.84,0.39,1.51
1328,-0.72,19.61,8.23,-2.13,-0.99,-1.52
1354,-1.81,19.61,1.72,-4.37,-0.7,-4.37
1380,10.27,11.16,-4.93,-4.37,-3.02,-4.18
1405,9.8,-2.84,-4.15,-4.37,0.66,-2.24
1431,-3.66,-19.61,3.46,-3.5,-0.49,-2.86
1456,3.02,0.74,8.77,2.29,0.24,1.25
1482,-0.16,-1.14,8.83,0.56,-0.14,0.75
1507,0.25,-6.14,9.09,1.07,0.38,1.7
1532,3.55,-10.28,7.67,4.37,0.76,3.7
1558,9.66,16.51,15.61,4.36,0.37,3.09
1583,-1.94,-0.66,9.68,1.0,0.14,1.27
1609,-1.4,3.35,9.43,1.28,-0.01,0.1
1635,-1.32,-0.56,8.91,0.89,-0.07,-0.23
1660,-4.41,2.78,9.75,0.59,-0.07,-1.06
1686,3.93,12.16,11.7,-3.12,0.3,-2.99
1711,-1.44,8.53,7.29,-4.37,1.49,-2.71
1737,3.02,-18.94,3.12,-4.37,1.1,-2.57
1763,2.26,-10.22,7.88,-2.69,-2.18,-0.77
1788,-0.18,-8.78,7.56,0.06,-2.5,0.89
1814,-1.83,-3.47,9.47,1.83,-1.31,2.55
1839,-0.55,-4.39,9.9,2.53,-0.88,1.63
1865,0.69,-2.51,9.45,4.05,0.18,1.64
1891,-1.79,-0.53,6.52,4.37,0.44,0.93
1916,1.72,1.05,10.77,4.37,1.45,0.75
1942,2.4,0.08,9.89,2.14,0.23,-1.13
1966,1.04,-0.15,10.57,2.08,0.16,0.33
1992,1.44,0.7,10.35,-0.62,0.1,0.62
2018,0.29,13.99,7.59,-3.48,-0.06,-2.05
2043,19.61,3.66,8.37,-4.37,2.06,-4.37
2069,-6.07,-19.61,5.99,-4.37,-1.38,-4.13
2094,5.2,-19.61,8.69,-2.86,-2.81,-0.53
2120,0.54,-9.72,8.17,1.1,-0.72,1.61
2146,0.3,-5.22,9.5,1.82,-0.39,1.49
2171,3.49,-16.75,7.35,4.37,0.5,2.68
2197,0.17,-5.66,2.18,4.37,0.07,3.05
2222,19.55,19.61,4.05,4.37,4.37,4.37
2248,-0.03,-2.58,4.2,4.37,-0.25,2.79
2274,-0.49,8.99,8.38,4.37,1.14,2.99
2299,-1.13,13.3,9.21,4.01,1.4,1.29
2325,-3.11,13.12,9.37,-0.38,-0.92,-1.88
2350,-0.68,19.61,7.16,-4.37,-1.8,-4.28
2376,19.61,12.96,0.57,-4.37,0.88,-4.37
2402,9.9,-16.19,-7.54,-4.37,-0.16,-4.37
2427,4.82,-17.87,4.49,-4.37,-2.54,-3.09
2453,3.22,-1.39,11.78,0.11,-0.21,0.43
2478,0.53,-6.82,9.31,1.25,-0.33,0.8
2504,0.88,-10.06,8.56,3.45,-0.02,1.8
2530,0.47,-6.51,4.03,4.37,0.76,3.32
2555,2.86,-2.4,13.16,4.37,-0.01,4.15
2581,-0.6,2.14,8.65,2.96,0.17,1.23
2606,0.77,1.13,9.8,2.63,0.19,1.13
2632,-1.95,13.91,9.0,1.91,0.25,0.87
2657,-0.41,12.69,8.69,-2.37,-0.44,-1.75
2682,2.48,8.73,7.92,-4.37,-0.01,-2.82
2708,10.35,-12.65,13.71,-4.37,3.52,-2.88
2734,-2.5,-1.73,8.63,-4.37,-1.07,-2.01
2759,1.42,-7.9,6.44,-3.4,-1.37,-1.08
2785,2.09,-10.52,10.74,1.08,-0.19,0.58
2810,1.73,-9.48,7.29,4.37,0.52,2.18
2836,1.81,-0.73,5.11,4.37,0.1,2.36
2861,-5.44,5.72,8.61,4.37,1.4,1.62
2887,0.73,-3.11,7.95,4.37,0.38,1.28
2913,1.44,1.59,8.31,4.37,0.68,2.05
2938,2.89,6.15,8.19,3.94,0.78,2.02
2964,-3.79,19.14,11.89,0.15,-0.02,-0.87
2989,2.83,19.61,3.73,-4.37,-1.77,-4.37
3015,5.66,-5.93,0.31,-4.37,1.46,-4.37
3041,0.13,-19.61,2.6,-4.37,-2.47,-1.16
3066,2.25,-4.07,11.11,0.47,-0.76,0.44
3092,1.75,-1.53,6.6,2.76,-0.64,0.36
3117,2.54,-5.12,9.91,2.21,0.5,1.76
3143,1.07,-6.45,9.28,3.24,0.91,2.34
3169,1.48,-1.88,6.03,4.37,-0.37,2.34
3194,-4.2,7.32,9.19,1.12,-0.09,-0.42
3220,-1.14,-7.73,9.78,3.57,0.33,0.72
3245,0.27,2.19,5.96,4.37,0.11,0.69
3270,0.87,8.1,9.2,3.21,0.48,0.97
3296,0.23,11.46,9.79,-1.75,-0.12,-0.96
3321,3.93,18.92,3.98,-4.37,0.13,-3.19
3347,4.8,-0.09,-5.65,-4.37,-0.78,-2.66
3372,-0.58,-15.22,3.51,-4.37,3.62,-2.61
3398,-0.65,-8.55,12.06,0.87,0.25,1.04
3424,1.03,-4.47,9.88,2.26,0.08,0.73
3449,0.23,-5.19,6.74,3.61,-0.51,1.29
3475,0.58,-11.37,2.96,4.37,-0.58,2.33
3500,19.61,19.61,19.61,4.37,4.37,4.37
3526,-1.56,-3.95,4.24,4.37,0.32,2.06
3552,3.47,-8.81,0.42,4.37,0.81,4.37
3577,-5.54,8.86,3.54,4.37,1.69,3.05
3603,-7.64,19.61,9.2,2.88,0.6,-0.17
3628,-3.58,19.61,9.11,-2.7,-1.69,-2.34
3654,1.0,19.61,3.19,-4.37,-2.33,-4.31
3680,19.5,5.74,-5.15,-4.37,1.83,-4.37
3705,-3.42,-16.07,-12.8,-4.37,-0.69,-4.37
3731,6.67,-19.61,13.32,-4.05,-2.84,-1.73
3756,2.29,-9.45,13.39,1.11,-0.22,0.14
3782,1.83,-2.4,9.14,2.86,0.45,1.12
3808,1.83,-8.69,7.97,3.83,0.39,1.77
3833,1.82,-9.99,5.51,4.37,1.08,3.55
3859,-6.26,4.99,-3.2,4.37,-1.21,3.86
