Time_ms,Piezo
0,0
20,0
41,0
60,0
81,16
101,117
122,110
142,0
163,0
183,0
204,0
224,1
245,39
265,142
285,0
305,0
326,0
346,0
367,29
387,128
408,66
428,0
449,0
469,0
488,0
509,26
529,131
550,70
570,0
591,0
611,0
632,0
652,34
673,99
693,89
714,0
734,0
754,0
774,0
795,50
815,106
836,78
856,0
877,0
897,0
917,0
938,0
958,50
979,110
999,34
1020,0
1040,0
1061,0
1081,4
1101,40
1121,73
1142,61
1162,0
1183,0
1203,0
1224,0
1244,0
1265,36
1285,79
1306,43
1326,0
1347,0
1367,0
1388,0
1407,1
1427,4
1448,35
1468,49
1489,3
1509,0
1530,0
1550,0
1571,0
1591,26
1612,71
1632,57
1653,0
1673,0
1694,0
1713,0
1734,4
1754,27
1775,80
1795,56
1816,0
1836,0
1857,0
1877,0
1897,0
1918,47
1938,70
1959,56
1979,8
2000,0
2020,0
2040,0
2060,0
2081,7
2101,40
2122,45
2142,0
2163,0
2183,0
2204,0
2224,21
2245,59
2265,72
2286,52
2306,0
2327,0
2347,0
2366,0
2387,2
2407,9
2428,35
2448,59
2469,19
2489,0
2510,0
2530,0
2551,0
2571,0
2592,3
2612,72
2633,128
2653,0
2673,0
2693,0
2714,0
2734,0
2755,0
2775,19
2796,71
2816,88
2836,2
2857,0
2877,0
2898,0
2918,0
2939,0
2958,0
2979,46
2999,36
3020,0
3040,0
3061,0
3081,0
3102,0
3122,11
3143,50
3163,31
3184,0
3204,0
3225,0
3245,0
3265,0
3285,3
3305,4
3326,33
3346,73
3367,36
3387,0
3408,0
3428,0
3449,5
3469,32
3490,32
3510,37
3531,32
3551,0
3572,0
3592,0
3612,0
3632,0
3653,0
3673,27
3694,60
3714,22
3735,0
3755,0
3775,0
3796,0
3816,0
3837,0
3857,0
3877,24
3897,73
3918,50
3938,0
3959,0
3979,0
4000,0
4020,3
4041,27
4061,55
4082,51
4102,3
4123,0
4143,0
4164,0
4184,0
4204,2
4224,8
4244,59
4265,81
4285,0
4306,0
4326,0
4347,0
4367,0
4388,0
4408,18
4429,59
4449,39
4470,0
4490,0
4510,0
4530,0
4551,0
4571,0
4592,0
4612,67
4633,55
4653,0
4674,0
4694,0
4714,0
4735,1
4755,0
4776,18
4795,76
4816,0
4836,0
4857,0
4877,1
4898,1
4918,0
4939,25
4959,67
4980,21
5000,0
5021,0
5041,0
5062,0
5082,6
5102,28
5122,50
5143,36
5163,0
5183,0
5204,0
5224,0
5245,0
5265,0
5286,0
5306,3
5327,44
5347,34
5368,0
5388,0
5408,0
5428,0
5449,0
5469,0
5490,0
5510,12
5531,81
5551,7
5572,0
5592,0
5613,0
5633,0
5653,0
5673,5
5693,7
5714,49
5734,68
5755,0
5775,0
5796,0
5816,0
5837,2
5857,8
5878,0
5898,0
5919,16
5939,57
5959,0
5979,0
6000,0
6020,0
6041,0
6061,0
6082,7
6102,57
6122,14
6143,0
6163,0
6184,0
6204,0
6225,0
6244,40
6265,83
6285,13
6306,0
6326,0
6347,0
6367,0
6388,1
6408,6
6429,67
6449,76
6470,0
6490,0
6511,0
6531,0
6551,2
6571,3
6591,0
6612,9
6632,41
6653,37
6673,0
6694,0
6714,0
6735,0
6755,0
6776,1
6796,18
6817,41
6836,13
6857,0
6877,0
6898,0
6918,0
6939,0
6959,0
6980,8
7000,45
7021,59
7041,0
7061,0
7082,0
7102,0
7122,0
7142,0
7163,7
7183,20
7204,13
7224,3
7245,0
7265,0
7286,0
7306,0
7327,0
7347,4
7368,9
7387,45
7408,70
7428,38
7449,0
7469,0
7490,0
7510,0
7530,0
7551,4
7571,59
7592,62
7612,0
7633,0
7653,0
7674,0
7693,0
7714,0
7734,0
7755,19
7775,64
7796,0
7816,0
7837,0
7857,0
7878,0
7898,0
7919,2
7939,32
7960,55
7980,17
7999,0
8020,0
8040,0
8061,0
8081,0
8102,1
8122,25
8143,61
8163,32
8184,0
8204,0
8225,0
8245,0
8266,1
8285,1
8306,18
8326,57
8347,66
8367,33
8388,0
8408,0
8429,0
8449,0
8469,0
8490,0
8510,0
8531,20
8551,68
8572,64
8592,0
8612,0
8632,0
8653,0
8673,0
8694,0
8714,6
8735,91
8755,96
8776,36
8796,0
8817,0
8837,0
8858,0
8878,0
8898,1
8918,32
8938,96
8959,41
8979,0
9000,0
9020,0
9041,0
9061,0
9082,1
9102,4
9123,32
9143,55
9164,0
9184,0
9204,0
9224,0
9245,0
9265,0
9286,0
9306,0
9327,12
9347,19
9368,0
9388,0
9409,0
9429,0
9449,0
9470,0
9489,17
9510,65
9530,72
9551,49
9571,0
