Time_ms,Piezo
0,0
20,0
41,0
61,0
82,1
101,200
122,348
142,201
163,0
183,0
204,0
224,0
245,0
265,0
286,0
305,248
326,320
346,0
367,0
387,0
408,0
428,0
449,0
469,201
489,355
510,84
529,0
550,0
570,0
591,0
611,0
632,0
652,167
673,306
693,156
714,0
734,0
755,0
775,0
796,0
815,1
836,187
856,205
877,0
897,0
917,0
938,0
958,0
979,0
999,47
1020,282
1040,111
1061,0
1081,0
1102,0
1122,0
1143,0
1163,8
1183,251
1203,135
1224,0
1244,0
1265,0
1285,0
1306,0
1326,11
1347,215
1367,239
1388,0
1408,0
1428,0
1449,0
1469,0
1490,112
1510,233
1531,139
1551,0
1572,0
1591,0
1612,0
1632,0
1653,126
1673,229
1694,38
1714,0
1735,0
1755,0
1776,0
1796,0
1817,96
1837,205
1858,68
1878,0
1898,0
1919,0
1938,0
1959,2
1979,0
2000,261
2020,173
2041,0
2061,0
2082,0
2102,0
2123,0
2143,150
2164,156
2184,0
2205,0
2225,0
2246,0
2266,0
2286,4
2306,0
2327,63
2347,159
2367,0
2388,0
2408,0
2429,0
2449,0
2470,0
2490,73
2511,179
2531,2
2552,0
2572,0
2592,0
2612,0
2633,0
2653,0
2674,163
2694,248
2715,0
2735,0
2756,0
2776,0
2797,0
2817,0
2837,169
2858,310
2878,43
2899,0
2919,0
2939,0
2959,0
2980,0
3000,0
3021,221
3041,212
3062,0
3082,0
3103,0
3123,0
3144,0
3164,0
3185,0
3205,232
3226,203
3246,0
3266,0
3286,0
3306,0
3327,0
3347,0
3368,1
3388,0
3409,296
3429,191
3450,0
3470,0
3491,0
3511,0
3532,0
3552,193
3573,273
3593,57
3613,0
3633,0
3654,0
3674,0
3695,0
3715,2
3736,211
3756,308
3777,29
3797,0
3817,0
3838,0
3858,0
3879,0
3899,4
3919,201
3939,284
3961,20
3980,0
4001,0
4021,0
4042,0
4062,0
4083,0
4103,124
4124,254
4144,198
4165,0
4185,0
4206,0
4226,0
4247,0
4267,0
4286,0
4307,178
4327,328
4348,124
4368,0
4389,0
4409,0
4430,0
4450,0
4471,0
4491,180
4512,288
4532,78
4553,0
4573,0
4594,0
4614,0
4635,1
4655,0
4675,205
4695,269
4716,35
4736,0
4756,0
4777,0
4797,0
4818,1
4838,108
4859,228
4879,140
4900,0
4920,0
4941,0
4961,0
4982,0
5002,0
5023,0
5042,266
5064,246
5084,0
5104,0
5124,0
5145,0
5165,0
5186,0
5206,0
5226,0
5247,240
5267,216
5288,0
5308,0
5329,0
5349,0
5370,0
5389,0
5410,3
5430,296
5451,279
5471,0
5492,0
5512,0
5533,0
5553,0
5574,17
5594,203
5615,281
5635,32
5656,0
5676,0
5697,0
5717,0
5736,0
5757,9
5777,224
5798,278
5818,0
5839,0
5859,0
5880,0
5900,0
5921,0
5941,0
5962,228
5982,377
6003,40
6023,0
6044,0
6064,0
6085,0
6104,0
6125,11
6145,51
6165,72
6186,105
6206,18
6227,0
6247,0
6268,0
6288,0
6309,0
6329,0
6350,182
6370,257
6391,83
6411,0
6432,0
6452,0
6472,0
6492,0
6513,0
6533,3
6554,252
6574,115
6595,0
6615,0
6636,0
6656,0
6676,0
6697,0
6717,73
6738,200
6758,269
6779,36
6799,0
6820,0
6839,0
6860,0
6880,0
6901,0
6921,212
6942,204
6962,0
6983,0
7003,0
7024,0
7044,0
7065,0
7085,0
7106,0
7125,0
7145,124
7166,430
7186,156
7207,0
7227,0
7248,0
7268,0
7289,0
7309,2
7330,7
7350,194
7371,96
7391,0
7412,0
7432,0
7453,0
7472,0
7493,2
7513,1
7534,155
7554,242
7575,0
7595,0
7615,0
7636,0
7656,0
7677,0
7697,0
7718,20
7738,248
7759,185
7779,0
7800,0
7819,0
7840,0
7860,0
7881,0
7901,0
7922,191
7942,203
7963,93
7983,0
8004,0
8024,0
8045,0
8065,0
8085,0
8106,7
8125,225
8147,256
8167,0
8187,0
8207,0
8228,0
8248,0
8269,0
8289,12
8310,208
8330,237
8351,9
8371,0
8392,0
8412,0
8433,0
8453,0
8473,0
8493,1
8514,149
8534,287
8554,117
8575,0
8595,0
8616,0
8636,0
8657,0
8677,0
8698,141
8718,245
8739,146
8759,0
8780,0
8800,0
8821,0
8841,0
8861,0
8881,192
8902,373
8922,374
8943,0
8963,0
8984,0
9004,0
9025,0
9045,0
9065,0
9086,160
9106,227
9127,84
9147,0
9168,0
9188,0
9209,0
9229,0
9249,1
9269,1
9290,0
9310,237
9331,316
9351,0
9372,0
9392,0
9413,0
9433,0
9454,0
9474,17
9495,212
9515,268
9535,0
9556,0
9576,0
