Time_ms,Piezo
0,0
20,0
41,1
61,1
82,1
102,1
123,0
143,2
163,1
183,0
204,1
224,3
245,0
265,0
286,4
306,0
326,3
346,0
367,4
387,3
408,0
428,2
448,0
469,0
488,0
509,1
529,0
550,2
570,1
591,0
611,2
632,0
652,1
673,1
692,0
713,0
733,1
754,1
774,0
795,0
815,0
836,0
856,0
877,0
897,0
917,0
937,1
957,0
978,0
998,1
1019,1
1039,1
1060,2
1080,1
1101,1
1121,0
1142,0
1162,0
1182,0
1202,0
1223,0
1243,0
1264,1
1284,1
1305,0
1325,1
1346,4
1366,0
1386,1
1407,0
1426,2
1447,0
1467,1
1488,0
1508,0
1529,0
1549,2
1570,0
1590,0
1611,2
1631,0
1652,0
1671,0
1692,1
1712,0
1733,1
1753,0
1774,0
1794,0
1814,0
1835,2
1855,0
1876,0
1896,1
1916,2
1936,0
1957,1
1977,1
1998,1
2018,1
2039,1
2059,0
2080,1
2100,0
2121,0
2141,2
2161,8
2181,0
2202,1
2222,0
2243,4
2263,4
2283,0
2304,0
2324,0
2345,0
2365,0
2386,1
2405,0
2426,0
2446,1
2467,1
2487,1
2508,1
2528,1
2549,0
2569,0
2590,0
2610,0
2631,0
2650,0
2671,0
2691,0
2712,0
2732,0
2752,1
2773,0
2793,0
2814,0
2834,0
2855,0
2875,4
2895,2
2915,1
2936,1
2956,0
2977,1
2997,1
3018,3
3038,1
3059,0
3079,0
3100,3
3120,0
3140,1
3160,0
3181,0
3201,0
3221,4
3242,0
3262,0
3283,0
3303,0
3324,0
3344,0
3365,1
3384,0
3405,0
3425,0
3446,1
3466,0
3487,0
3507,0
3528,0
3548,0
3569,0
3589,0
3610,1
3629,0
3650,1
3670,0
3690,0
3711,0
3731,0
3752,0
3772,4
3793,0
3813,1
3834,3
3854,0
3874,1
3894,0
3915,0
3935,0
3956,0
3976,1
3997,0
4017,3
4038,0
4058,0
4079,0
4099,1
4118,4
4139,4
4159,0
4180,0
4200,2
4221,0
4241,0
4262,2
4282,0
4303,1
4323,0
4344,1
4363,0
4384,0
4404,0
4425,0
4445,2
4466,0
4486,0
4507,0
4527,0
4548,0
4568,0
4589,0
4608,2
4628,0
4649,1
4669,0
4690,2
4710,0
4731,1
4751,4
4772,4
4792,0
4813,0
4833,8
4853,0
4873,0
4894,2
4914,1
4935,0
4955,0
4976,2
4996,1
5017,4
5037,1
5058,0
5078,1
5097,1
5118,0
5138,0
5159,0
5179,1
5200,1
5220,1
5241,0
5261,0
5282,0
5302,0
5323,0
5342,0
5363,1
5383,0
5404,0
5424,0
5445,0
5465,1
5486,0
5506,0
5526,0
5547,1
5567,0
5587,0
5607,0
5628,0
5648,4
5669,3
5689,1
5710,3
5730,4
5751,0
5771,2
5792,0
5812,0
5832,2
5852,1
5873,0
5893,0
5914,4
5934,0
5955,1
5975,0
5995,4
6016,4
6036,2
6057,0
6076,1
6097,0
6117,0
6138,1
6158,0
6179,0
6199,1
6220,0
6240,0
6261,0
6281,0
6302,1
6321,0
6342,0
6362,0
6383,0
6403,0
6424,0
6444,0
6464,3
6485,0
6505,0
6526,1
6546,0
6566,0
6586,0
6607,0
6627,4
6648,1
6668,0
6689,2
6709,1
6730,4
6750,1
6771,0
6791,1
6811,4
6831,0
6852,0
6872,2
6893,1
6913,0
6933,2
6954,0
6974,1
6995,0
7015,1
7036,0
7055,0
7076,0
7096,0
7117,1
7137,1
7158,0
7178,1
7199,1
7219,1
7240,1
7260,4
7281,0
7300,0
7321,0
7341,4
7362,1
7382,0
7402,2
7423,0
7443,5
7464,1
7484,0
7505,0
7525,4
7545,0
7565,0
7586,0
7606,1
7627,4
7647,0
7668,1
7688,0
7709,0
7729,3
7750,1
7770,0
7790,0
7810,0
7830,1
7851,0
7871,1
7892,0
7912,2
7933,0
7953,1
7974,1
7994,1
8015,0
8034,1
8055,1
8075,0
8096,0
8116,0
8137,2
8157,1
8178,0
8198,0
8219,1
8239,1
8260,0
8279,0
8299,2
8320,1
8340,0
8361,0
8381,2
8402,1
8422,1
8443,0
8463,0
8484,3
8504,0
8524,4
8544,0
8565,3
8585,1
8606,0
8626,2
8647,0
8667,2
8688,1
8708,1
8729,0
8749,0
8768,1
8789,0
8809,0
8830,0
8850,2
8871,0
8891,1
8912,0
8932,0
8953,0
8973,0
8994,0
9013,0
9034,0
9054,0
9075,0
9095,0
9116,0
9136,0
9157,2
9177,0
9198,1
9218,0
9238,4
9258,0
9278,1
9299,3
9319,0
9340,0
9360,2
9381,0
9401,1
9422,9
9442,0
9463,1
9483,0
9503,1
9523,3
9544,2
9564,3
